	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	difftotexp_1	diffst_1	diffnonstudent_1	diffcapfacil_1	diffdebt_1	diffnonagcs_1	diffprekadult_1	diffretiree_1	difftotexp_1	diffst_1	diffnonstudent_1	diffcapfacil_1	diffdebt_1	diffnonagcs_1	diffprekadult_1	diffretiree_1	difftotexp_1	diffst_1	diffnonstudent_1	diffcapfacil_1	diffdebt_1	diffnonagcs_1	diffprekadult_1	diffretiree_1
																								
rural_distant	-922.1	1,129	-2,051	-1,949	-251.4	73.12	8.569	71.75*	-922.1	1,129	-2,051	-1,949	-251.4	73.12	8.569	71.75*	-922.1	1,129	-2,051	-1,949	-251.4	73.12	8.569	71.75*
	(2,743)	(842.8)	(2,525)	(2,460)	(241.3)	(49.17)	(101.6)	(27.94)	(2,743)	(842.8)	(2,525)	(2,460)	(241.3)	(49.17)	(101.6)	(27.94)	(2,743)	(842.8)	(2,525)	(2,460)	(241.3)	(49.17)	(101.6)	(27.94)
rural_fringe	-2,268	643.3	-2,911	-3,044	-56.77	111.2*	-6.846	77.32***	-2,268	643.3	-2,911	-3,044	-56.77	111.2*	-6.846	77.32***	-2,268	643.3	-2,911	-3,044	-56.77	111.2*	-6.846	77.32***
	(2,570)	(401.5)	(2,481)	(2,438)	(111.0)	(43.57)	(24.05)	(21.88)	(2,570)	(401.5)	(2,481)	(2,438)	(111.0)	(43.57)	(24.05)	(21.88)	(2,570)	(401.5)	(2,481)	(2,438)	(111.0)	(43.57)	(24.05)	(21.88)
town_locale	-1,413	577.6+	-1,991	-2,080	-94.78	80.78+	17.63	78.37***	-1,413	577.6+	-1,991	-2,080	-94.78	80.78+	17.63	78.37***	-1,413	577.6+	-1,991	-2,080	-94.78	80.78+	17.63	78.37***
	(2,539)	(323.4)	(2,471)	(2,432)	(107.2)	(46.88)	(22.76)	(21.44)	(2,539)	(323.4)	(2,471)	(2,432)	(107.2)	(46.88)	(22.76)	(21.44)	(2,539)	(323.4)	(2,471)	(2,432)	(107.2)	(46.88)	(22.76)	(21.44)
suburb_locale	-1,701	711.2*	-2,412	-2,428	-235.3+	108.5*	53.69*	88.16***	-1,701	711.2*	-2,412	-2,428	-235.3+	108.5*	53.69*	88.16***	-1,701	711.2*	-2,412	-2,428	-235.3+	108.5*	53.69*	88.16***
	(2,527)	(310.2)	(2,460)	(2,419)	(132.7)	(42.83)	(24.84)	(21.27)	(2,527)	(310.2)	(2,460)	(2,419)	(132.7)	(42.83)	(24.84)	(21.27)	(2,527)	(310.2)	(2,460)	(2,419)	(132.7)	(42.83)	(24.84)	(21.27)
urban_locale	-1,459	680.0*	-2,139	-2,349	0.757	117.2**	50.51	25.74	-1,459	680.0*	-2,139	-2,349	0.757	117.2**	50.51	25.74	-1,459	680.0*	-2,139	-2,349	0.757	117.2**	50.51	25.74
	(2,531)	(313.4)	(2,467)	(2,420)	(169.3)	(42.56)	(49.56)	(49.39)	(2,531)	(313.4)	(2,467)	(2,420)	(169.3)	(42.56)	(49.56)	(49.39)	(2,531)	(313.4)	(2,467)	(2,420)	(169.3)	(42.56)	(49.56)	(49.39)
Constant	4,745+	1,848***	2,898	2,825	263.7***	-121.3**	39.89*	-86.78***	4,745+	1,848***	2,898	2,825	263.7***	-121.3**	39.89*	-86.78***	4,745+	1,848***	2,898	2,825	263.7***	-121.3**	39.89*	-86.78***
	(2,521)	(301.9)	(2,455)	(2,416)	(76.12)	(42.10)	(19.89)	(20.39)	(2,521)	(301.9)	(2,455)	(2,416)	(76.12)	(42.10)	(19.89)	(20.39)	(2,521)	(301.9)	(2,455)	(2,416)	(76.12)	(42.10)	(19.89)	(20.39)
																								
Observations	890	890	890	890	890	890	890	890	890	890	890	890	890	890	890	890	890	890	890	890	890	890	890	890
R-squared	0.004	0.002	0.007	0.007	0.008	0.010	0.003	0.082	0.004	0.002	0.007	0.007	0.008	0.010	0.003	0.082	0.004	0.002	0.007	0.007	0.008	0.010	0.003	0.082
Robust standard errors in parentheses																								
*** p<0.001, ** p<0.01, * p<0.05, + p<0.10																								
