	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	pctsalaries_all_ex1	pctsalaries_tchr_ex1	pctsalaries_admin_ex1	pctbenefits_all_ex1	pctcapitaloutlay_ex1	pctotherobjects_ex1	pctsalaries_all_ex1	pctsalaries_tchr_ex1	pctsalaries_admin_ex1	pctbenefits_all_ex1	pctcapitaloutlay_ex1	pctotherobjects_ex1
												
rural_distant	3.362	3.670*	0.318	0.0453	-5.425	2.017	3.362	3.670*	0.318	0.0453	-5.425	2.017
	(3.014)	(1.727)	(0.412)	(1.145)	(4.410)	(1.598)	(3.014)	(1.727)	(0.412)	(1.145)	(4.410)	(1.598)
rural_fringe	6.318*	6.816***	0.107	0.0657	-6.152	-0.232	6.318*	6.816***	0.107	0.0657	-6.152	-0.232
	(2.887)	(1.666)	(0.506)	(1.276)	(4.253)	(1.597)	(2.887)	(1.666)	(0.506)	(1.276)	(4.253)	(1.597)
town_locale	3.298	4.692**	-0.440	-0.0282	-2.533	-0.737	3.298	4.692**	-0.440	-0.0282	-2.533	-0.737
	(2.872)	(1.654)	(0.370)	(1.098)	(4.308)	(1.496)	(2.872)	(1.654)	(0.370)	(1.098)	(4.308)	(1.496)
suburb_locale	5.089+	6.620***	-0.990**	-1.031	-3.467	-0.591	5.089+	6.620***	-0.990**	-1.031	-3.467	-0.591
	(2.795)	(1.605)	(0.359)	(1.054)	(4.197)	(1.509)	(2.795)	(1.605)	(0.359)	(1.054)	(4.197)	(1.509)
urban_locale	2.240	4.260*	-1.167**	-0.184	-2.925	0.870	2.240	4.260*	-1.167**	-0.184	-2.925	0.870
	(2.919)	(1.833)	(0.378)	(1.147)	(4.229)	(1.670)	(2.919)	(1.833)	(0.378)	(1.147)	(4.229)	(1.670)
Constant	46.10***	23.69***	5.685***	18.91***	12.03**	22.97***	46.10***	23.69***	5.685***	18.91***	12.03**	22.97***
	(2.761)	(1.572)	(0.353)	(1.027)	(4.172)	(1.445)	(2.761)	(1.572)	(0.353)	(1.027)	(4.172)	(1.445)
												
Observations	890	890	890	890	890	890	890	890	890	890	890	890
R-squared	0.054	0.071	0.071	0.020	0.008	0.022	0.054	0.071	0.071	0.020	0.008	0.022
Robust standard errors in parentheses												
*** p<0.001, ** p<0.01, * p<0.05, + p<0.10												
