	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	chgsalaries_all_ex1	chgsalaries_tchr_ex1	chgsalaries_admin_ex1	chgbenefits_all_ex1	chgotherobjects_ex1	chgsalaries_all_ex1	chgsalaries_tchr_ex1	chgsalaries_admin_ex1	chgbenefits_all_ex1	chgotherobjects_ex1	chgsalaries_all_ex1	chgsalaries_tchr_ex1	chgsalaries_admin_ex1	chgbenefits_all_ex1	chgotherobjects_ex1
															
rural_distant	8.329+	6.315	3.452	11.49**	19.23	8.329+	6.315	3.452	11.49**	19.23	8.329+	6.315	3.452	11.49**	19.23
	(4.853)	(5.087)	(10.35)	(4.113)	(20.54)	(4.853)	(5.087)	(10.35)	(4.113)	(20.54)	(4.853)	(5.087)	(10.35)	(4.113)	(20.54)
rural_fringe	11.11**	9.832**	11.61	14.29***	3.765	11.11**	9.832**	11.61	14.29***	3.765	11.11**	9.832**	11.61	14.29***	3.765
	(3.450)	(3.456)	(10.06)	(3.507)	(8.277)	(3.450)	(3.456)	(10.06)	(3.507)	(8.277)	(3.450)	(3.456)	(10.06)	(3.507)	(8.277)
town_locale	10.03***	7.722***	2.038	15.83***	7.123	10.03***	7.722***	2.038	15.83***	7.123	10.03***	7.722***	2.038	15.83***	7.123
	(1.904)	(2.126)	(8.224)	(3.110)	(7.861)	(1.904)	(2.126)	(8.224)	(3.110)	(7.861)	(1.904)	(2.126)	(8.224)	(3.110)	(7.861)
suburb_locale	12.24***	10.65***	7.233	18.25***	0.403	12.24***	10.65***	7.233	18.25***	0.403	12.24***	10.65***	7.233	18.25***	0.403
	(1.711)	(2.016)	(8.094)	(2.793)	(8.009)	(1.711)	(2.016)	(8.094)	(2.793)	(8.009)	(1.711)	(2.016)	(8.094)	(2.793)	(8.009)
urban_locale	9.346***	7.147*	2.087	17.18***	5.049	9.346***	7.147*	2.087	17.18***	5.049	9.346***	7.147*	2.087	17.18***	5.049
	(2.202)	(2.918)	(8.144)	(2.801)	(9.397)	(2.202)	(2.918)	(8.144)	(2.801)	(9.397)	(2.202)	(2.918)	(8.144)	(2.801)	(9.397)
Constant	9.489***	5.953**	23.63**	16.13***	28.14***	9.489***	5.953**	23.63**	16.13***	28.14***	9.489***	5.953**	23.63**	16.13***	28.14***
	(1.592)	(1.932)	(7.991)	(2.585)	(7.220)	(1.592)	(1.932)	(7.991)	(2.585)	(7.220)	(1.592)	(1.932)	(7.991)	(2.585)	(7.220)
															
Observations	890	890	884	890	890	890	890	884	890	890	890	890	884	890	890
R-squared	0.024	0.033	0.024	0.010	0.005	0.024	0.033	0.024	0.010	0.005	0.024	0.033	0.024	0.010	0.005
Robust standard errors in parentheses															
*** p<0.001, ** p<0.01, * p<0.05, + p<0.10															
