	(1)	(2)	(3)	(4)	(5)
VARIABLES	diffsalaries_all_ex1	diffsalaries_tchr_ex1	diffsalaries_admin_ex1	diffbenefits_all_ex1	diffotherobjects_ex1
					
rural_distant	436.0	200.1	20.58	191.5	159.6
	(379.4)	(226.7)	(72.28)	(140.2)	(544.0)
rural_fringe	536.7*	336.1*	39.08	154.5	-173.5
	(261.2)	(155.4)	(57.05)	(134.3)	(301.3)
town_locale	446.0**	259.3**	-0.945	165.8	-184.1
	(148.4)	(94.99)	(50.46)	(102.4)	(302.0)
suburb_locale	632.2***	398.3***	12.13	192.7+	-327.7
	(141.4)	(91.90)	(49.72)	(99.33)	(308.0)
urban_locale	516.2***	276.0*	2.517	291.6*	-150.8
	(152.6)	(122.2)	(50.21)	(113.2)	(321.0)
Constant	745.9***	246.3**	152.6**	496.2***	933.2**
	(135.5)	(89.29)	(49.33)	(97.01)	(283.7)
					
Observations	890	890	890	890	890
R-squared	0.011	0.026	0.003	0.033	0.004
Robust standard errors in parentheses					
*** p<0.001, ** p<0.01, * p<0.05, + p<0.10					
