"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"potentialUpstream","4.330925","1.458529","2.969379",".0043867","4.356229","1.482228","2.938973",".0047761","4.587207","1.547716","2.963856",".0044551","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"int_uf_1","2.570331",".343486","7.483071","5.51e-10","2.570331",".3435001","7.482766","5.51e-10","0",".",".",".","2.598127",".3510359","7.401315","7.51e-10","2.598225",".3512373","7.397348","7.63e-10","0",".",".",".","","","","","","","","","","","","","","","",""
"int_uf_2","5.338195","1.33076","4.011387",".0001807","5.484338","1.441523","3.804543",".0003537","4.326955","1.59915","2.705785",".0090134","4.819849","1.422779","3.387631",".001296","4.942214","1.572592","3.142719",".0026756","3.734051","1.695425","2.202427",".0317687","","","","","","","","","","","","","","","",""
"int_uf_3","4.402024",".4773911","9.221001","7.94e-13","4.696691","1.235077","3.802752",".0003557","3.837481","1.278209","3.002232",".0039992","4.076981",".5814709","7.011496","3.31e-09","4.326994","1.39351","3.105105",".0029826","3.466243","1.406072","2.465196",".0167854","","","","","","","","","","","","","","","",""
"int_uf_4","3.73776",".4147724","9.011592","1.73e-12","4.028763","1.227577","3.281882",".0017788","8.839937","1.950653","4.531783",".0000312","2.611629",".2056298","12.70063","3.97e-18","2.855047","1.094489","2.608567",".0116368","7.707736","1.901417","4.053679",".0001572","","","","","","","","","","","","","","","",""
"int_uf_5","6.879996","1.398501","4.919551","7.98e-06","7.078174","1.561151","4.533945",".000031","0",".",".",".","6.197257","1.368038","4.530032",".0000314","6.363232","1.518108","4.191553",".0000994","0",".",".",".","","","","","","","","","","","","","","","",""
"int_uf_6","-.0858187",".2197048","-.390609",".6975683","-.0858187",".2197138","-.3905931",".69758","0",".",".",".","-.0704491",".2217325","-.3177213",".7518781","-.0703954",".2217576","-.3174433",".7520879","0",".",".",".","","","","","","","","","","","","","","","",""
"int_uf_7","-.0778684",".3390209","-.2296863",".8191725","-.0778684",".3390347","-.2296769",".8191797","-2.643366",".1370601","-19.28618","2.11e-26","-.0850885",".3355105","-.2536089",".8007265","-.0851137",".3354479","-.2537314",".8006323","-2.677203",".1329971","-20.12979","2.59e-27","","","","","","","","","","","","","","","",""
"int_uf_8","5.448914","1.124337","4.846335",".0000104","5.595056","1.229274","4.551514",".0000291","4.403184","1.34502","3.273694",".0018225","4.918131","1.221848","4.025159",".0001727","5.040453","1.359969","3.706301",".0004836","3.801888","1.434334","2.65063",".0104263","","","","","","","","","","","","","","","",""
