		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)
																															Baseline % Illiterate (15yo+																																				Baseline % Illiterate (15yo+																																				Baseline % Illiterate (15yo+																																				Baseline % Illiterate (15yo+																																				Baseline % Illiterate (15yo+																																				Baseline % Illiterate (15yo+																																				Baseline % Illiterate (15yo+						
VARIABLES	LABELS	Position in Basin	Potential in AMC	Potential Upstream	Potential Downstream	Glyphosate in AMC	Glyphosate Upstream	Glyphosate Downstream	% Soy Area	Infant Mortality Rate - IMR	Fetal Mortality Rate - FMR	IMR - Infectious	IMR - Respiratory	IMR - Perinatal	IMR - Congenital	IMR - External	IMR - Endocrine and Nutritional	IMR - Others	% Low Apgar 1	% Low Apgar 5	% Preterm	% Low Birth Weight	Coverage PSF	Coverage PBF	Coverage Vaccination	Log of GDP per capita	Hospital Presence	Hospital Beds per Capita*1000	Baseline % Rural Pop (in 2000)	Baseline Theil Index (in 2000)	in 2000)	Baseline Income Per Capita (in 2000)	Baseline Poverty Rate (in 2000)	Baseline Share Agri Employment (in 2000)	Baseline Share Manuf Employment (in 2000)	Share GDP Agro	Birth Rate	Position in Basin	Potential in AMC	Potential Upstream	Potential Downstream	Glyphosate in AMC	Glyphosate Upstream	Glyphosate Downstream	% Soy Area	Infant Mortality Rate - IMR	Fetal Mortality Rate - FMR	IMR - Infectious	IMR - Respiratory	IMR - Perinatal	IMR - Congenital	IMR - External	IMR - Endocrine and Nutritional	IMR - Others	% Low Apgar 1	% Low Apgar 5	% Preterm	% Low Birth Weight	Coverage PSF	Coverage PBF	Coverage Vaccination	Log of GDP per capita	Hospital Presence	Hospital Beds per Capita*1000	Baseline % Rural Pop (in 2000)	Baseline Theil Index (in 2000)	in 2000)	Baseline Income Per Capita (in 2000)	Baseline Poverty Rate (in 2000)	Baseline Share Agri Employment (in 2000)	Baseline Share Manuf Employment (in 2000)	Share GDP Agro	Birth Rate	Position in Basin	Potential in AMC	Potential Upstream	Potential Downstream	Glyphosate in AMC	Glyphosate Upstream	Glyphosate Downstream	% Soy Area	Infant Mortality Rate - IMR	Fetal Mortality Rate - FMR	IMR - Infectious	IMR - Respiratory	IMR - Perinatal	IMR - Congenital	IMR - External	IMR - Endocrine and Nutritional	IMR - Others	% Low Apgar 1	% Low Apgar 5	% Preterm	% Low Birth Weight	Coverage PSF	Coverage PBF	Coverage Vaccination	Log of GDP per capita	Hospital Presence	Hospital Beds per Capita*1000	Baseline % Rural Pop (in 2000)	Baseline Theil Index (in 2000)	in 2000)	Baseline Income Per Capita (in 2000)	Baseline Poverty Rate (in 2000)	Baseline Share Agri Employment (in 2000)	Baseline Share Manuf Employment (in 2000)	Share GDP Agro	Birth Rate	Position in Basin	Potential in AMC	Potential Upstream	Potential Downstream	Glyphosate in AMC	Glyphosate Upstream	Glyphosate Downstream	% Soy Area	Infant Mortality Rate - IMR	Fetal Mortality Rate - FMR	IMR - Infectious	IMR - Respiratory	IMR - Perinatal	IMR - Congenital	IMR - External	IMR - Endocrine and Nutritional	IMR - Others	% Low Apgar 1	% Low Apgar 5	% Preterm	% Low Birth Weight	Coverage PSF	Coverage PBF	Coverage Vaccination	Log of GDP per capita	Hospital Presence	Hospital Beds per Capita*1000	Baseline % Rural Pop (in 2000)	Baseline Theil Index (in 2000)	in 2000)	Baseline Income Per Capita (in 2000)	Baseline Poverty Rate (in 2000)	Baseline Share Agri Employment (in 2000)	Baseline Share Manuf Employment (in 2000)	Share GDP Agro	Birth Rate	Position in Basin	Potential in AMC	Potential Upstream	Potential Downstream	Glyphosate in AMC	Glyphosate Upstream	Glyphosate Downstream	% Soy Area	Infant Mortality Rate - IMR	Fetal Mortality Rate - FMR	IMR - Infectious	IMR - Respiratory	IMR - Perinatal	IMR - Congenital	IMR - External	IMR - Endocrine and Nutritional	IMR - Others	% Low Apgar 1	% Low Apgar 5	% Preterm	% Low Birth Weight	Coverage PSF	Coverage PBF	Coverage Vaccination	Log of GDP per capita	Hospital Presence	Hospital Beds per Capita*1000	Baseline % Rural Pop (in 2000)	Baseline Theil Index (in 2000)	in 2000)	Baseline Income Per Capita (in 2000)	Baseline Poverty Rate (in 2000)	Baseline Share Agri Employment (in 2000)	Baseline Share Manuf Employment (in 2000)	Share GDP Agro	Birth Rate	Position in Basin	Potential in AMC	Potential Upstream	Potential Downstream	Glyphosate in AMC	Glyphosate Upstream	Glyphosate Downstream	% Soy Area	Infant Mortality Rate - IMR	Fetal Mortality Rate - FMR	IMR - Infectious	IMR - Respiratory	IMR - Perinatal	IMR - Congenital	IMR - External	IMR - Endocrine and Nutritional	IMR - Others	% Low Apgar 1	% Low Apgar 5	% Preterm	% Low Birth Weight	Coverage PSF	Coverage PBF	Coverage Vaccination	Log of GDP per capita	Hospital Presence	Hospital Beds per Capita*1000	Baseline % Rural Pop (in 2000)	Baseline Theil Index (in 2000)	in 2000)	Baseline Income Per Capita (in 2000)	Baseline Poverty Rate (in 2000)	Baseline Share Agri Employment (in 2000)	Baseline Share Manuf Employment (in 2000)	Share GDP Agro	Birth Rate	Position in Basin	Potential in AMC	Potential Upstream	Potential Downstream	Glyphosate in AMC	Glyphosate Upstream	Glyphosate Downstream	% Soy Area	Infant Mortality Rate - IMR	Fetal Mortality Rate - FMR	IMR - Infectious	IMR - Respiratory	IMR - Perinatal	IMR - Congenital	IMR - External	IMR - Endocrine and Nutritional	IMR - Others	% Low Apgar 1	% Low Apgar 5	% Preterm	% Low Birth Weight	Coverage PSF	Coverage PBF	Coverage Vaccination	Log of GDP per capita	Hospital Presence	Hospital Beds per Capita*1000	Baseline % Rural Pop (in 2000)	Baseline Theil Index (in 2000)	in 2000)	Baseline Income Per Capita (in 2000)	Baseline Poverty Rate (in 2000)	Baseline Share Agri Employment (in 2000)	Baseline Share Manuf Employment (in 2000)	Share GDP Agro	Birth Rate
																																																																																																																																																																																																																																																													
position_low	position_low	-4.851***	0.003	0.011***	-0.006***	0.003	0.007**	-0.007	0.040*	1.387	0.796**	0.102	0.202	0.830	0.155	0.034	0.028	0.136	0.011	-0.001	-0.003	-0.000	0.024	0.000	-0.004	0.014	0.040**	-0.262	-0.057	0.001	0.012	-8.986	0.012	-0.026	0.015	-0.002	0.001	-4.851***	0.003	0.011***	-0.006***	0.003	0.007**	-0.007	0.040*	1.387	0.796**	0.102	0.202	0.830	0.155	0.034	0.028	0.136	0.011	-0.001	-0.003	-0.000	0.024	0.000	-0.004	0.014	0.040**	-0.262	-0.057	0.001	0.012	-8.986	0.012	-0.026	0.015	-0.002	0.001	-4.851***	0.003	0.011***	-0.006***	0.003	0.007**	-0.007	0.040*	1.387	0.796**	0.102	0.202	0.830	0.155	0.034	0.028	0.136	0.011	-0.001	-0.003	-0.000	0.024	0.000	-0.004	0.014	0.040**	-0.262	-0.057	0.001	0.012	-8.986	0.012	-0.026	0.015	-0.002	0.001	-4.851***	0.003	0.011***	-0.006***	0.003	0.007**	-0.007	0.040*	1.387	0.796**	0.102	0.202	0.830	0.155	0.034	0.028	0.136	0.011	-0.001	-0.003	-0.000	0.024	0.000	-0.004	0.014	0.040**	-0.262	-0.057	0.001	0.012	-8.986	0.012	-0.026	0.015	-0.002	0.001	-4.851***	0.003	0.011***	-0.006***	0.003	0.007**	-0.007	0.040*	1.387	0.796**	0.102	0.202	0.830	0.155	0.034	0.028	0.136	0.011	-0.001	-0.003	-0.000	0.024	0.000	-0.004	0.014	0.040**	-0.262	-0.057	0.001	0.012	-8.986	0.012	-0.026	0.015	-0.002	0.001	-4.851***	0.003	0.011***	-0.006***	0.003	0.007**	-0.007	0.040*	1.387	0.796**	0.102	0.202	0.830	0.155	0.034	0.028	0.136	0.011	-0.001	-0.003	-0.000	0.024	0.000	-0.004	0.014	0.040**	-0.262	-0.057	0.001	0.012	-8.986	0.012	-0.026	0.015	-0.002	0.001	-4.851***	0.003	0.011***	-0.006***	0.003	0.007**	-0.007	0.040*	1.387	0.796**	0.102	0.202	0.830	0.155	0.034	0.028	0.136	0.011	-0.001	-0.003	-0.000	0.024	0.000	-0.004	0.014	0.040**	-0.262	-0.057	0.001	0.012	-8.986	0.012	-0.026	0.015	-0.002	0.001
		(0.289)	(0.003)	(0.003)	(0.002)	(0.005)	(0.003)	(0.005)	(0.021)	(0.949)	(0.391)	(0.278)	(0.254)	(0.655)	(0.262)	(0.171)	(0.114)	(0.189)	(0.013)	(0.003)	(0.005)	(0.002)	(0.048)	(0.000)	(0.010)	(0.056)	(0.019)	(0.300)	(0.036)	(0.016)	(0.009)	(7.705)	(0.014)	(0.028)	(0.017)	(0.018)	(0.001)	(0.289)	(0.003)	(0.003)	(0.002)	(0.005)	(0.003)	(0.005)	(0.021)	(0.949)	(0.391)	(0.278)	(0.254)	(0.655)	(0.262)	(0.171)	(0.114)	(0.189)	(0.013)	(0.003)	(0.005)	(0.002)	(0.048)	(0.000)	(0.010)	(0.056)	(0.019)	(0.300)	(0.036)	(0.016)	(0.009)	(7.705)	(0.014)	(0.028)	(0.017)	(0.018)	(0.001)	(0.289)	(0.003)	(0.003)	(0.002)	(0.005)	(0.003)	(0.005)	(0.021)	(0.949)	(0.391)	(0.278)	(0.254)	(0.655)	(0.262)	(0.171)	(0.114)	(0.189)	(0.013)	(0.003)	(0.005)	(0.002)	(0.048)	(0.000)	(0.010)	(0.056)	(0.019)	(0.300)	(0.036)	(0.016)	(0.009)	(7.705)	(0.014)	(0.028)	(0.017)	(0.018)	(0.001)	(0.289)	(0.003)	(0.003)	(0.002)	(0.005)	(0.003)	(0.005)	(0.021)	(0.949)	(0.391)	(0.278)	(0.254)	(0.655)	(0.262)	(0.171)	(0.114)	(0.189)	(0.013)	(0.003)	(0.005)	(0.002)	(0.048)	(0.000)	(0.010)	(0.056)	(0.019)	(0.300)	(0.036)	(0.016)	(0.009)	(7.705)	(0.014)	(0.028)	(0.017)	(0.018)	(0.001)	(0.289)	(0.003)	(0.003)	(0.002)	(0.005)	(0.003)	(0.005)	(0.021)	(0.949)	(0.391)	(0.278)	(0.254)	(0.655)	(0.262)	(0.171)	(0.114)	(0.189)	(0.013)	(0.003)	(0.005)	(0.002)	(0.048)	(0.000)	(0.010)	(0.056)	(0.019)	(0.300)	(0.036)	(0.016)	(0.009)	(7.705)	(0.014)	(0.028)	(0.017)	(0.018)	(0.001)	(0.289)	(0.003)	(0.003)	(0.002)	(0.005)	(0.003)	(0.005)	(0.021)	(0.949)	(0.391)	(0.278)	(0.254)	(0.655)	(0.262)	(0.171)	(0.114)	(0.189)	(0.013)	(0.003)	(0.005)	(0.002)	(0.048)	(0.000)	(0.010)	(0.056)	(0.019)	(0.300)	(0.036)	(0.016)	(0.009)	(7.705)	(0.014)	(0.028)	(0.017)	(0.018)	(0.001)	(0.289)	(0.003)	(0.003)	(0.002)	(0.005)	(0.003)	(0.005)	(0.021)	(0.949)	(0.391)	(0.278)	(0.254)	(0.655)	(0.262)	(0.171)	(0.114)	(0.189)	(0.013)	(0.003)	(0.005)	(0.002)	(0.048)	(0.000)	(0.010)	(0.056)	(0.019)	(0.300)	(0.036)	(0.016)	(0.009)	(7.705)	(0.014)	(0.028)	(0.017)	(0.018)	(0.001)
																																																																																																																																																																																																																																																													
Observations		1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004	1,004
R-squared		0.783	0.021	0.168	0.068	0.004	0.080	0.030	0.015	0.002	0.004	0.000	0.001	0.002	0.000	0.000	0.000	0.001	0.001	0.000	0.001	0.000	0.002		0.000	0.000	0.003	0.002	0.020	0.000	0.012	0.004	0.002	0.005	0.005	0.000	0.002	0.783	0.021	0.168	0.068	0.004	0.080	0.030	0.015	0.002	0.004	0.000	0.001	0.002	0.000	0.000	0.000	0.001	0.001	0.000	0.001	0.000	0.002		0.000	0.000	0.003	0.002	0.020	0.000	0.012	0.004	0.002	0.005	0.005	0.000	0.002	0.783	0.021	0.168	0.068	0.004	0.080	0.030	0.015	0.002	0.004	0.000	0.001	0.002	0.000	0.000	0.000	0.001	0.001	0.000	0.001	0.000	0.002		0.000	0.000	0.003	0.002	0.020	0.000	0.012	0.004	0.002	0.005	0.005	0.000	0.002	0.783	0.021	0.168	0.068	0.004	0.080	0.030	0.015	0.002	0.004	0.000	0.001	0.002	0.000	0.000	0.000	0.001	0.001	0.000	0.001	0.000	0.002		0.000	0.000	0.003	0.002	0.020	0.000	0.012	0.004	0.002	0.005	0.005	0.000	0.002	0.783	0.021	0.168	0.068	0.004	0.080	0.030	0.015	0.002	0.004	0.000	0.001	0.002	0.000	0.000	0.000	0.001	0.001	0.000	0.001	0.000	0.002		0.000	0.000	0.003	0.002	0.020	0.000	0.012	0.004	0.002	0.005	0.005	0.000	0.002	0.783	0.021	0.168	0.068	0.004	0.080	0.030	0.015	0.002	0.004	0.000	0.001	0.002	0.000	0.000	0.000	0.001	0.001	0.000	0.001	0.000	0.002		0.000	0.000	0.003	0.002	0.020	0.000	0.012	0.004	0.002	0.005	0.005	0.000	0.002	0.783	0.021	0.168	0.068	0.004	0.080	0.030	0.015	0.002	0.004	0.000	0.001	0.002	0.000	0.000	0.000	0.001	0.001	0.000	0.001	0.000	0.002		0.000	0.000	0.003	0.002	0.020	0.000	0.012	0.004	0.002	0.005	0.005	0.000	0.002
Controls		No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
FE		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
