		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	LABELS	Reduced Form	Reduced Form	Reduced Form	OLS	OLS	OLS	IV	IV	IV	IV
											
potentialUpstream	Instrument: Upstream	4.331	4.356	4.587							
		(1.459)***	(1.482)***	(1.548)***							
potentialAMC	Instrument: Direct Effect		1.009	0.567		0.864	0.396		0.956	0.511	
			(3.420)	(2.759)		(3.737)	(3.122)		(3.200)	(2.557)	
glyph_soy_upstream	Glyphosate Upstream				10.491	10.528	11.598	36.553	36.756	39.012	37.210
					(7.948)	(8.008)	(6.408)*	(13.190)***	(13.466)***	(14.814)***	(8.720)***
glyph_soy_AMC	Glyphosate: AMC										3.812
											(18.652)
											
Observations		12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309
R-squared		0.100	0.100	0.103	0.100	0.100	0.103				
Number of AMC		1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119
AMC FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
UF-Year FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Controls		No	No	Yes	No	No	Yes	No	No	Yes	Yes
IMR_baseline_mean		18.00	18.00	18.00	18.00	18.00	18.00	18.00	18.00	18.00	18.00
F-stat								52.88	52.45	51.37	5.168
Rejection Rate (Lee et al. 2020)								0.0224	0.0237	0.0271	
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
