		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)
VARIABLES	LABELS	IMR: Infectious	IMR: Respiratory	IMR: Perinatal	IMR: Congenital	IMR: External	IMR: Endocrine-Nutritional	IMR: Genito-Urinary	IMR: Ill-defined	IMR: Others	FMR	Sex Ratio	IMR Males	IMR Females	Share Low Birth Weight	Share Preterm	Share Births: <22w	Share Births: 22-27w	Share Births: 28-36w	Share Births: 37-41w	Share Births: 42+w	Share Low APGAR 1	Share Low APGAR 5	Birth Rate	Mother Education: 0-3 years	Mother Education: 4-7 years	Mother Education: 8+ years	Mean Age of Mother	IMR: Infectious	IMR: Respiratory	IMR: Perinatal	IMR: Congenital	IMR: External	IMR: Endocrine-Nutritional	IMR: Genito-Urinary	IMR: Ill-defined	IMR: Others	FMR	Sex Ratio	IMR Males	IMR Females	Share Low Birth Weight	Share Preterm	Share Births: <22w	Share Births: 22-27w	Share Births: 28-36w	Share Births: 37-41w	Share Births: 42+w	Share Low APGAR 1	Share Low APGAR 5	Birth Rate	Mother Education: 0-3 years	Mother Education: 4-7 years	Mother Education: 8+ years	Mean Age of Mother
																																																							
potentialUpstream	Instrument: Upstream	0.213	0.892	2.560	0.585	0.108	0.223	0.017	-0.149	0.138	0.175	0.000	4.796	4.407	0.009	0.035	-0.000	0.001	0.034	-0.044	0.011	-0.022	-0.002	0.009	-0.000	0.012	-0.012	-0.091																											
		(0.264)	(0.290)***	(1.103)**	(0.490)	(0.316)	(0.128)*	(0.036)	(0.315)	(0.185)	(0.557)	(0.012)	(1.970)**	(2.032)**	(0.005)*	(0.015)**	(0.000)	(0.001)*	(0.015)**	(0.021)**	(0.006)*	(0.026)	(0.003)	(0.003)***	(0.019)	(0.025)	(0.017)	(0.077)																											
glyph_soy_upstream	Glyphosate Upstream																												1.814	7.586	21.776	4.975	0.920	1.895	0.146	-1.271	1.171	1.490	0.001	40.788	37.477	0.080	0.299	-0.001	0.008	0.291	-0.372	0.090	-0.185	-0.016	0.074	-0.003	0.103	-0.100	-0.773
																													(2.318)	(2.383)***	(9.450)**	(4.464)	(2.653)	(1.195)	(0.317)	(2.653)	(1.620)	(4.649)	(0.103)	(18.720)**	(17.663)**	(0.039)**	(0.133)**	(0.002)	(0.004)*	(0.133)**	(0.190)*	(0.056)	(0.220)	(0.027)	(0.020)***	(0.158)	(0.212)	(0.152)	(0.694)
																																																							
Observations		12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309
R-squared		0.054	0.042	0.056	0.010	0.011	0.026	0.006	0.024	0.012	0.529	0.007	0.067	0.051	0.040	0.058	0.015	0.021	0.054	0.051	0.051	0.059	0.063	0.550	0.552	0.722	0.851	0.570																											
Number of AMC		1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119
AMC FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
UF-Year FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Controls		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
y_mean_baseline		1.142	1.217	9.980	2.804	0.639	0.425	0.0362	1.047	0.714	4.631	0.969	19.95	16.01	0.0660	0.0666	0.000384	0.00284	0.0633	0.903	0.0247	0.188	0.0320	0.0526	0.187	0.464	0.349	24.60	1.142	1.217	9.980	2.804	0.639	0.425	0.0362	1.047	0.714	4.631	0.969	19.95	16.01	0.0660	0.0666	0.000384	0.00284	0.0633	0.903	0.0247	0.188	0.0320	0.0526	0.187	0.464	0.349	24.60
F-stat																													51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37	51.37
Rejection Rate (Lee et al. 2020)																													0.240	0.0138	0.0406	0.167	0.370	0.0969	0.333	0.327	0.256	0.379	0.498	0.0474	0.0508	0.0567	0.0432	0.381	0.0714	0.0462	0.0623	0.0946	0.226	0.287	0.00786	0.493	0.325	0.274	0.167
Robust standard errors in parentheses																																																							
*** p<0.01, ** p<0.05, * p<0.1																																																							
