		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	Forest area	NatNonForest area	Farming area	Agriculture area	Pasture area	AgricOrPast area
							
potentialAMC	Instrument: Direct Effect	0.025	-0.002	-0.026	0.113	-0.118	-0.021
		(0.018)	(0.008)	(0.018)	(0.049)**	(0.055)**	(0.020)
							
Observations		12,309	12,309	12,309	12,309	12,309	12,309
R-squared		0.226	0.075	0.185	0.451	0.439	0.138
Number of AMC		1,119	1,119	1,119	1,119	1,119	1,119
UF-Year FE		Yes	Yes	Yes	Yes	Yes	Yes
Controls		Yes	Yes	Yes	Yes	Yes	Yes
y_mean_baseline		0.323	0.0589	0.591	0.166	0.256	0.169
y_sd_baseline		0.228	0.130	0.257	0.206	0.242	0.117
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
