		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)
VARIABLES	LABELS	IMR: Infectious	IMR: Respiratory	IMR: Perinatal	IMR: Congenital	IMR: External	IMR: Endocrine-Nutritional	IMR: Genito-Urinary	IMR: Ill-defined	IMR: Others	FMR	Sex Ratio	IMR Males	IMR Females	Share Low Birth Weight	Share Preterm	Share Births: <22w	Share Births: 22-27w	Share Births: 28-36w	Share Births: 37-41w	Share Births: 42+w	Share Low APGAR 1	Share Low APGAR 5	Birth Rate	Mother Education: 0-3 years	Mother Education: 4-7 years	Mother Education: 8+ years	Mean Age of Mother
																												
sum_pot	Potential Sum Up-Down	-0.154	0.080	-2.573	0.733	-0.075	-0.455	0.015	-0.175	-0.096	-0.359	0.008	-3.758	-1.418	-0.005	0.001	-0.000	-0.001	0.001	0.009	-0.001	0.036	0.004	-0.002	0.002	-0.005	0.003	-0.114
		(0.283)	(0.225)	(1.434)*	(0.481)	(0.195)	(0.097)***	(0.028)	(0.388)	(0.216)	(0.578)	(0.013)	(1.558)**	(2.154)	(0.007)	(0.011)	(0.000)	(0.001)	(0.011)	(0.014)	(0.006)	(0.036)	(0.005)	(0.003)	(0.014)	(0.023)	(0.028)	(0.184)
potentialUpstream	Instrument: Upstream	0.413	0.788	5.909	-0.369	0.206	0.815	-0.002	0.079	0.263	0.642	-0.011	9.686	6.252	0.017	0.034	0.000	0.002	0.032	-0.055	0.012	-0.069	-0.007	0.011	-0.003	0.019	-0.016	0.057
		(0.538)	(0.348)**	(2.231)**	(0.808)	(0.355)	(0.183)***	(0.061)	(0.600)	(0.280)	(1.069)	(0.019)	(3.282)***	(3.450)*	(0.013)	(0.024)	(0.000)	(0.001)	(0.024)	(0.026)**	(0.007)*	(0.061)	(0.008)	(0.004)**	(0.029)	(0.036)	(0.035)	(0.283)
																												
Observations		12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309
R-squared		0.054	0.042	0.057	0.010	0.011	0.027	0.006	0.024	0.012	0.529	0.007	0.067	0.051	0.040	0.058	0.015	0.021	0.054	0.051	0.051	0.060	0.063	0.551	0.552	0.722	0.851	0.570
Number of AMC		1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119
AMC FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
UF-Year FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Controls		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
y_mean_baseline		1.142	1.217	9.980	2.804	0.639	0.425	0.0362	1.047	0.714	4.631	0.969	19.95	16.01	0.0660	0.0666	0.000384	0.00284	0.0633	0.903	0.0247	0.188	0.0320	0.0526	0.187	0.464	0.349	24.60
Robust standard errors in parentheses																												
*** p<0.01, ** p<0.05, * p<0.1																												
