		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	LABELS	IMR	IMR: Infectious	IMR: Respiratory	IMR: Perinatal	IMR: Congenital	IMR: External	IMR: Endocrine-Nutritional	IMR: Genito-Urinary	IMR: Ill-defined	IMR: Others	FMR	Sex Ratio	IMR Males	IMR Females	Share Low Birth Weight	Share Preterm	Share Births: <22w	Share Births: 22-27w	Share Births: 28-36w	Share Births: 37-41w	Share Births: 42+w	Share Low APGAR 1	Share Low APGAR 5	Birth Rate	Mother Education: 0-3 years	Mother Education: 4-7 years	Mother Education: 8+ years	Mean Age of Mother	IMR: Infectious	IMR: Respiratory	IMR: Perinatal	IMR: Congenital	IMR: External	IMR: Endocrine-Nutritional	IMR: Genito-Urinary	IMR: Ill-defined	IMR: Others	FMR	Sex Ratio	IMR Males	IMR Females	Share Low Birth Weight	Share Preterm	Share Births: <22w	Share Births: 22-27w	Share Births: 28-36w	Share Births: 37-41w	Share Births: 42+w	Share Low APGAR 1	Share Low APGAR 5	Birth Rate	Mother Education: 0-3 years	Mother Education: 4-7 years	Mother Education: 8+ years	Mean Age of Mother
																																																								
potentialDownstream	Instrument: Downstream	-1.095	-0.077	0.338	-1.582	0.842	-0.036	-0.348	0.019	-0.204	-0.047	-0.275	0.008	-1.996	0.019	-0.002	0.011	-0.000	-0.000	0.012	-0.005	0.002	0.027	0.003	0.001	0.001	-0.001	-0.000	-0.131																											
		(1.985)	(0.216)	(0.307)	(1.618)	(0.467)*	(0.217)	(0.129)***	(0.022)	(0.368)	(0.217)	(0.493)	(0.013)	(2.054)	(2.308)	(0.007)	(0.011)	(0.000)	(0.001)	(0.011)	(0.020)	(0.008)	(0.031)	(0.005)	(0.003)	(0.013)	(0.022)	(0.027)	(0.163)																											
glyph_soy_downstream	Glyphosate Downstream																													-0.465	2.054	-9.618	5.117	-0.219	-2.116	0.114	-1.241	-0.285	-1.670	0.046	-12.138	0.113	-0.014	0.068	-0.001	-0.001	0.070	-0.030	0.012	0.162	0.020	0.004	0.009	-0.007	-0.002	-0.794
																														(1.306)	(1.987)	(8.358)	(3.033)*	(1.318)	(0.786)***	(0.138)	(2.281)	(1.344)	(2.885)	(0.079)	(11.325)	(13.883)	(0.040)	(0.071)	(0.001)	(0.003)	(0.070)	(0.121)	(0.049)	(0.198)	(0.029)	(0.020)	(0.077)	(0.135)	(0.165)	(1.085)
																																																								
Observations		12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309	12,309
R-squared		0.102	0.054	0.041	0.056	0.010	0.011	0.027	0.006	0.024	0.012	0.529	0.007	0.066	0.050	0.039	0.055	0.015	0.021	0.051	0.048	0.051	0.059	0.063	0.547	0.552	0.722	0.851	0.570																											
Number of AMC		1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119	1,119
AMC FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
