"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"0.Gr","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"1.Gr","-78.60476","86.67621","-.9068781",".3653885","-82.31612","86.22617","-.9546536",".3407215",".2320038",".1178134","1.969248",".0500847",".2242418",".1182067","1.897031",".0590345"
"2.Gr","-300.6728","108.1862","-2.779215",".0058842","-242.4697","105.5659","-2.296856",".0224962",".78958",".2058545","3.835622",".0001605",".6675236",".2095452","3.185582",".0016378"
"dedS51",".0120286",".0505472",".237967",".8121114",".015639",".0502865",".3109977",".7560745","","","","","","","",""
"Median","","","","","-7.513782","2.789608","-2.69349",".0075739","","","","",".0140539",".0048268","2.911648",".0039367"
"Inc_25k_100k","","","","","-67.83106","278.3888","-.2436558",".8077073","","","","",".7499975",".3537179","2.120327",".0350135"
"GAF","","","","","-7171.233","2686.9","-2.668962",".0081321","","","","","7.607561","3.203192","2.374994",".0183427"
"relold","","","","","-956.4251","530.4954","-1.80289",".0726703","","","","",".1530571",".6280233",".2437124",".8076635"
"smallem","","","","","6.916052","3.988484","1.734005",".0842121","","","","","-.0039312",".0061787","-.6362483",".525226"
"hosps","","","","","-15.99276","23.86264","-.6702009",".5033795","","","","",".0653803",".0305445","2.140494",".0333317"
"_cons","4996.72","146.8211","34.0327","2.07e-93","12442.64","2598.64","4.788133","2.96e-06","2.074756",".087653","23.67011","1.76e-64","-6.012295","3.120355","-1.926798",".0551954"
"N","1157","","","","1157","","","","1157","","","","1157","","",""
"r2",".7330766","","","",".7398591","","","",".600298","","","",".615287","","",""
"df_m","3","","","","9","","","","2","","","","8","","",""
"df_r","238","","","","238","","","","238","","","","238","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
