"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"logPop",".6524825",".1865709","3.497235",".0014032",".6453051",".2214809","2.913593",".0064681","-108.866","24.09218","-4.518728",".00008","-137.1873","61.64684","-2.225374",".0332274"
"landArea","","","","","-.2122122",".129234","-1.642077",".110367","","","","","202.9816","68.83328","2.948887",".005916"
"Urban","","","","","-3.014619","1.030296","-2.925973",".0062692","","","","","1095.807","510.1427","2.14804",".0393837"
"Urbsq","","","","","3.094192","1.094966","2.825834",".0080585","","","","","-1047.129","597.3774","-1.752877",".0892002"
"MedianIncome","","","","","-.0233553",".0099498","-2.347318",".0252588","","","","","-1.494276","4.982399","-.299911",".7661846"
"Inc_25k_100k","","","","","2.349594","2.122168","1.107167",".2764751","","","","","-1634.377","967.8144","-1.68873",".1009944"
"GAF","","","","",".9820024","4.158994",".2361154",".814848","","","","","2435.805","1845.256","1.320036",".1961883"
"relold","","","","","-1.189323","1.703391","-.6982088",".4900897","","","","","90.53786","610.6231",".1482713",".8830591"
"smallfirm","","","","","-.0661139",".0386504","-1.710563",".0968417","","","","","-12.11509","25.17593","-.4812173",".6336364"
"hosps","","","","","-.0059423",".0056988","-1.042728",".3048884","","","","","-4.49619","2.250349","-1.997997",".0542757"
"deductible","","","","","","","","","","","","","-10.00898","4.822147","-2.075627",".0460468"
"_cons","-.3223827",".9267443","-.3478659",".7302188","1.931874","4.201247",".4598334",".6487449","5435.476","119.6718","45.41984","1.24e-30","2939.575","1994.43","1.473893",".1502808"
"N","398","","","","398","","","","398","","","","398","","",""
"r2",".65108","","","",".695155","","","",".6525866","","","",".6931621","","",""
"df_m","1","","","","10","","","","1","","","","11","","",""
"df_r","32","","","","32","","","","32","","","","32","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
