"","est1","","",""
"","b","se","t","p"
"l_sh_routine33a",".1489677",".0556309","2.677785",".0074111"
"l_relsup_highlow",".0114337",".0044214","2.585974",".0097104"
"l_popfborn_shof_edulow",".0201184",".0140401","1.432922",".1518802"
"l_shind_manuf","-.0383119",".0114687","-3.340558",".0008361"
"l_unempl","-.3287323",".0683331","-4.810736","1.50e-06"
"l_sh_empl_f","-.219065",".0387866","-5.647962","1.62e-08"
"l_shage_65up","-.05568",".0229988","-2.421",".0154779"
"l_sh_minw","-.1958964",".027826","-7.040039","1.92e-12"
"t2",".0225323",".0051076","4.411513",".0000103"
"t3",".0228871",".0055852","4.097796",".0000417"
"_Istatefip_4","-.0161958",".0019975","-8.108149","4.44e-16"
"_Istatefip_5",".0037025",".0010234","3.618015",".0002969"
"_Istatefip_6","-.0032128",".0042323","-.7591013",".4477919"
"_Istatefip_8",".0065535",".0034609","1.893603",".0582778"
"_Istatefip_9",".0116315",".0021404","5.434316","5.50e-08"
"_Istatefip_10","-.0157886",".0019868","-7.946809","2.00e-15"
"_Istatefip_12","-.0094149",".0027098","-3.474448",".0005119"
"_Istatefip_13","-.0035268",".0015308","-2.303935",".0212263"
"_Istatefip_16","-.0056931",".0034861","-1.633091",".1024499"
"_Istatefip_17",".0026787",".0018555","1.443673",".1488311"
"_Istatefip_18","-.0051831",".0014065","-3.685222",".0002285"
"_Istatefip_19","-.0094308",".0029755","-3.169541",".0015268"
"_Istatefip_20","-.0025527",".002675","-.9542818",".339941"
"_Istatefip_21","-.0118327",".000757","-15.63145","0"
"_Istatefip_22","-.0016461",".0013368","-1.2314",".2181731"
"_Istatefip_23","-.001121",".0031323","-.3578871",".7204278"
"_Istatefip_24","-.0067833",".0032346","-2.097129",".0359822"
"_Istatefip_25",".0088831",".0026945","3.296802",".0009779"
"_Istatefip_26","-.0008729",".002084","-.4188457",".6753289"
"_Istatefip_27",".0126994",".0035114","3.61663",".0002985"
"_Istatefip_28",".0107023",".0012075","8.862855","0"
"_Istatefip_29","-.0010108",".0016168","-.6252025",".5318382"
"_Istatefip_30","-.0169544",".0039131","-4.33272",".0000147"
"_Istatefip_31",".0125842",".0036899","3.410419",".0006486"
"_Istatefip_32","-.0588557",".0043076","-13.66317","0"
"_Istatefip_33",".0080006",".00308","2.597567",".0093887"
"_Istatefip_34","-.0043908",".0025011","-1.755543",".0791665"
"_Istatefip_35","-.0002891",".0023928","-.1208136",".9038387"
"_Istatefip_36","-.0050613",".0022565","-2.242971",".0248987"
"_Istatefip_37",".0111635",".0016189","6.895843","5.35e-12"
"_Istatefip_38","-.004054",".0050634","-.8006468",".4233362"
"_Istatefip_39","-.0049193",".001291","-3.810445",".0001387"
"_Istatefip_40","-.0079875",".0011635","-6.865058","6.65e-12"
"_Istatefip_41","-.0068363",".0031152","-2.194462",".0282022"
"_Istatefip_42","-.0014242",".0014287","-.9968412",".3188416"
"_Istatefip_44",".013639",".0027555","4.949797","7.43e-07"
"_Istatefip_45",".0031667",".0013101","2.417214",".0156398"
"_Istatefip_46",".0054079",".004679","1.155789",".2477676"
"_Istatefip_47","-.0011714",".0007767","-1.508281",".1314826"
"_Istatefip_48","-.0037411",".0027919","-1.339965",".1802567"
"_Istatefip_49","-.0288139",".0026793","-10.75419","0"
"_Istatefip_50",".0097917",".0036532","2.680341",".0073547"
"_Istatefip_51","-.0085669",".0015855","-5.403431","6.54e-08"
"_Istatefip_53","-.0007971",".0032085","-.2484291",".8038024"
"_Istatefip_54","-.0097682",".0016949","-5.76315","8.26e-09"
"_Istatefip_55",".0000471",".0026744",".0176229",".9859397"
"_Istatefip_56","-.0010896",".0053668","-.2030329",".8391093"
"_cons",".1415739",".0191289","7.401031","1.35e-13"
"N","2166","","",""
"r2",".2637311","","",""
"df_m","57","","",""
"df_r","","","",""
"df_b","","","",""
"df","","","",""
