"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"du_diff_news_TOT","2.163642","1.085132","1.993897",".0466368","-.019753",".4590932","-.043026",".9656958"
"diff_log_unem","-.77669","2.075314","-.3742517",".7083555",".0287979","1.002831",".0287166",".9771006"
"diff_own_espresso",".4943679","2.932325",".1685925",".8661767","-.3871187","1.056484","-.3664216",".7141858"
"diff_own_rcs",".711733","3.876071",".1836223",".8543748","-2.439966","1.576711","-1.547503",".122294"
"diff_own_caltagirone","-2.68747","2.077807","-1.293416",".1963883",".818391",".8850811",".9246509",".3555367"
"diff_own_lastampa",".1092826","3.230786",".0338254",".9730282","-3.359574","1.270015","-2.645303",".0083857"
"diff_own_athesis","0",".",".",".","0",".",".","."
"diff_own_sesaab","12.0528","5.019205","2.401337",".0166528",".7481828","1.929428",".3877744",".698327"
"diff_own_edisud","-1.369967","3.003887","-.4560648",".6485162",".2947397","1.088138",".270866",".7865916"
"diff_own_monrif",".3605993","1.871663",".1926625",".8472916",".3510373",".8488231",".4135577",".6793528"
"diff_own_ciarrapico","-3.723569","4.638638","-.802729",".4224642","1.756135","2.148452",".8173955",".4140422"
"diff_delta_log_comm","-1.735026","1.769156","-.9807081",".3271506",".1147567",".7709253",".1488558",".8817198"
"diff_delta_log_finan","-.4148375","1.41117","-.293967",".7688895",".6757387",".6047024","1.117473",".2642604"
"diff_logpop_res_tagliacarne","17.19458","7.484139","2.29747",".0219515","4.092163","4.309416",".9495865",".3427227"
"_cons","-.3270456",".9514694","-.3437269",".7311778","-2.005558",".3850026","-5.209206","2.65e-07"
"N","964","","","","964","","",""
"r2",".5647241","","","",".1463919","","",""
"df_m","13","","","","13","","",""
"df_r","573","","","","573","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
