"","A1","","","","A2","","","","A3","","","","A4","","","","B4","","","","C4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"yr1917","-1.11737",".2657937","-4.203898",".0001136","6.37901",".0781557","81.61927","3.71e-53","-.5032601",".284379","-1.769681",".0831325","-.2524357",".2681644","-.9413465",".351241",".3043275",".2381371","1.277951",".2074126","-.3551293",".2576164","-1.37852",".1744342"
"yr1922","-.4494881",".2229148","-2.016412",".049371","6.867603",".0306829","223.8253","4.01e-74",".000963",".2515229",".0038288",".996961",".0943494",".2427873",".3886093",".6992836",".5553098",".2238565","2.48065",".0166722","-.0209755",".2292028","-.0915152",".9274641"
"yr1923","-.288954",".2035005","-1.419917",".1620944","6.980921",".0425733","163.9742","1.21e-67",".1243105",".2352507",".5284172",".5996446",".1727658",".2185878",".790373",".4331976",".6213713",".2011078","3.089743",".0033286",".0643608",".2055645",".3130931",".7555663"
"yr1924","-.396379",".2233669","-1.774564",".082312","6.921693",".0368976","187.5919","1.91e-70",".013406",".2418784",".0554247",".9560302",".1138233",".2286248",".4978607",".6208556",".5454033",".2163818","2.52056",".0150949",".0238869",".2119095",".1127221",".910721"
"yr1925","-.7645329",".2292204","-3.335361",".0016496","6.603901",".0371409","177.8069","2.49e-69","-.3661864",".2404837","-1.522708",".1343934","-.2017187",".2299451","-.8772473",".384722",".2255394",".2159121","1.044589",".3014453","-.2705719",".2113123","-1.280436",".2065449"
"yr1926","-.7125452",".2288077","-3.114166",".003108","6.671487",".0335042","199.1242","1.09e-71","-.3481825",".2301051","-1.513146",".1367996","-.1642845",".2215384","-.7415622",".4619656",".2294489",".2108988","1.087957",".2820467","-.249644",".2068417","-1.206933",".2333725"
"yr1927","-.7197086",".2322189","-3.099269",".0032409","6.673829",".0365126","182.7813","6.63e-70","-.3536522",".2331639","-1.516753",".1358878","-.1536093",".2255432","-.681064",".4991036",".2568104",".2105067","1.219963",".2284391","-.2493279",".2120284","-1.175917",".2454274"
"yr1928","-.7822996",".2389372","-3.274081",".0019704","6.622107",".0485405","136.4242","8.09e-64","-.4143125",".2376659","-1.743256",".0876918","-.1904913",".227809","-.8361884",".4071924",".2387782",".2150273","1.110455",".2723348","-.3010663",".2198724","-1.369277",".1772858"
"yr1929","-.7836034",".233397","-3.357384",".0015469","6.604497",".0375528","175.8723","4.20e-69","-.4171067",".227345","-1.834686",".0727539","-.2346068",".2166768","-1.08275",".2843289",".1708317",".2040684",".8371294",".4066685","-.3683958",".2059415","-1.788837",".0799525"
