"","w15","","","","w20","","","","w25","","","","w30","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"right",".1082145",".0519579","2.082735",".0372866",".1207901",".0452258","2.670825",".0075706",".1490488",".0405317","3.677339",".000236",".2021424",".0369546","5.470024","4.52e-08"
"lwpop","-.2355936","2.147785","-.1096914",".9126551","-1.625871","1.38426","-1.174541",".2401877",".534446",".9790247",".5458963",".5851405","-1.825218",".7464123","-2.445321",".0144762"
"lwpop_2","10.4661","33.54685",".3119845",".7550552","-14.65046","16.10138","-.9098884",".3628887","14.31979","8.96725","1.596899",".1102968","-11.29776","5.688908","-1.985928",".0470475"
"lwpop_3","72.7497","148.3149",".4905083",".623779","-46.10258","53.20608","-.8664908",".386228","54.83628","23.32106","2.351363",".0187099","-17.50615","12.33338","-1.419412",".155786"
"lwpop_r1","1.006708","2.961151",".3399718",".7338809","2.263945","1.926262","1.175305",".2398821","-4.289535","1.383955","-3.099475",".0019401","-2.426729","1.04948","-2.312315",".0207649"
"lwpop_r2","-51.66224","45.93964","-1.124568",".2607842","-16.35198","22.29026","-.733593",".4632026","16.92074","12.81892","1.319982",".1868491","47.95142","8.066209","5.944728","2.79e-09"
"lwpop_r3","176.7453","202.0289",".8748517",".3816639","211.5936","73.20745","2.890329",".0038512","-117.35","33.69237","-3.482983",".0004964","-60.25105","17.58602","-3.426076",".0006129"
"_cons","15.21179",".0375919","404.656","0","15.19594",".0324502","468.2845","0","15.22872",".0288254","528.3098","0","15.1846",".0262292","578.9195","0"
"N","22604","","","","29768","","","","37157","","","","44276","","",""
"r2",".0010935","","","",".002928","","","",".0036023","","","",".0041586","","",""
"df_m","7","","","","7","","","","7","","","","7","","",""
"df_r","22596","","","","29760","","","","37149","","","","44268","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
