"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"lvouch","-.0946165",".0357632","-2.645635",".0092366",".0385638",".0164013","2.351264",".0201786",".0404593",".0170917","2.367185",".0193546"
"linc","1.219797",".4048946","3.012628",".0031547",".9443038",".1762267","5.358462","3.59e-07",".9756538",".2148526","4.541038",".0000123"
"ltotpop",".3440734",".3586613",".9593269",".3393071",".6211917",".1488917","4.172104",".0000541",".5449932",".2056902","2.649583",".0090284"
"lvacancy",".0534366",".0568844",".9393896",".3494022","-.012091",".0193492","-.6248847",".5331173",".0036922",".024631",".1498988",".8810699"
"evrod",".0219617",".0161028","1.363839",".1751499","-.0055089",".0108234","-.5089842",".6116066",".0032059",".0095354",".3362062",".7372413"
"drywash",".0258117",".0217631","1.186033",".2379331",".0239238",".0157347","1.520449",".130772",".0269054",".0142238","1.89158",".0607051"
"cracks","-.0166388",".0235506","-.7065133",".4812272",".0085011",".0120913",".7030791",".4832354",".0049913",".0106288",".4695974",".6394059"
"ifsew","-.0862284",".047752","-1.805753",".073443",".0049373",".018851",".2619132",".7937936","-.0190027",".0230769","-.8234524",".4117139"
"_Iyear_1999","-.196955",".0288905","-6.817293","3.88e-10","-.0136996",".0159663","-.8580327",".392418","-.0099221",".0166623","-.595482",".5525257"
"_Iyear_2001","-.1243214",".0406159","-3.060903",".0027189",".0448255",".0192534","2.328187",".0214108",".0491742",".0208472","2.358798",".0197792"
"_Iyear_2003","-.0623594",".0373384","-1.670112",".0974821",".07827",".0170614","4.587561",".0000102",".080916",".0188332","4.296447",".0000331"
"lfmrratio","0",".",".",".","0",".",".",".","","","",""
"_IyeaXlfm_1999","-.7023759",".0441108","-15.923","1.80e-31","-.263518",".0650656","-4.050037",".0000865","","","",""
"_IyeaXlfm_2001","-.7425645",".0491396","-15.11134","1.23e-29","-.2176296",".0523023","-4.160994",".0000565","","","",""
"_IyeaXlfm_2003","-.7162529",".0376131","-19.04263","3.29e-38","-.186719",".0680332","-2.744528",".0068974","","","",""
"INT_fmrlow","","","","","","","","","-.1396835",".0441811","-3.161613",".0019406"
"_Ifmrratio__1","","","","","","","","","0",".",".","."
"_Ifmrratio__2","","","","","","","","","0",".",".","."
"_IyeaXfmr_1999_1","","","","","","","","",".1827393",".0155393","11.75983","2.24e-22"
"_IyeaXfmr_1999_2","","","","","","","","","0",".",".","."
"_IyeaXfmr_2001_1","","","","","","","","",".2167685",".0259911","8.340091","7.92e-14"
"_IyeaXfmr_2001_2","","","","","","","","","0",".",".","."
"_IyeaXfmr_2003_1","","","","","","","","",".238496",".0204582","11.65772","4.06e-22"
"_IyeaXfmr_2003_2","","","","","","","","","0",".",".","."
"_cons","-11.13841","5.507145","-2.022538",".0453254","-12.86556","2.574998","-4.996338","1.80e-06","-11.89727","3.101756","-3.835656",".000192"
"N","4467","","","","9562","","","","14029","","",""
"r2",".3398432","","","",".1586879","","","",".1953892","","",""
"df_m","13","","","","13","","","","14","","",""
"df_r","121","","","","133","","","","134","","",""
"df_b","14","","","","14","","","","15","","",""
"df","","","","","","","","","","","",""
