	(1)	(2)	(3)	(4)
VARIABLES	lrent_ut	lrent_ut	lrent_ut	lrent_ut
				
lvouch	-0.102	-0.102	-0.102	-0.102
	(0.077)	(0.077)	(0.077)	(0.077)
c.lvouch#c.lsaiz	-0.852***	-0.852***	-0.852***	-0.852***
	(0.262)	(0.262)	(0.262)	(0.262)
c.lvouch#c.lsaiz#c.lsaiz	1.372**	1.372**	1.372**	1.372**
	(0.563)	(0.563)	(0.563)	(0.563)
c.lvouch#c.lsaiz#c.lsaiz#c.lsaiz	1.473**	1.473**	1.473**	1.473**
	(0.642)	(0.642)	(0.642)	(0.642)
c.lvouch#c.lsaiz#c.lsaiz#c.lsaiz#c.lsaiz	-2.359*	-2.359*	-2.359*	-2.359*
	(1.328)	(1.328)	(1.328)	(1.328)
c.lvouch#c.lsaiz#c.lsaiz#c.lsaiz#c.lsaiz#c.lsaiz	0.675	0.675	0.675	0.675
	(0.553)	(0.553)	(0.553)	(0.553)
linc	0.819***	0.819***	0.819***	0.819***
	(0.187)	(0.187)	(0.187)	(0.187)
ltotpop	0.383**	0.383**	0.383**	0.383**
	(0.170)	(0.170)	(0.170)	(0.170)
lvacancy	0.002	0.002	0.002	0.002
	(0.016)	(0.016)	(0.016)	(0.016)
evrod	0.002	0.002	0.002	0.002
	(0.007)	(0.007)	(0.007)	(0.007)
drywash	0.041***	0.041***	0.041***	0.041***
	(0.011)	(0.011)	(0.011)	(0.011)
cracks	0.018*	0.018*	0.018*	0.018*
	(0.009)	(0.009)	(0.009)	(0.009)
ifsew	0.005	0.005	0.005	0.005
	(0.016)	(0.016)	(0.016)	(0.016)
_Iyear_1999	0.003	0.003	0.003	0.003
	(0.014)	(0.014)	(0.014)	(0.014)
_Iyear_2001	0.072***	0.072***	0.072***	0.072***
	(0.019)	(0.019)	(0.019)	(0.019)
_Iyear_2003	0.098***	0.098***	0.098***	0.098***
	(0.018)	(0.018)	(0.018)	(0.018)
o.lsaiz	-	-	-	-
				
_IyeaXlsa_1999	-0.024	-0.024	-0.024	-0.024
	(0.015)	(0.015)	(0.015)	(0.015)
_IyeaXlsa_2001	-0.002	-0.002	-0.002	-0.002
	(0.014)	(0.014)	(0.014)	(0.014)
_IyeaXlsa_2003	-0.028	-0.028	-0.028	-0.028
	(0.017)	(0.017)	(0.017)	(0.017)
Constant	-8.689***	-8.689***	-8.689***	-8.689***
	(2.835)	(2.835)	(2.835)	(2.835)
				
Observations	22,839	22,839	22,839	22,839
R-squared	0.100	0.100	0.100	0.100
Number of control	7,772	7,772	7,772	7,772
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
