	(1)	(2)	(3)
VARIABLES	lrent_ut	lrent_ut	lrent_ut
			
lvouch	-0.095***	0.039**	0.040**
	(0.036)	(0.016)	(0.017)
INT_fmrlow			-0.140***
			(0.044)
linc	1.220***	0.944***	0.976***
	(0.405)	(0.176)	(0.215)
ltotpop	0.344	0.621***	0.545***
	(0.359)	(0.149)	(0.206)
lvacancy	0.053	-0.012	0.004
	(0.057)	(0.019)	(0.025)
evrod	0.022	-0.006	0.003
	(0.016)	(0.011)	(0.010)
drywash	0.026	0.024	0.027*
	(0.022)	(0.016)	(0.014)
cracks	-0.017	0.009	0.005
	(0.024)	(0.012)	(0.011)
ifsew	-0.086*	0.005	-0.019
	(0.048)	(0.019)	(0.023)
_Iyear_1999	-0.197***	-0.014	-0.010
	(0.029)	(0.016)	(0.017)
_Iyear_2001	-0.124***	0.045**	0.049**
	(0.041)	(0.019)	(0.021)
_Iyear_2003	-0.062*	0.078***	0.081***
	(0.037)	(0.017)	(0.019)
o._Ifmrratio__1			-
			
o._Ifmrratio__2			-
			
_IyeaXfmr_1999_1			0.183***
			(0.016)
o._IyeaXfmr_1999_2			-
			
_IyeaXfmr_2001_1			0.217***
			(0.026)
o._IyeaXfmr_2001_2			-
			
_IyeaXfmr_2003_1			0.238***
			(0.020)
o._IyeaXfmr_2003_2			-
			
o.lfmrratio	-	-	
			
_IyeaXlfm_1999	-0.702***	-0.264***	
	(0.044)	(0.065)	
_IyeaXlfm_2001	-0.743***	-0.218***	
	(0.049)	(0.052)	
_IyeaXlfm_2003	-0.716***	-0.187***	
	(0.038)	(0.068)	
Constant	-11.138**	-12.866***	-11.897***
	(5.507)	(2.575)	(3.102)
			
Observations	4,467	9,562	14,029
R-squared	0.340	0.159	0.195
Number of control	1,398	2,939	4,337
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
