	(1)	(2)	(3)
VARIABLES	lrent_ut	lrent_ut	lrent_ut
			
lvouch	0.023	0.113*	0.232***
	(0.057)	(0.064)	(0.056)
INT_saizg1		-0.190**	-0.254***
		(0.091)	(0.086)
INT_fmrlow			-0.279**
			(0.126)
INT_saizg1_fmrlow			0.004
			(0.007)
linc	0.892***	0.874***	1.009***
	(0.219)	(0.215)	(0.222)
ltotpop	0.319	0.370*	0.557**
	(0.211)	(0.212)	(0.229)
lvacancy	-0.004	-0.009	-0.009
	(0.018)	(0.017)	(0.020)
evrod	0.004	0.005	0.007
	(0.010)	(0.010)	(0.010)
drywash	0.031*	0.031*	0.032**
	(0.016)	(0.016)	(0.015)
cracks	0.007	0.007	0.005
	(0.010)	(0.010)	(0.010)
ifsew	0.003	0.003	0.002
	(0.022)	(0.022)	(0.022)
_Iyear_1999	0.056***	0.056***	0.370***
	(0.017)	(0.016)	(0.034)
_Iyear_2001	0.133***	0.131***	0.502***
	(0.022)	(0.021)	(0.060)
_Iyear_2003	0.176***	0.174***	0.599***
	(0.022)	(0.022)	(0.061)
o.lsaiz	-	-	-
			
_IyeaXlsa_1999	0.015	0.016	0.034*
	(0.019)	(0.019)	(0.020)
_IyeaXlsa_2001	0.017	0.033*	0.057***
	(0.019)	(0.018)	(0.020)
_IyeaXlsa_2003	-0.016	0.013	0.039**
	(0.017)	(0.018)	(0.018)
o._Iyear_1999			-
			
o._Iyear_2001			-
			
o._Iyear_2003			-
			
o.fmrratio_bins			-
			
_IyeaXfmr_1999			-0.194***
			(0.017)
_IyeaXfmr_2001			-0.233***
			(0.029)
_IyeaXfmr_2003			-0.268***
			(0.030)
Constant	-8.003**	-8.660***	-12.905***
	(3.205)	(3.176)	(3.460)
			
Observations	12,861	12,861	12,861
R-squared	0.177	0.177	0.204
Number of control	3,973	3,973	3,973
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
