	(1)	(2)	(3)
VARIABLES	lrent_ut	lrent_ut	lrent_ut
			
lvouch03	0.009	-0.022	0.004
	(0.019)	(0.110)	(0.014)
linc	1.053***	2.017**	0.593**
	(0.359)	(0.919)	(0.272)
ltotpop	0.565	0.462	0.499
	(0.351)	(0.814)	(0.373)
lvacancy	0.065*	0.126*	0.022
	(0.034)	(0.072)	(0.031)
evrod	-0.006	-0.010	-0.006
	(0.016)	(0.026)	(0.020)
drywash	0.016	-0.006	0.023
	(0.022)	(0.049)	(0.024)
cracks	-0.008	-0.022	-0.005
	(0.021)	(0.047)	(0.021)
ifsew	-0.015	-0.070	0.017
	(0.030)	(0.073)	(0.029)
_Iyear_1999	-0.036	-0.224***	0.016
	(0.026)	(0.066)	(0.026)
o._Iyear_2001	-	-	-
			
o._Iyear_2003	-	-	-
			
o.lfmrratio	-	-	-
			
_IyeaXlfm_1999	-0.429***	-0.631***	-0.242***
	(0.032)	(0.068)	(0.082)
o._IyeaXlfm_2001	-	-	-
			
o._IyeaXlfm_2003	-	-	-
			
Constant	-13.240***	-22.069*	-7.153
	(4.812)	(12.952)	(5.229)
			
Observations	4,724	1,424	3,300
R-squared	0.236	0.381	0.085
Number of control	2,362	712	1,650
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
