"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","","","est11","","","","est12","","","","est13","","","","est14","","","","est15","","","","est16","","","","est17","","","","est18","","","","est19","","","","est20","","","","est21","","","","est22","","","","est23","","","","est24","","","","est25","","","","est26","","","","est27","","","","est28","","","","est29","","","","est30","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"year2122","9.271181",".7404147","12.52161","8.45e-35","11.56429",".8313984","13.90944","3.21e-42","12.84358",".8468893","15.16559","1.72e-49","13.20939","1.036383","12.74566","5.94e-36","13.4429","1.157674","11.61199","2.68e-30","11.47959","1.025902","11.18976","2.61e-28","13.21249","1.070186","12.34597","6.59e-34","12.59901",".9629781","13.08339","1.00e-37","13.50084","1.015506","13.29469","7.49e-39","11.65637",".7832399","14.88225","8.35e-48","8.092851",".6666563","12.13946","7.14e-33","10.55989",".8160065","12.94094","5.68e-37","11.45632",".8984039","12.75186","5.51e-36","14.79778",".952684","15.53272","1.04e-51","14.12979","1.059424","13.33723","4.42e-39","14.71008","1.195474","12.30481","1.06e-33","13.60642","1.090925","12.47236","1.50e-34","11.88547",".7607369","15.62362","2.91e-52","11.45207",".9024516","12.68996","1.15e-35","9.842258",".7760803","12.68201","1.27e-35","10.2679",".7349132","13.97158","1.44e-42","11.01715",".7347754","14.9939","1.82e-48","10.59784",".9264028","11.43978","1.77e-29","13.33395","1.009688","13.20602","2.24e-38","13.68846",".8921045","15.34401","1.46e-50","10.21454",".7730854","13.2127","2.06e-38","9.70371",".6958505","13.94511","2.03e-42","10.22384",".9114651","11.21693","1.95e-28","12.10757",".8972273","13.49443","6.23e-40","15.76673",".8476413","18.60071","7.61e-72"
"share_hybrid",".001218",".0103956",".1171604",".9067436",".0084799",".0127987",".6625603",".5076816",".0011457",".0114759",".0998386",".9204816","-.014472",".0144108","-1.004244",".3153714",".0167831",".0141423","1.186727",".2354633","-.0088884",".0145841","-.6094556",".5422853","-.0092184",".0136948","-.6731333",".5009331",".0116027",".0146107",".7941219",".42721",".0106635",".0136133",".7833182",".4335245","-.0018729",".0125864","-.148806",".8817203",".0073375",".0127294",".5764245",".5643872","-.0008396",".0118065","-.071111",".9433159","-.0021748",".0117939","-.1844026",".8537146","-.007096",".0139702","-.5079404",".611546",".0134804",".0151269",".8911513",".3729454",".0091879",".0155351",".5914288",".5542938","-.0009816",".0161019","-.0609628",".9513944",".002114",".0114743",".1842393",".8538427",".0063548",".0133681",".4753699",".6345705","-.0026781",".0106663","-.2510852",".8017717","-.0093717",".0165299","-.5669549",".5708026",".0112162",".0125613",".8929227",".371996",".0094283",".0132796",".7099833",".4777897","-.0134528",".0118989","-1.130589",".2583512",".0025012",".0121066",".2065989",".8363423",".024789",".0103027","2.40606",".0162075",".0144255",".0094768","1.522183",".1281069",".0195496",".0126312","1.54773",".121831",".0090754",".0109118",".8316991",".405669","-.0081705",".0167142","-.4888341",".6250078"
"share_virtual","-.032567",".0163019","-1.997735",".0458681",".027493",".0222682","1.234627",".2171012",".0331249",".0215861","1.534549",".1250382",".0864063",".0203064","4.25512",".0000218",".1061437",".0176133","6.026345","1.96e-09",".1462661",".0177386","8.245661","2.79e-16",".1075366",".0238956","4.500259","7.14e-06",".091672",".0192096","4.772205","1.94e-06",".0640122",".0197613","3.239262",".0012162",".0088333",".0212856",".4149907",".6781892","-.0301555",".0192013","-1.570488",".1164453",".007998",".0192317",".415877",".6775405",".0742417",".0185504","4.002162",".0000648",".0769058",".0169321","4.542012","5.87e-06",".0841601",".0196692","4.278774",".0000196",".0902089",".0197742","4.561955","5.35e-06",".1107114",".0188434","5.875338","4.86e-09",".0442349",".0205265","2.155013",".031269",".0654307",".0220422","2.968429",".0030256","-.0072469",".0156802","-.4621663",".6440077",".1423684",".0176928","8.046664","1.38e-15",".0473031",".0216072","2.189231",".0286846",".0672244",".0169659","3.962336",".0000766",".0771347",".0202448","3.810093",".0001427",".0591205",".0168186","3.515178",".0004483",".0860416",".0318876","2.698282",".007023",".0963506",".0265949","3.622905",".0002979",".0308115",".0205959","1.496006",".1347953",".0050239",".0177005",".2838267",".7765699",".0688359",".0134203","5.129232","3.16e-07"
"per_black","-.0224005",".4086711","-.0548131",".9562924",".2887623",".4378373",".6595197",".5096311","-1.118916",".4942581","-2.263829",".0236815",".6192295",".4860549","1.273991",".2028011",".2523237",".333485",".7566269",".4493544",".8513872",".3991801","2.13284",".0330481",".3110324",".7476484",".4160142",".6774402",".1767084",".4760729",".3711792",".7105397","-.4023547",".3950391","-1.018519",".3085434","-1.016067",".5037186","-2.017132",".0438029",".0896864",".4089149",".2193278",".826415","-.5228538",".573104","-.9123192",".3617006","-.4996748",".5378345","-.9290494",".3529653","-.5652918",".4546023","-1.243486",".213821",".4835781",".3214575","1.50433",".1326399",".5774954",".3188349","1.811268",".0702355",".1633116",".4230181",".386063",".6994873","-.7488703",".5344676","-1.401152",".1613097","-.299654",".4951624","-.6051631",".545133",".0389243",".4224511",".0921393",".9265958","-.5304227",".4924241","-1.077166",".2815239","-1.873436","1.098241","-1.705852",".0881766","-.905149","1.364335","-.6634361",".5071207","-.7031966",".6987871","-1.00631",".3143769","-.2544535",".252635","-1.007198",".3139503",".4883384",".4668882","1.045943",".2957021",".4729484",".4034151","1.172362",".2411787",".3757973",".3946145",".9523149",".3410418","-.7969254",".3493348","-2.281265",".0226278","-.0876725",".3903843","-.22458",".8223268"
"per_asian","-.3314523",".2274335","-1.457359",".1451598","-.4427152",".707425","-.6258121",".531503",".4437011",".9427304",".4706554",".6379335",".5219543","1.124563",".4641395",".6425937",".621149","1.161099",".5349663",".5927272","-1.996742","1.369678","-1.457818",".1450332",".157837","1.624655",".0971511",".9226152","-.4357934",".976871","-.4461115",".6555605","-.6784375",".6402528","-1.05964",".2894247","-.6602079",".2864255","-2.30499",".0212597","-.3089022",".2741762","-1.126656",".2600108",".7441016",".5449717","1.365395",".1722684","-.937674",".6675945","-1.404556",".1602942","-.1308753",".794553","-.1647157",".8691829",".3346891","1.406786",".2379105",".8119727",".6393987","1.814977",".3522903",".7246543",".8468326","1.091671",".7757217",".4379965","-.0406253",".9294297","-.04371",".9651396","-.4104357",".5806611","-.7068422",".4797393","-.3686312",".2684933","-1.372962",".1699039","-.8540757",".6836026","-1.249375",".2116608","-1.110099",".5650489","-1.964606",".0495853","-1.950826",".3873339","-5.036548","5.13e-07","-.9069162",".3908374","-2.320444",".0204078","-.276126",".4348347","-.6350136",".5254855","-.3133497",".7448478","-.4206896",".6740228","-.8347235",".2880369","-2.897974",".003793","-1.269388",".3289021","-3.859472",".0001169","-.6879313",".4784361","-1.437875",".1506116","-.1940315",".5445173","-.3563367",".7216226"
"per_hispanic","-.0336111",".2022183","-.1662119",".8680054",".0249549",".244707",".1019788",".9187828",".0886311",".2447555",".362121",".7172964",".0902934",".3432803",".263031",".7925513","-.2893363",".3341106","-.8659898",".3865901",".6715191",".279444","2.403054",".016341","-.1184118",".3144951","-.3765139",".7065712","-.0367869",".272732","-.1348829",".8927168","-.8241931",".3393259","-2.428913",".0152237","-.3111697",".388937","-.8000517",".4237671",".2618097",".211212","1.239559",".2152707",".2724773",".2425041","1.123599",".2613058","-.3572192",".2629591","-1.358459",".1744571","-.2000008",".3174591","-.630005",".5287567","-.3351595",".3637964","-.9212834",".3570034","-.1420936",".3283339","-.4327715",".6652231","-.2481316",".3558548","-.6972831",".4856991",".0401436",".317502",".1264359",".8993985","-.0285151",".2579389","-.1105499",".9119833",".0471396",".1862654",".2530777",".8002318",".2753653",".36906",".7461262",".4556708","-.3426051",".3335693","-1.027088",".3044916",".0471895",".2280988",".2068819",".8361212","-.0565665",".2567975","-.2202767",".8256761","-.4712767",".3265339","-1.44327",".1490865","-1.426102","1.072373","-1.329857",".1837032","-.1928563",".3276832","-.5885449",".556227","-.5105446",".2865349","-1.781789",".0749214","-.0183312",".2640394","-.069426",".9446568","-.3110003",".2312541","-1.344842",".1788147"
"per_other",".0581488",".0395402","1.470626",".1415351","-.180425",".2719577","-.6634305",".5071243","-.0614277",".2537523","-.2420773",".8087428",".208205",".4356837",".4778811",".6327822","-.0973211",".2914424","-.333929",".7384649","-.0852702",".3408216","-.2501902",".8024636","-.0512103",".3581625","-.1429805",".8863186",".1711086",".2263026",".7561054",".4496669","-.0615402",".1959783","-.3140154",".7535391","-.0323369",".0608863","-.5311036",".5954005",".0669766",".0422272","1.5861",".1128601",".0880202",".0482873","1.822845",".0684624","-.3077662",".3370644","-.9130783",".3613013","-.261994",".338876","-.7731263",".4395306",".0239213",".2440752",".0980078",".921935","-.3634255",".5098416","-.7128203",".4760324",".1319052",".1930572",".6832442",".4945244","-.1306302",".2675792","-.4881927",".625462",".0697907",".2038571",".3423511",".7321194",".0316029",".0383697",".8236399",".4102334",".0455469",".0610828",".7456585",".4559533","-.0200248",".1071275","-.1869254",".8517363","-.1264126",".1320641","-.9572064",".3385682","-1.433796",".5096111","-2.81351",".0049439","-.1727035",".4872913","-.3544154",".7230615",".0240981",".0471908",".5106531",".6096451",".0410207",".0612113",".6701485",".5028334","-.3621514",".3371502","-1.074155",".2828711","-.2842631",".3996192","-.711335",".476952",".194168",".3747214",".5181661",".6043944"
"single_parent",".1017944",".0582175","1.74852",".0805133",".0070352",".0673217",".1045005",".9167817","-.0063142",".0788479","-.0800805",".9361805","-.0047578",".0730125","-.0651648",".9480487",".064394",".0586919","1.097153",".2726944",".0340407",".0483614",".7038823",".4815804",".082975",".0647039","1.28238",".1998445",".0153479",".0762467",".2012931",".840488","-.0560731",".0862646","-.6500131",".5157516",".0626881",".0729185",".8597009",".3900475",".1804031",".0538019","3.353101",".0008126",".1086151",".0608042","1.786308",".0741869",".068117",".0712452",".9560923",".3391305",".1196421",".0794222","1.506406",".1321063",".0755779",".061715","1.224628",".2208466",".0158254",".0577021",".2742601",".7839105",".0509903",".0717308",".7108561",".4772486",".0100408",".0730353",".1374781",".8906655",".0150401",".0758197",".1983663",".8427768",".0813381",".064052","1.269876",".204263",".0708965",".0669001","1.059736",".2893808",".0324346",".0607626",".5337921",".5935392",".0705882",".0633457","1.114333",".265258",".0740043",".0773755",".95643",".33896","-.0498358",".0735243","-.677814",".4979609",".0217959",".0466528",".4671937",".6404075",".0187503",".0479085",".3913775",".6955561",".0839881",".0558846","1.502884",".1330123","-.0266942",".0804749","-.3317086",".7401409","-.0619441",".0732446","-.8457153",".3978035"
"high_school",".2207238",".2798238",".7887955",".4303164",".100709",".2462049",".4090454",".6825461","-.151349",".2239832","-.6757155",".4992922","-.1908222",".2350609","-.811799",".4169947",".1418469",".2040087",".6952985",".4869416","-.008084",".1784641","-.0452977",".9638741","-.1371183",".2076804","-.6602374",".5091706","-.0494304",".2524637","-.1957921",".844791",".1834421",".2912468",".6298509",".5288575","1.06742",".3937878","2.710647",".0067673",".2999958",".2423462","1.237881",".2158922",".3828628",".2120753","1.805315",".0711619",".2455348",".2037208","1.205252",".2282357","-.2663437",".2557226","-1.041534",".2977422",".1004319",".2229263",".4505164",".6523825",".0559501",".1993624",".2806451",".779009","-.2953371",".221547","-1.333068",".1826473","-.0246216",".2214534","-.1111819",".9114822",".0151891",".2829316",".0536849",".9571911",".5261674",".293389","1.793412",".0730442",".1266937",".205823",".6155468",".5382572",".3319453",".2038881","1.628076",".1036517",".3999743",".2385001","1.67704",".0936766",".6796836",".2812164","2.416941",".0157323","-.0479585",".223037","-.2150248",".8297679",".1260239",".1664045",".7573349",".4489302","-.1686391",".1722506","-.979033",".3276713",".1847767",".2101278",".8793539",".3793053",".4598607",".2618632","1.75611",".0792086",".2162142",".2113721","1.022908",".3064637"
