"","est1","","",""
"","b","se","t","p"
"tot_emp","","","",""
"treat","-.0650851",".0034007","-19.13863","0"
"treat2008","-.0553422",".0093649","-5.909545","3.43e-09"
"treat_2014",".0090511",".0067091","1.349082",".1773106"
"2000.year","0",".",".","."
"2001.year",".0127374",".0051267","2.48451",".012973"
"2002.year",".0234141",".0065305","3.585361",".0003366"
"2003.year",".0217386",".0079846","2.722568",".0064777"
"2004.year",".0516986",".0088894","5.81577","6.04e-09"
"2005.year",".080916",".0098425","8.221118","2.22e-16"
"2006.year",".1057103",".0098765","10.70318","0"
"2007.year",".1297255",".010005","12.96612","0"
"2008.year",".1585517",".0116445","13.61602","0"
"2009.year",".1759487",".0132773","13.25187","0"
"2010.year",".1957562",".0138595","14.1243","0"
"2011.year",".2182244",".0134795","16.18939","0"
"2012.year",".2359703",".0141615","16.66286","0"
"2013.year",".2500196",".0145874","17.13948","0"
"2014.year",".2627389",".0152749","17.20068","0"
"2015.year",".2838679",".0171785","16.52462","0"
"2016.year",".319901",".0180499","17.72317","0"
"2017.year",".3422789",".018873","18.13588","0"
"2018.year",".3587181",".0191055","18.77566","0"
"2019.year",".3617167",".0191834","18.85567","0"
"N","1092","","",""
"r2","","","",""
"df_m","22","","",""
"df_r","","","",""
"df_b","","","",""
"df","","","",""
