"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"first","-.0488536",".017378","-2.811227",".0051738","-.0979368",".0293768","-3.333812",".0009353","-.0662689",".0254244","-2.606507",".0094829","-.044955",".0221679","-2.027931",".0432166"
"first_comarca",".0367275",".0196625","1.867898",".0624946","","","","","","","","","","","",""
"pref_masc","-.0311512",".0310871","-1.002062",".3169092","-.0321207",".0309468","-1.037933",".2999192","-.0314484",".0315677","-.9962213",".3197345","-.0295358",".0310302","-.9518413",".341741"
"pref_idade_tse","-.0003431",".0005759","-.5957974",".5516417","-.0003087",".0005597","-.5514489",".5816293","-.0004825",".0005765","-.8370132",".4030763","-.000432",".000565","-.7646305",".4449336"
"pref_escola","-.0040526",".0030271","-1.338776",".1813908","-.0033059",".0029583","-1.11751",".2644373","-.003608",".003026","-1.19235",".2338187","-.0035111",".0030317","-1.158147",".2474816"
"party_d1","-.0034601",".0170141","-.2033661",".8389505","-.0026965",".0174305","-.154703",".8771324","-.0006191",".0175812","-.035215",".9719256","-.0040533",".0175354","-.2311475",".8173161"
"party_d3",".0091846",".0249125",".3686731",".7125631",".0039064",".0241605",".1616844",".8716348",".0114389",".0259605",".4406275",".6597166",".0073972",".0251381",".2942635",".7687062"
"party_d4",".0032117",".0164216",".1955786",".8450376",".0037043",".0167779",".2207866",".8253696",".0055297",".0167247",".3306318",".7410928",".0027451",".016628",".1650905",".8689545"
"party_d5",".0195191",".0234182",".8334978",".4050529",".0189974",".0232996",".8153548",".4153473",".0210916",".0236361",".8923455",".3727351",".0189955",".0236041",".8047564",".4214289"
"party_d6","-.0153451",".0289859","-.529399",".5968173","-.0119183",".0276001","-.4318227",".6660995","-.0145411",".0282011","-.5156212",".6063989","-.018184",".0299904","-.6063267",".544635"
"party_d7","-.0131154",".0413754","-.3169868",".7514162","-.0161117",".0420346","-.3832968",".7017003","-.0091989",".0417105","-.2205409",".8255605","-.0148872",".0421365","-.3533085",".7240397"
"party_d8",".147322",".0417378","3.529702",".0004635",".1654211",".0425107","3.891279",".0001165",".1467237",".0418003","3.510111",".000498",".146867",".0432622","3.394808",".000754"
"party_d9",".0265077",".0343825",".7709646",".4411752",".0292536",".0343065",".8527129",".3943213",".0337556",".0353013",".9562152",".3395311",".0272593",".0344115",".7921556",".4287303"
"party_d10","-.029613",".035089","-.8439386",".3991994","-.0343753",".0362692","-.9477818",".3438043","-.0266503",".0351804","-.7575321",".4491695","-.0360817",".034719","-1.039251",".2993036"
"party_d11","-.0254927",".0250765","-1.016594",".3099505","-.0207921",".0256601","-.8102908",".4182477","-.0283538",".024748","-1.145705",".2525905","-.0316229",".0246891","-1.280846",".2009755"
"party_d12","-.0052894",".0165151","-.3202788",".7489214","-.0051392",".0165251","-.3109946",".7559643","-.00455",".0167986","-.270858",".7866376","-.0073207",".0171613","-.4265812",".6699094"
"party_d13","-.0047357",".0601889","-.0786813",".9373248","-.0031263",".0632992","-.0493889",".9606336",".0011223",".0596155",".0188249",".98499","-.0058637",".0578398","-.1013788",".9192996"
"party_d14","-.0189196",".0320583","-.5901614",".55541","-.0268523",".0269819","-.9951943",".3202345","-.0217288",".0349741","-.6212818",".5347621","-.030694",".0379925","-.8078968",".4196208"
"party_d15","-.0249974",".0219573","-1.138455",".2556002","-.0171736",".0236748","-.7253958",".4686271","-.0205695",".0210794","-.9758105",".329738","-.0250304",".0210766","-1.18759",".2356858"
"party_d16",".1668086",".0592289","2.816335",".0050938",".1630056",".0582009","2.80074",".0053422",".182529",".0576141","3.168131",".00165",".1754318",".0549655","3.19167",".001524"
"party_d17",".0003255",".0288447",".0112854",".9910013","-.0007644",".0266425","-.0286926",".9771239",".0025131",".0293176",".0857201",".9317311","-.0017766",".0290502","-.0611577",".9512636"
"party_d18",".0246605",".0292623",".8427393",".3998692",".0174859",".0281335",".6215351",".5345964",".0169516",".0280287",".6047938",".5456531",".010664",".0292589",".3644693",".7156964"
"lpop","-.0113546",".0222878","-.5094529",".6107109","-.0168373",".0227619","-.7397166",".4598995","-.0145787",".0220703","-.6605561",".5092707","-.0121141",".0217142","-.5578894",".5772259"
"purb",".022319",".0320388",".6966217",".4864372",".0284906",".0317734",".8966789",".3704217",".024274",".0320058",".7584258",".4486351",".0226879",".0321405",".705898",".4806545"
"p_secundario",".1075711",".1256358",".8562137",".3923834",".1226778",".1232635",".9952483",".3202083",".0965668",".1218014",".792822",".4283435",".1038749",".1237115",".8396542",".401594"
"mun_novo","-.0026282",".0145785","-.1802776",".8570243",".0000205",".0141208",".0014533",".9988411",".0023902",".0144834",".1650275",".8690043","-.0007588",".0140125","-.0541523",".9568404"
"lpib02","-.0032889",".0080453","-.4087911",".682908","-.0042296",".0082048","-.5155065",".6064797","-.0030237",".0078723","-.3840903",".7011121","-.004857",".0080512","-.6032675",".546666"
"gini_ipea","-.1890847",".1115018","-1.695799",".0906887","-.1853029",".1111611","-1.666977",".0962902","-.1671797",".1085585","-1.539996",".1243383","-.1660417",".1089811","-1.523582",".1283879"
"lrec_trans","-.021907",".0269206","-.8137621",".416257","-.0206672",".0265651","-.7779825",".4370324","-.0178972",".0264663","-.6762247",".4992821","-.0096567",".0220244","-.4384526",".6612903"
"lfunc_ativ",".0170514",".0197247",".864471",".3878384",".0178596",".0196269",".9099555",".3633859",".0167891",".019496",".8611561",".3896591","","","",""
"p_cad_pref","-.0875217",".0423731","-2.065499",".0395084","-.0756624",".0407594","-1.856317",".0641326","-.1376935",".0525692","-2.61928",".0091408","-.0293778",".0512591","-.5731229",".5668772"
"vereador_eleit","-7.400969","10.09161","-.7333787",".4637497","-10.35311","10.03077","-1.032135",".3026235","-7.718683","9.789555","-.7884611",".4308861","-8.354872","10.06042","-.8304698",".4067589"
"ENLP2000","-.002855",".0043932","-.6498656",".5161457","-.0025863",".0045097","-.5734909",".5666299","-.0011615",".0045147","-.2572751",".7970964","","","",""
"comarca","-.0285932",".0175391","-1.630253",".1038217","-.0048697",".0141278","-.3446867",".7305084","-.0079225",".0137623","-.5756705",".5651561","-.0077365",".0138668","-.5579147",".5772086"
"sorteio1","-.021632",".0330614","-.6542965",".5132903","-.0176699",".0317012","-.5573892",".5775687","-.0305559",".0317701","-.961784",".3367292","-.0262121",".0326651","-.802452",".4227587"
"sorteio2","-.0614402",".0193443","-3.176134",".0016062","-.0596433",".019647","-3.035752",".0025539","-.0626064",".0195809","-3.197326",".0014954","-.0613319",".0196926","-3.114458",".0019729"
"sorteio3","-.0235429",".0234625","-1.003425",".316252","-.0221847",".0229534","-.9665094",".3343647","-.0289621",".0234605","-1.234503",".2177278","-.0261375",".0234652","-1.11388",".2659863"
"sorteio4","-.0052212",".0239823","-.2177116",".8277629","-.0039744",".0237096","-.1676271",".8669601","-.0082982",".0239673","-.3462289",".7293496","-.007047",".0243057","-.2899303",".7720169"
"sorteio5","-.0291545",".0214041","-1.362098",".1739204","-.0301062",".0215375","-1.397849",".1629217","-.0284638",".0213614","-1.332489",".1834452","-.0270876",".0212029","-1.277544",".2021368"
"sorteio6","-.0326656",".0205721","-1.587859",".1130947","-.0357524",".0205259","-1.741818",".0822977","-.0375637",".0205143","-1.831097",".067817","-.0365215",".0209548","-1.74287",".0821098"
"sorteio7","-.0236336",".0222923","-1.060169",".2896964","-.0228049",".0223076","-1.022293",".3072509","-.0224365",".0221483","-1.013015",".311655","-.0198558",".0224853","-.8830562",".3777259"
"sorteio8","-.0215537",".0226555","-.9513683",".3419821","-.0202187",".0229199","-.8821472",".3782192","-.023677",".0225568","-1.04966",".2944971","-.0223341",".0225618","-.9899088",".3228054"
"sorteio9","-.0196645",".0223887","-.8783247",".3802857","-.0151652",".0219865","-.6897506",".4907451","-.0213314",".0221594","-.9626349",".3363024","-.0180081",".0226169","-.7962231",".4263654"
"sorteio10","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"first_media2","","","","",".0835393",".0298251","2.800977",".0053384","","","","","","","",""
"media2","","","","","-.0514531",".0256804","-2.003593",".0457777","","","","","","","",""
