"","est1","","",""
"","b","se","t","p"
"first","-.0274824",".0112644","-2.439754",".0151212"
"pref_masc","-.0276348",".0308153","-.8967893",".3703589"
"pref_idade_tse","-.0003939",".0005653","-.6968611",".4862856"
"pref_escola","-.0037743",".0030263","-1.247157",".2130536"
"party_d1","-.0042509",".0174851","-.2431175",".8080362"
"party_d3",".0071054",".0253746",".280021",".779603"
"party_d4",".0026282",".0166753",".1576083",".8748432"
"party_d5",".0176524",".0235443",".7497516",".4538353"
"party_d6","-.0173119",".0293719","-.5894023",".5559168"
"party_d7","-.0125914",".0421512","-.2987194",".7653059"
"party_d8",".1378714",".0425723","3.238521",".0012995"
"party_d9",".0242376",".0342369",".7079375",".4793873"
"party_d10","-.0367718",".0344169","-1.068425",".285959"
"party_d11","-.0291519",".0248892","-1.171265",".2421741"
"party_d12","-.0063941",".0167901","-.3808265",".7035297"
"party_d13","-.0070493",".0594055","-.1186649",".9055991"
"party_d14","-.0310284",".0350896","-.884262",".3770743"
"party_d15","-.0260979",".0212721","-1.22686",".2205809"
"party_d16",".1685304",".0555826","3.032071",".0025834"
"party_d17","-.0009062",".0289937","-.0312551",".9750813"
"party_d18",".0116289",".0292089",".398128",".6907436"
"lpop","-.0075161",".0214911","-.3497299",".7267214"
"purb",".0260331",".0314432",".8279398",".4081874"
"p_secundario",".1084939",".124648",".870402",".3845913"
"mun_novo","-.0003891",".0141228","-.0275524",".9780326"
"lpib02","-.0044908",".0080464","-.558122",".5770664"
"gini_ipea","-.1722416",".1078993","-1.596318",".11119"
"lrec_trans","-.0113417",".0218317","-.5195045",".60369"
"p_cad_pref","-.0827451",".0414517","-1.996182",".0465766"
"vereador_eleit","-7.733479","10.08249","-.7670205",".4435118"
"ENLP2000","-.0019926",".0044065","-.4522111",".6513566"
"comarca","-.0077175",".013819","-.5584707",".5768286"
"sorteio1","-.0265177",".032602","-.8133769",".4164752"
"sorteio2","-.0610401",".0194715","-3.134851",".0018434"
"sorteio3","-.0263261",".0231839","-1.135533",".2568172"
"sorteio4","-.0074207",".0242308","-.306249",".7595709"
"sorteio5","-.0290174",".0212717","-1.364131",".1732764"
"sorteio6","-.0373605",".0206772","-1.806851",".0715203"
"sorteio7","-.0226157",".0218496","-1.035061",".3012522"
"sorteio8","-.0228107",".0226083","-1.008952",".3135944"
"sorteio9","-.0215869",".0220486","-.9790613",".3281285"
"sorteio10","0",".",".","."
"_cons",".5250188",".2499979","2.100093",".0363326"
"N","476","","",""
"r2",".203011","","",""
"df_m","40","","",""
"df_r","409","","",""
"df_b","","","",""
"df","","","",""
