"","est1","","","","t2_exceedquota_1","","","","t2_exceedquota_2","","","","t2_exceedquota_3","","","","t2_exceedquota_4","","","","t2_qrate_1","","","","t2_qrate_2","","","","t2_qrate_3","","","","t2_qrate_4","","","","t3_1","","","","t3_2","","","","t3_3","","","","t3_4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"post","-.0508355",".0396179","-1.283144",".2092659","-.0508355",".0396179","-1.283144",".2092659","-.0897257",".0525328","-1.707994",".1097053","-.0975699",".0526599","-1.852833",".0851019","-.1039569",".0565615","-1.837945",".0873817","-.0264568",".0282846","-.9353781",".3570623","-.0577949",".0368086","-1.570146",".1387014","-.061642",".0366005","-1.684184",".1143001","-.0566613",".0414757","-1.366132",".1934414","","","","","","","","","","","","","","","",""
"_Iyear_2006","-.2047847",".0386911","-5.292812",".0000102","-.2047847",".0386911","-5.292812",".0000102","-.1995893",".054565","-3.65783",".0025844","-.1958474",".0548118","-3.573087",".0030575","","","","","-.1678259",".0267304","-6.27847","6.42e-07","-.1912161",".0442334","-4.322891",".0007018","-.1893809",".0433204","-4.371636",".0006388","","","","","","","","","","","","","","","","","","","",""
"_Iyear_2007","-.1388478",".0522795","-2.655872",".0125444","-.1388478",".0522795","-2.655872",".0125444","-.1224518",".070336","-1.740956",".103612","-.1205382",".070303","-1.714551",".1084686","","","","","-.1057145",".0313944","-3.367309",".0020961","-.1315416",".0435903","-3.01768",".0092225","-.1306031",".0435338","-3.000038",".0095508","","","","","","","","","","","","","","","","","","","",""
"_Iyear_2008","-.1598642",".0490038","-3.26228",".0027568","-.1598642",".0490038","-3.26228",".0027568","-.155943",".0874847","-1.782516",".0963558","-.1744836",".090102","-1.936512",".0732558","","","","","-.1353391",".0343459","-3.940475",".0004496","-.1077686",".0600962","-1.79327",".0945532","-.1168617",".0621012","-1.881794",".0808199","","","","","","","","","","","","","","","","","","","",""
"_Iyear_2009","-.1171016",".0521255","-2.246531",".032185","-.1171016",".0521255","-2.246531",".032185","-.1545233",".0635036","-2.4333",".0289588","-.1504861",".0607088","-2.478818",".0265295","","","","","-.0774093",".0276881","-2.795763",".0089453","-.108542",".0352088","-3.082805",".0081045","-.1065619",".0350318","-3.041863",".0087906","","","","","","","","","","","","","","","","","","","",""
"_Iyear_2010","-.0953765",".045322","-2.104419",".0438269","-.0953765",".045322","-2.104419",".0438269","-.0953394",".089516","-1.065054",".3048761","-.0824319",".0833518","-.9889639",".3394661","","","","","-.0228899",".0286447","-.7990957",".4305165","-.0112395",".0591595","-.1899863",".852047","-.0049092",".0567265","-.0865408",".9322621","","","","","","","","","","","","","","","","","","","",""
"_Iyear_2011","-.1288428",".0563338","-2.287132",".0294137","-.1288428",".0563338","-2.287132",".0294137","-.0827517",".0867162","-.9542817",".3561288","-.0770985",".0826837","-.9324501",".3669069","","","","","-.0570182",".0302593","-1.884317",".0692448","-.04114",".050844","-.80914",".4319717","-.0383674",".0505015","-.7597272",".4600203","","","","","","","","","","","","","","","","","","","",""
"_Iyear_2012","-.2321752",".0514487","-4.512749",".0000919","-.2321752",".0514487","-4.512749",".0000919","-.1569397",".0925983","-1.694844",".1122225","-.158814",".0891275","-1.781874",".0964644","","","","","-.1663624",".0325039","-5.118224",".0000167","-.1156248",".0745223","-1.551547",".1430779","-.116544",".0743288","-1.567952",".1392115","","","","","","","","","","","","","","","","","","","",""
"_Iindustry_2","-.082015",".0287685","-2.850857",".0078141","-.082015",".0287685","-2.850857",".0078141","-.0455977",".0340301","-1.339924",".201614","-.043512",".0342105","-1.27189",".2241345","","","","",".2085978",".0312836","6.667954","2.19e-07",".2505771",".0431544","5.806519",".0000455",".2516",".0432383","5.818918",".0000445","","","","","","","","","","","","","","","","","","","",""
"_Iindustry_3",".0683576",".0389186","1.756427",".0892205",".0683576",".0389186","1.756427",".0892205",".1203221",".0514592","2.338203",".0347353",".1225768",".050872","2.409515",".0303113","","","","",".0916292",".0433157","2.115381",".0428111",".1892168",".0570776","3.315083",".0051067",".1903226",".0570241","3.337582",".0048831","","","","","","","","","","","","","","","","","","","",""
"_Iindustry_4",".241231",".0372791","6.470943","3.77e-07",".241231",".0372791","6.470943","3.77e-07",".2755831",".047773","5.7686",".0000486",".2777849",".0470717","5.901314",".0000386","","","","",".2164336",".0402918","5.371658","8.16e-06",".2443768",".0537085","4.550057",".0004536",".2454566",".0537689","4.565027",".0004409","","","","","","","","","","","","","","","","","","","",""
"_Iindustry_5",".0631463",".0320476","1.97039",".058084",".0631463",".0320476","1.97039",".058084",".121069",".0353646","3.423449",".0041164",".1231547",".0353989","3.479053",".0036855","","","","",".2099939",".0323511","6.491093","3.56e-07",".2599003",".0456233","5.696656",".0000552",".2609232",".0455718","5.725536",".0000524","","","","","","","","","","","","","","","","","","","",""
"_Iindustry_6",".0038277",".0307611",".1244323",".901803",".0038277",".0307611",".1244323",".901803",".0439253",".0246335","1.78315",".0962487",".0459434",".0251582","1.826183",".0892211","","","","",".0759318",".0401213","1.892558",".0681014",".1444618",".066755","2.164059",".048236",".1454516",".0668019","2.177356",".047053","","","","","","","","","","","","","","","","","","","",""
"_Iindustry_7",".2610665",".030843","8.464355","1.91e-09",".2610665",".030843","8.464355","1.91e-09",".2631068",".048915","5.378854",".0000973",".2655925",".0494327","5.372805",".0000983","","","","",".2510151",".0396877","6.324759","5.65e-07",".269546",".050324","5.356207",".0001013",".270765",".0503906","5.373325",".0000982","","","","","","","","","","","","","","","","","","","",""
"_Iindustry_8","-.0682427",".0250703","-2.722055",".0106999","-.0682427",".0250703","-2.722055",".0106999","-.0576321",".0377712","-1.525822",".1493246","-.0555544",".0375126","-1.480953",".1607717","","","","",".2105297",".0318093","6.618501","2.51e-07",".253203",".0442591","5.720923",".0000529",".254222",".0443371","5.73384",".0000517","","","","","","","","","","","","","","","","","","","",""
"gdpprogress_ratio","","","","","","","","","","","","","-.7995233",".3883659","-2.058686",".0586358","-.9032896",".4388671","-2.058231",".0586849","","","","","","","","","-.3921166",".3061341","-1.280865",".2210534","-.3175385",".3725174","-.8524126",".4083314","","","","","","","","","","","","","","","",""
"_Iyi_2","","","","","","","","","","","","","","","","","-.0841033",".1786657","-.4707297",".6450839","","","","","","","","","","","","","-.0697218",".2261521","-.308296",".7623965","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_3","","","","","","","","","","","","","","","","","-.1803673",".1152087","-1.56557",".1397673","","","","","","","","","","","","",".0552123",".1961049",".2815445",".7824115","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Iyi_4","","","","","","","","","","","","","","","","","-.1476461",".1149948","-1.283937",".2200067","","","","","","","","","","","","",".253758",".1446027","1.754863",".1011318","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
