"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"post_above",".0781408",".0135063","5.78549","7.73e-09","-.4021813",".0398385","-10.0953","1.02e-23",".0495885",".0128906","3.846865",".0001212"
"post_tottchr","-.0051269",".0078785","-.6507482",".5152427",".2470445",".0224613","10.99868","8.55e-28","-.0171309",".0084833","-2.019372",".0435062"
"pblack",".0000627",".0051645",".0121492",".9903072","-.0417547",".0191949","-2.1753",".0296581",".0012482",".0050187",".2487007",".8036034"
"phisp",".0021862",".0042658",".5124896",".608334","-.032422",".0151673","-2.137629",".0325992",".0042993",".0041122","1.045514",".29584"
"pasian","-.0002199",".0101302","-.0217074",".9826824",".0422187",".0273674","1.542662",".1229812",".0054908",".0068739",".7987914",".4244524"
"plep","-.0095918",".004519","-2.12256",".033846",".0254555",".0134487","1.892793",".0584477","-.0069378",".005386","-1.288132",".1977644"
"plinc",".0015082",".0011825","1.275433",".2022229","-.0083039",".0046199","-1.79742",".0723341",".0007862",".0014717",".5341701",".5932495"
"pattd","-.0011002",".0063694","-.1727268",".8628741","-.0622337",".0294","-2.116795",".0343305","-.008315",".0066258","-1.254945",".209562"
"enroll",".0011186",".0013534",".8265635",".408529","-.0250488",".0036041","-6.950082","4.16e-12",".0050729",".001644","3.085796",".0020421"
"enrollsq","-4.21e-06","5.08e-06","-.8286086",".4073705",".0000361","8.77e-06","4.112072",".0000399","-4.36e-06","5.27e-06","-.8266281",".4084905"
"_Iyear_1991","-.0599125",".0263204","-2.276276",".022877",".0945547",".0808404","1.169646",".2422037",".0152629",".0159108",".9592777",".337469"
"_Iyear_1992","-.0467201",".0254595","-1.835074",".0665616",".351926",".1016033","3.463725",".0005376","-.0235313",".0161674","-1.455472",".1456066"
"_Iyear_1993","-.0538275",".0245768","-2.190173",".0285636",".7444421",".1167738","6.375079","2.01e-10","-.046642",".017663","-2.640665",".0083022"
"_Iyear_1994","-.1475748",".019443","-7.59013","3.87e-14",".3286505",".151469","2.169754",".0300763","-.0542108",".0267473","-2.026778",".0427423"
"_Iyear_1995","0",".",".",".","-.8500233",".1642659","-5.17468","2.38e-07",".071908",".0304414","2.362178",".0182091"
"_Iyear_1996","0",".",".",".","-.4813085",".1727299","-2.78648",".0053501","-.0526453",".0341618","-1.541058",".1233711"
"_Iyear_1997","0",".",".",".",".1885304",".1797253","1.048992",".2942365","-.0832683",".0321865","-2.58706",".0097101"
"_Iyear_1998","0",".",".",".","0",".",".",".","0",".",".","."
"_Igrade_6","0",".",".",".","0",".",".",".","0",".",".","."
"_Igrade_8","0",".",".",".","0",".",".",".","0",".",".","."
"_IyeaXgra_1991_6","-.0760736",".0448352","-1.696739",".0898163",".0385781",".1119677",".3445469",".7304507",".0297273",".038227",".7776527",".4368136"
"_IyeaXgra_1991_8","-.2278792",".0723474","-3.149792",".0016447",".04627",".1131703",".4088532",".6826663",".0792573",".0651747","1.216074",".2240188"
"_IyeaXgra_1992_6","-.07669",".0441075","-1.738704",".0821563",".0701823",".1443669",".4861386",".6268919",".0314387",".0365531",".8600828",".389788"
"_IyeaXgra_1992_8","-.1731936",".0730477","-2.370967",".0177841","-.0298632",".144709","-.2063673",".8365131",".065775",".061248","1.073913",".2829176"
"_IyeaXgra_1993_6","-.0525571",".0428021","-1.227909",".2195463",".023364",".1572245",".1486031",".8818733","-.0136595",".039626","-.3447113",".7303271"
"_IyeaXgra_1993_8","-.2489791",".0777965","-3.200387",".0013821","-.093833",".1681529","-.558022",".5768564",".0061283",".061552",".0995627",".9206958"
"_IyeaXgra_1994_6","-.167989",".052679","-3.188917",".001438","-.0084824",".1911066","-.0443857",".9645988",".0506603",".0427711","1.184451",".2362956"
"_IyeaXgra_1994_8","-.4340924",".0938766","-4.624074","3.87e-06","-.2931354",".2283203","-1.283878",".1992489",".0475596",".0690282",".6889872",".4908659"
"_IyeaXgra_1995_6","0",".",".",".","-.0501464",".2090581","-.2398683",".810443",".1939343",".0493248","3.931782",".0000856"
"_IyeaXgra_1995_8","0",".",".",".","-.4765604",".2538718","-1.877169",".0605578",".3448912",".0761673","4.528073","6.10e-06"
"_IyeaXgra_1996_6","0",".",".",".","-.106636",".2177965","-.4896129",".624431",".0492177",".0443717","1.109213",".2673962"
"_IyeaXgra_1996_8","0",".",".",".","-.6200899",".2623079","-2.363977",".018121",".1150823",".0767144","1.500138",".1336468"
"_IyeaXgra_1997_6","0",".",".",".","-.4659077",".2231806","-2.087582",".0368902",".0721522",".0451243","1.598965",".1098968"
"_IyeaXgra_1997_8","0",".",".",".","-.8576447",".2680163","-3.199972",".0013837",".0371678",".0693986",".5355699",".5922816"
"_IyeaXgra_1998_6","0",".",".",".","0",".",".",".","0",".",".","."
"_IyeaXgra_1998_8","0",".",".",".","0",".",".",".","0",".",".","."
"_cons",".4122291",".6234572",".6611988",".5085192","23.82379","2.859444","8.331617","1.04e-16",".6560454",".646388","1.014941",".3101872"
"N","19927","","","","32305","","","","32305","","",""
"r2",".1847532","","","",".0626035","","","",".0566546","","",""
"df_m","21","","","","30","","","","30","","",""
"df_r","4434","","","","4625","","","","4625","","",""
"df_b","22","","","","31","","","","31","","",""
"df","","","","","","","","","","","",""
