"","m1","","","","m2","","","","m3","","","","m4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"post_above",".0034033",".003535",".9627494",".3357236",".0087843",".003278","2.679752",".0073938","","","","","","","",""
"post_tottchr",".0000664",".0023427",".0283461",".9773874","-.0042721",".002303","-1.854978",".0636629","","","","","","","",""
"pblack","-.0112405",".0014111","-7.965808","2.05e-15","-.0129059",".0012612","-10.23343","2.55e-24","-.0112597",".0014072","-8.001393","1.54e-15","-.0128987",".0012673","-10.17804","4.45e-24"
"phisp","-.0085264",".0016676","-5.113006","3.30e-07","-.0124711",".0014771","-8.442867","4.09e-17","-.0084404",".0016611","-5.081279","3.90e-07","-.0125531",".0014834","-8.462528","3.47e-17"
"pasian",".0028518",".0029071",".9809859",".326651","-.0000694",".0026862","-.0258196",".9794024",".0032122",".0029086","1.104404",".2694752","-.0000458",".0027022","-.0169479",".9864789"
"plep",".0007129",".0015132",".4711516",".6375547",".0018619",".0014714","1.265373",".2058016",".00069",".0015108",".4567516",".6478711",".0019017",".0014871","1.278832",".2010205"
"plinc","-.0015809",".000457","-3.459495",".0005461","-.0025577",".0004699","-5.443301","5.50e-08","-.0015987",".0004552","-3.512442",".0004483","-.0025557",".0004705","-5.432214","5.85e-08"
"pattd",".008221",".003382","2.430761",".0151049",".0119701",".004821","2.482911",".0130666",".0080523",".0033211","2.424579",".0153642",".0115672",".0046957","2.463392",".0137991"
"enroll","-.0028988",".0004351","-6.662586","3.01e-11","-.0024229",".000373","-6.495972","9.12e-11","-.002965",".000439","-6.754411","1.61e-11","-.0024299",".0003737","-6.501625","8.79e-11"
"enrollsq","6.17e-06","1.08e-06","5.69118","1.34e-08","4.85e-06","9.55e-07","5.078646","3.95e-07","6.40e-06","1.10e-06","5.833228","5.81e-09","4.86e-06","9.57e-07","5.084062","3.84e-07"
"_Iyear_1991",".0259625",".0116615","2.226337",".0260396",".0476619",".0131322","3.629384",".0002872",".0259787",".0116615","2.22774",".0259458",".0476779",".0131329","3.630431",".000286"
"_Iyear_1992",".0517214",".0123373","4.192278",".0000281",".071016",".0136787","5.191713","2.17e-07",".0517064",".0123362","4.191434",".0000282",".0710407",".0136787","5.19352","2.15e-07"
"_Iyear_1993",".0541575",".013417","4.036483",".0000551",".0915128",".0140282","6.523512","7.60e-11",".0542114",".0134123","4.041908",".0000539",".0915644",".0140288","6.526882","7.44e-11"
"_Iyear_1994",".0481874",".0154679","3.115305",".0018488",".0975218",".0157414","6.195261","6.32e-10",".0467797",".0188201","2.485627",".0129674",".0948975",".0178082","5.328852","1.04e-07"
"_Iyear_1995",".048797",".0162794","2.997481",".0027367",".1060786",".0159649","6.644471","3.39e-11",".0473736",".0191292","2.476512",".0133028",".1035358",".0181206","5.713703","1.17e-08"
"_Iyear_1996",".0269468",".0168784","1.596526",".1104398",".0996314",".0167281","5.955949","2.78e-09",".0254154",".0195688","1.298768",".1940885",".0970611",".0187371","5.180148","2.31e-07"
"_Iyear_1997",".0362527",".018287","1.982429",".0474904",".1226593",".0173481","7.070491","1.77e-12",".0347203",".0206977","1.677495",".0935132",".1201825",".0193084","6.224348","5.26e-10"
"_Iyear_1998","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Igrade_6","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_Igrade_8","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_IyeaXgra_1991_6","-.0079697",".0168564","-.4728007",".6363777","-.0151559",".0193991","-.7812685",".4346846","-.0077987",".0168583","-.4626043",".6436698","-.0150133",".0194028","-.7737706",".439106"
"_IyeaXgra_1991_8",".0288992",".0205502","1.406275",".1597096",".026117",".0240277","1.086955",".2771134",".0286029",".0205729","1.390321",".1644984",".026272",".02404","1.092844",".2745191"
"_IyeaXgra_1992_6","-.0117314",".0182576","-.6425522",".5205465","-.0054506",".0203036","-.2684543",".7883616","-.0115756",".0182516","-.6342253",".5259652","-.0051992",".020305","-.2560566",".7979185"
"_IyeaXgra_1992_8",".0086967",".0211849",".4105127",".6814489",".0409384",".0260518","1.571425",".1161523",".0085643",".0211978",".4040178",".6862183",".0413668",".0260614","1.58728",".1125175"
"_IyeaXgra_1993_6","-.005134",".0192765","-.2663324",".7899951","-.0097034",".0206097","-.4708185",".6377925","-.0048591",".019278","-.2520572",".801008","-.0093092",".0206083","-.4517235",".6514894"
"_IyeaXgra_1993_8",".0290627",".0217075","1.33883",".1806919",".0257988",".0238567","1.081406",".2795731",".0290796",".0217","1.340073",".1802876",".0264268",".0238423","1.1084",".2677469"
"_IyeaXgra_1994_6","-.0062566",".0227339","-.275208",".7831687","-.0350489",".0224595","-1.560533",".1187025",".0038829",".0225924",".1718697",".8635475","-.0326071",".0220495","-1.478812",".1392587"
"_IyeaXgra_1994_8",".0224648",".0262391",".8561592",".3919541",".0035465",".0269485",".1316015",".8953052",".0489229",".0255502","1.914778",".0555824",".0126891",".0255843",".4959733",".6199368"
"_IyeaXgra_1995_6",".0093862",".0221568",".4236282",".6718567","-.0113901",".022461","-.5071053",".6121051",".0196571",".0216647",".9073313",".3642789","-.0089307",".0220842","-.4043939",".6859418"
"_IyeaXgra_1995_8",".043951",".0266984","1.646202",".0997902",".0356541",".0267029","1.335219",".1818705",".0705149",".0259305","2.719385",".0065648",".044729",".0252173","1.773745",".0761711"
"_IyeaXgra_1996_6",".0334153",".0232789","1.435435",".1512307",".0016072",".0231121",".0695384",".9445641",".043822",".0228105","1.921132",".0547765",".0041313",".0228087",".1811283",".8562748"
"_IyeaXgra_1996_8",".0743297",".0279422","2.660127",".0078381",".0265682",".0284463",".9339778",".3503641",".1009897",".0271914","3.714036",".0002064",".0357578",".0276856","1.291566",".196572"
"_IyeaXgra_1997_6",".027231",".0243002","1.120607",".2625132",".0062212",".0236363",".2632064",".7924032",".0376086",".0238782","1.575017",".115321",".0087196",".023307",".3741177",".7083339"
"_IyeaXgra_1997_8",".0541638",".0286316","1.891748",".058587","-.0027712",".0284952","-.0972497",".9225323",".0811319",".0277354","2.925213",".0034589",".006325",".0276364",".2288635",".8189851"
"_IyeaXgra_1998_6","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"_IyeaXgra_1998_8","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"post_abovem","","","","","","","","",".0129782",".0075667","1.715159",".0863831","","","",""
"post_tottchrm","","","","","","","","","-.0037676",".0059184","-.6365967",".5244191","","","",""
"post_abovee","","","","","","","","","","","","",".0128111",".006971","1.837754",".0661628"
"post_tottchre","","","","","","","","","","","","","-.0055216",".0051366","-1.074953",".2824518"
"_cons","-.1157099",".3257346","-.3552276",".7224353","-.4533651",".4616273","-.9821019",".326101","-.0971549",".319851","-.3037506",".7613316","-.4145739",".4497351","-.9218179",".3566716"
"N","32305","","","","32305","","","","32305","","","","32305","","",""
"r2",".0184429","","","",".0228674","","","",".0182353","","","",".022412","","",""
"df_m","30","","","","30","","","","30","","","","30","","",""
"df_r","4625","","","","4625","","","","4625","","","","4625","","",""
"df_b","31","","","","31","","","","31","","","","31","","",""
"df","","","","","","","","","","","","","","","",""
