"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","","","est10","","","","est11","","","","est12","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"post_above","-.0006766",".0083974","-.0805736",".9357911",".0133899",".0088132","1.519301",".1288834",".0023169",".0039054",".5932619",".5530398",".0085527",".0035792","2.389537",".0169161",".0037542",".0073032",".514057",".6072957",".01815",".0069584","2.60834",".009198",".0039056",".0040324",".9685574",".3328303",".0061344",".0038465","1.594783",".1108474",".0098758",".0081336","1.214195",".224926",".0188901",".0081347","2.322178",".0203976",".0026633",".0039429",".6754598",".4994285",".0080958",".0035513","2.279651",".0226887"
"post_tottchr",".0062922",".0058967","1.067071",".2860998","-.0070677",".006763","-1.045059",".2961529",".0004703",".0025217",".1865114",".8520533","-.0049354",".0024302","-2.030904",".0423314","-.0027284",".0048374","-.5640213",".5728327","-.0071947",".0048769","-1.475267",".1403725",".000572",".0026193",".2183827",".8271431","-.0035369",".002627","-1.346392",".1782599","-.0045209",".0057434","-.7871479",".4313596","-.0059155",".0059651","-.9916852",".3215601",".0007421",".0025518",".2908045",".7712181","-.0049549",".0024107","-2.055345",".0399203"
"pblack","-.0161228",".0022184","-7.267707","5.68e-13","-.0129506",".0020476","-6.324648","3.28e-10","-.0107256",".0018059","-5.93921","3.11e-09","-.013559",".0016028","-8.459846","3.72e-17","","","","","","","","","","","","","","","","","-.0129545",".0018647","-6.947364","6.26e-12","-.0117657",".0017719","-6.640253","4.82e-11","-.0099378",".002262","-4.393428",".0000115","-.0119357",".0017997","-6.632155","3.82e-11"
"phisp","-.0168275",".002755","-6.108036","1.26e-09","-.0155796",".0023578","-6.607799","5.29e-11","-.0035233",".0020538","-1.715489",".0863339","-.0098006",".0018972","-5.165792","2.51e-07","","","","","","","","","","","","","","","","","-.0141549",".0023676","-5.978623","3.01e-09","-.0139279",".0022182","-6.278909","4.83e-10","-.0018442",".0021836","-.8445692",".3984093","-.00719",".0019357","-3.714503",".0002068"
"pasian","-.0088724",".0097752","-.9076457",".3642015","-.0007107",".0079754","-.0891139",".9290025",".0038415",".0030242","1.270242",".204073","-.0007462",".002854","-.2614626",".7937494","","","","","","","","","","","","","","","","","-.0160577",".0085791","-1.871732",".0615007","-.0020397",".0077379","-.2635942",".79214",".0047221",".0030535","1.546484",".1220785","-.0009826",".0028277","-.3474779",".7282533"
"plep",".0016408",".0020714",".7921198",".4284077",".0034318",".001931","1.777211",".0757226",".0001545",".0020226",".0763785",".9391218",".0006241",".0018235",".3422687",".7321668","-.0015348",".0017701","-.8670793",".3860516",".0002368",".0015092",".1568743",".8753672","-.0037874",".0025167","-1.504882",".132441","-.0054818",".0025871","-2.118902",".0341661",".002487",".0020702","1.201349",".2298666",".0031579",".0019946","1.583203",".1136507","-.0014784",".0020615","-.7171452",".4733325",".0008911",".0019441",".4583649",".646719"
"pattd",".0233093",".0070364","3.312685",".0009446",".0353218",".0064237","5.498687","4.44e-08",".005515",".0032291","1.707898",".0877337",".0043226",".0033779","1.279662",".200739",".015075",".0064453","2.338918",".019484",".0308773",".0072936","4.233476",".0000246",".0049346",".0032007","1.541717",".1232291",".0024507",".0031112",".7876975",".4309248",".0211183",".0063628","3.319049",".0009319",".0433372",".0056849","7.623182","5.17e-14",".0044524",".0029533","1.507591",".1317499",".0016345",".0028208",".5794584",".5623175"
"enroll","-.0038978",".0009569","-4.073405",".0000486","-.0030527",".0009173","-3.327887",".0008948","-.0025219",".000473","-5.331635","1.03e-07","-.002393",".0004136","-5.785454","7.79e-09","-.0039022",".0008148","-4.789128","1.86e-06","-.0039465",".000746","-5.290408","1.42e-07","-.0028166",".0004993","-5.641281","1.82e-08","-.0024775",".000421","-5.885301","4.33e-09","-.0029024",".0008313","-3.491277",".0004992","-.0026969",".0007979","-3.380133",".0007489","-.0029295",".0004926","-5.946728","3.01e-09","-.0026526",".0004162","-6.374165","2.08e-10"
"enrollsq","8.36e-06","2.35e-06","3.549347",".0003973","6.49e-06","2.49e-06","2.602533",".0093388","5.33e-06","1.15e-06","4.634453","3.69e-06","4.58e-06","1.02e-06","4.512195","6.60e-06","8.21e-06","1.94e-06","4.22906",".000025","8.93e-06","1.93e-06","4.617287","4.26e-06","5.79e-06","1.23e-06","4.691999","2.80e-06","4.35e-06","1.00e-06","4.343608",".0000144","6.72e-06","2.08e-06","3.235635",".0012488","7.04e-06","2.20e-06","3.208328",".001372","5.96e-06","1.22e-06","4.883257","1.09e-06","4.85e-06","1.02e-06","4.76746","1.94e-06"
