"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"surv_deeppost00",".0167739",".0136919","1.225101",".2206432",".0119669",".0125326",".9548574",".3397346",".021361",".0158604","1.346813",".1781528",".0245986",".0127192","1.93398",".0532192",".0049333",".0148952",".3311996",".7405193",".0239183",".0127592","1.874597",".0609554",".0067167",".014998",".4478373",".6543064"
"highinc2000","-.0136377",".0061752","-2.208468",".0272948","","","","","","","","","","","","","-.0093079",".0066346","-1.402938",".1607498","-.0067399",".0049542","-1.360441",".1738033","-.0101538",".0066642","-1.523642",".1277148"
"inc_dum_surv_deeppost00",".0960085",".0389314","2.46609",".0137209","","","","","","","","","","","","",".0442157",".0492265",".8982086",".369154","","","","",".0377452",".0496343",".7604659",".4470422"
"lnpop","-.0061688",".0017472","-3.530658",".0004214","-.0059789",".0017634","-3.390583",".0007074","-.0068075",".0017413","-3.909361",".0000948","-.0084046",".0021586","-3.89354",".0001012","-.0083465",".0021852","-3.819588",".0001367","-.0079577",".0022014","-3.614839",".000306","-.0080184",".0022064","-3.634206",".000284"
"pctblk1990",".0127615",".011831","1.078644",".2808421",".0122274",".011804","1.03587",".3003548",".0124835",".0117866","1.059129",".2896353",".0099897",".0117809",".8479602",".3965347",".0097801",".0117853",".8298603",".4066907",".0098312",".0117625",".8358077",".4033366",".0099865",".0117589",".8492768",".3958022"
"pctunivp1990",".5711771",".0784379","7.281899","4.29e-13",".6021951",".08455","7.122355","1.35e-12",".5693252",".0787357","7.230836","6.21e-13",".5576155",".0784742","7.105722","1.52e-12",".5855216",".0847569","6.908243","6.09e-12",".5820923",".0854909","6.808819","1.21e-11",".5773701",".0848189","6.807091","1.22e-11"
"pctHSp1990","-.1490636",".0519417","-2.869827",".0041387","-.1536644",".0517144","-2.971403",".0029904","-.1466299",".051412","-2.852055",".0043765","-.140702",".0513438","-2.74039",".0061767","-.1351097",".0509135","-2.653712",".0080076","-.1301093",".0513064","-2.535927",".0112706","-.1308996",".0509742","-2.567957",".0102831"
"pctbelowPL1990","-.1449436",".0473116","-3.063595",".0022084","-.1482586",".0462125","-3.208193",".0013512","-.1397807",".0459713","-3.040607",".0023835","-.1490487",".04646","-3.208109",".0013516","-.1326016",".047056","-2.817955",".004868","-.1327173",".0470391","-2.821427",".0048158","-.1309411",".0470187","-2.784871",".0053921"
"medhhinc1990","-.0000254",".0007391","-.0343514",".9725995","-.0003229",".000613","-.5268109",".5983678","-.0003045",".0006182","-.4925343",".6223814","-.0003617",".0006207","-.5827535",".5601075","-.0000169",".00073","-.0231216",".981555","-.0000294",".0007308","-.0402469",".9678993","8.40e-06",".000729",".0115263",".9908044"
"carnegie1_enr",".0310909",".0478383",".6499161",".5158013",".0237274",".0426616",".5561781",".5781348",".0296749",".0468952",".6327911",".5269232",".0310275",".0480168",".6461796",".5182176",".025126",".0447865",".5610156",".5748332",".0288858",".0474707",".6084982",".542908",".0256957",".0449957",".5710704",".5679993"
"frac_in_eng_prog","-.1938883",".3651681","-.5309562",".5954925","-.1418463",".3389759","-.4184555",".6756471","-.1582374",".3628771","-.4360632",".6628254","-.1317944",".3612008","-.3648785",".7152305","-.0542368",".3440065","-.1576623",".8747346","-.0883582",".3594968","-.245783",".8058688","-.0548933",".343643","-.1597393",".8730983"
"npatent1980s",".016112",".0043223","3.727646",".0001972",".0160739",".0043203","3.720601",".0002028",".0159863",".004423","3.614361",".0003065",".0129815",".0040665","3.192286",".0014276",".0120647",".0040267","2.996173",".0027587",".0104441",".0040337","2.5892",".0096713",".0102362",".0040588","2.521982",".0117264"
"frprof","-.0118078",".0535065","-.2206794",".8253586","-.0112354",".0532701","-.2109133",".8329707","-.0322175",".0525312","-.6133022",".5397278","-.0244239",".0537896","-.4540638",".6498191","-.0426563",".0529137","-.8061483",".4202279","-.0442989",".0531514","-.8334472",".4046658","-.043092",".0529822","-.8133293",".4161006"
"pct65p1990",".0563734",".0507926","1.109874",".2671513",".0605173",".0507941","1.191423",".2335916",".0577257",".0512723","1.125864",".2603222",".0565534",".0515272","1.097544",".2725006",".0549118",".0509512","1.077733",".2812486",".0506895",".05071",".9995952",".3175955",".0536028",".0505585","1.060213",".2891421"
"netmig95",".0038472",".0031431","1.224016",".2210521",".0037426",".0031507","1.187841",".2349998",".0036511",".0031366","1.164046",".2445074",".0039974",".0030445","1.312986",".1892985",".0039723",".0030046","1.322055",".1862611",".0037086",".0029294","1.265986",".2056266",".0038204",".0029494","1.2953",".1953271"
"change_totalpop",".052986",".0150894","3.511471",".0004529",".0531421",".0151704","3.50301",".0004674",".0589331",".0157816","3.7343",".0001921",".0570074",".0152166","3.746384",".0001831",".0635815",".015564","4.085152",".0000453",".0646848",".0154268","4.193028",".0000284",".0646628",".0154227","4.192713",".0000284"
"change_pctblk",".0207731",".0736219",".2821596",".7778426",".0275019",".0737642",".3728347",".7093005",".0068089",".0746203",".0912479",".9273023",".0047897",".0734483",".0652113",".9480106","-.005057",".0735983","-.0687111",".9452247",".0000545",".0738888",".0007381",".9994111","-.001424",".0738493","-.019282",".9846176"
"change_pctunivp",".8300779",".161789","5.130619","3.09e-07",".8465604",".1597786","5.298334","1.26e-07",".8043824",".1596354","5.038872","4.99e-07",".8189844",".1589847","5.151341","2.77e-07",".8399829",".1593866","5.270097","1.47e-07",".8227627",".1600985","5.139101","2.96e-07",".8394325",".1591934","5.273037","1.45e-07"
"change_pctHSp","-.0105704",".0940979","-.1123339",".910567","-.0198263",".0936991","-.2115956",".8324384","-.0153914",".0939302","-.1638599",".8698536","-.0044634",".0935612","-.0477053",".9619546","-.002458",".0928228","-.0264802",".9788762",".0005579",".0934235",".0059719",".9952356","-.0016989",".0928273","-.0183018",".9853994"
"change_pct65","-.5471096",".1191063","-4.593455","4.56e-06","-.5379522",".119589","-4.498342","7.14e-06","-.5198323",".1201984","-4.324784",".0000158","-.521028",".1198373","-4.347795",".0000143","-.4754835",".1202782","-3.953198",".0000791","-.4880597",".1204576","-4.051714",".0000523","-.4745485",".1202001","-3.947987",".0000808"
"change_netmig",".0025408",".0036698",".6923362",".4887853",".0024338",".0036749",".6622584",".5078617",".0023249",".0036637",".6345882",".5257503",".0029856",".0035221",".8476801",".3966907",".0030568",".0034838",".8774428",".3803238",".0029605",".003405",".8694666",".3846688",".0030937",".0034236",".9036664",".3662526"
"higheduc2000","","","","","-.0158117",".0060598","-2.609279",".009123","","","","","","","","","-.013383",".006593","-2.029877",".0424664","-.0067322",".0047627","-1.413511",".15762","-.013209",".0065982","-2.001906",".0453942"
"educ_dum_surv_deeppost00","","","","",".1100868",".0454616","2.421536",".0155201","","","","","","","","",".0770185",".0548286","1.404715",".1602205","","","","",".0757138",".0547065","1.384",".1664723"
"highind2000","","","","","","","","",".0101132",".0038957","2.596004",".0094822","","","","",".0085906",".0039731","2.16221",".0306891",".00936",".0033976","2.754854",".005911",".0082735",".0040865","2.024601",".0430061"
"ind_dum_surv_deeppost00","","","","","","","","",".0205831",".0227502",".9047427",".3656818","","","","",".0134413",".0235194",".5714977",".5677096","","","","",".0101663",".023684",".4292468",".6677777"
"highpop2000","","","","","","","","","","","","","-.0230603",".0116731","-1.975511",".0483111","-.0118784",".012499","-.9503439",".3420221",".0077528",".0061083","1.269231",".2044674",".0057869",".0120941",".4784927",".6323381"
"pop_dum_surv_deeppost00","","","","","","","","","","","","",".3630517",".0933613","3.888674",".0001032",".23782",".1018424","2.335177",".0196067","","","","",".0182127",".1027486",".1772549",".8593214"
"allhigh2000","","","","","","","","","","","","","","","","","","","","","-.0369568",".0213963","-1.727253",".0842359","-.0249621",".0239478","-1.042354",".2973403"
"educ_inc_ind_pop_dum_surv_deep00","","","","","","","","","","","","","","","","","","","","",".4587601",".1585105","2.894193",".0038316",".3392568",".1904141","1.781678",".0749135"
"_cons",".3074501",".0406699","7.55964","5.49e-14",".3106845",".0393641","7.892596","4.25e-15",".3189511",".0390318","8.171577","4.61e-16",".3371722",".0428295","7.872424","4.98e-15",".3269712",".0444782","7.351266","2.59e-13",".3205288",".0446686","7.175704","9.24e-13",".3216188",".044705","7.194245","8.09e-13"
"N","2743","","","","2743","","","","2743","","","","2743","","","","2743","","","","2743","","","","2743","","",""
"r2",".1320765","","","",".1336704","","","",".1328603","","","",".1349425","","","",".1409621","","","",".1394992","","","",".1423206","","",""
"df_m","21","","","","21","","","","21","","","","21","","","","27","","","","25","","","","29","","",""
"df_r","2721","","","","2721","","","","2721","","","","2721","","","","2715","","","","2717","","","","2713","","",""
