"","est1","","","","est2","","","","owncorsup","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"ygrsup","-.0965111",".0137173","-7.035698","1.04e-11","-.04315",".0174233","-2.476572",".0137412","-.058298",".016307","-3.575024",".0003991","-.0730797",".0179778","-4.06499",".0000616","-.0886875",".0167611","-5.291282","2.34e-07","","","",""
"oldrsup",".0192907",".0137987","1.398005",".1629895",".0240525",".0201535","1.193463",".2335036",".0316375",".0155061","2.040332",".0420631","-.005491",".0173624","-.3162601",".7520272",".0068175",".0145677",".4679866",".6401317","","","",""
"lnurate","-.0088763",".0108949","-.814721",".4157813",".0021811",".0126795",".1720161",".8635252","-.0122271",".0104492","-1.17014",".2427364",".0054113",".011649",".4645263",".6426111","-.0073718",".0091253","-.8078422",".4198173","","","",""
"time",".0345599",".0028271","12.22459","6.75e-29",".0162646",".0073876","2.201606",".0283509",".0509207",".0044721","11.38641","8.73e-26",".0219012",".0060727","3.606517",".0003639",".0418433",".0053091","7.881419","5.92e-14",".0591437",".0039242","15.07161","5.02e-40"
"stdum1","-.0546098",".0182439","-2.993326",".002954","-.0738196",".0187909","-3.928479",".0001032","-.13621",".0251696","-5.411691","1.16e-07","-.1376154",".0428756","-3.209646",".0014745","-.1458642",".0429494","-3.396185",".0007748","-.0958487",".0215086","-4.456298",".0000112"
"stdum2",".0109541",".0244898",".4472927",".6549381","-.0223185",".0262239","-.8510752",".3953145","-.0865488",".0241943","-3.577233",".0003958","-.0018706",".0444551","-.0420794",".9664637","-.0147868",".041206","-.3588509",".7199574","-.0504833",".0221418","-2.279998",".0232003"
"stdum3","-.0137898",".0268313","-.5139455",".6076117","-.0422602",".0267809","-1.577997",".1154775","-.1061018",".0272614","-3.892011",".0001189","-.0308514",".0514456","-.5996891",".5491707","-.0404355",".0523781","-.7719928",".4407224","-.0684639",".0245841","-2.784886",".0056418"
"stdum4",".0824692",".0213645","3.860103",".0001348",".0232657",".0266472",".8731004",".3832121","-.0332272",".0184998","-1.796083",".0733387",".0010635",".040065",".0265448",".9788406","-.0040433",".037835","-.1068671",".9149654","-.0181697",".0200274","-.9072401",".3648952"
"stdum5",".0361379",".0232813","1.552224",".1215047",".0007143",".0272943",".0261691",".9791375","-.0587022",".0265469","-2.211263",".0276597",".0030154",".055286",".0545416",".9565403","-.0065588",".0545762","-.120176",".9044236","-.0268928",".0264143","-1.018114",".3093172"
