"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","lnstapcenroll","","","","est7","","","","est8","","","","est9","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"lncolage","-.5134992",".036312","-14.14129","2.20e-42","-.5302475",".0311207","-17.03845","5.33e-59","-.596399",".0343137","-17.3808","4.26e-61","-.5839094",".0294842","-19.80413","1.24e-76","-.9628277",".0334404","-28.79234","9.2e-141","-.8362608",".0355784","-23.50475","4.3e-101","-.8700842",".0762675","-11.40832","1.42e-26","-.6067053",".0761533","-7.966899","1.16e-14","-.7011039",".0405848","-17.27505","1.48e-58"
"stdum1",".1471486",".027712","5.309921","1.29e-07",".2499957",".0275121","9.086751","3.63e-19",".2268528",".031283","7.251633","6.99e-13",".2906163",".0293274","9.909364","2.24e-22",".0141664",".0224521",".630961",".5281794","-.0148533",".0345366","-.4300744",".6672174",".074506",".0334685","2.226149",".0265122",".2774162",".0333664","8.314236","9.29e-16",".223125",".0292791","7.620628","5.96e-14"
"stdum2",".0476695",".0293551","1.623892",".1046374",".1973656",".0317532","6.215608","6.84e-10",".2057362",".0418605","4.914804","1.00e-06",".2847876",".039401","7.227929","8.27e-13","-.1522237",".0277009","-5.495267","4.71e-08","-.1497114",".0365246","-4.098919",".0000442",".0018482",".0406911",".0454199",".9637933",".1986957",".0474099","4.191022",".000033",".155232",".0372912","4.162699",".0000342"
"stdum3","-.0265813",".0375567","-.7077647",".4792161",".1412708",".039323","3.592575",".0003395",".111439",".0480656","2.318479",".0205754",".2129075",".0458352","4.645063","3.74e-06","-.3369527",".0341468","-9.867755","3.52e-22","-.2562782",".0428255","-5.984241","2.85e-09","-.1845775",".0545716","-3.3823",".0007834",".1031457",".0627913","1.642675",".1010956",".0373599",".0435468",".857924",".3911448"
"stdum4",".6433478",".0679634","9.466095","1.28e-20",".75298",".0592523","12.70804","5.44e-35",".66609",".0655494","10.16164","2.08e-23",".7544145",".0586869","12.85491","1.02e-35","1.219801",".061824","19.73023","8.37e-76","1.024317",".0667784","15.33906","1.06e-48",".9988055",".1397148","7.148888","3.69e-12",".7783951",".1375391","5.659445","2.60e-08",".9117146",".0784123","11.62719","2.32e-29"
"stdum5","-.0208142",".0274067","-.7594565",".4477149",".0809543",".0273569","2.959196",".0031394",".0639435",".0320458","1.995379",".0462067",".1251117",".0298898","4.18577",".0000303","-.1546197",".0209614","-7.376385","2.93e-13","-.172413",".0334765","-5.150271","3.03e-07","-.1036619",".0296366","-3.49777",".0005171",".0884634",".0342838","2.580328",".0101624",".0460016",".0286206","1.607289",".108314"
"stdum6",".3682413",".0451041","8.164254","7.47e-16",".5022685",".0414851","12.1072","4.51e-32",".3886889",".0439153","8.850882","2.73e-18",".4990732",".0412004","12.11331","4.22e-32",".6293159",".0408987","15.3872","4.01e-49",".5294502",".0475642","11.13127","1.76e-27",".490165",".0948224","5.169294","3.58e-07",".5004281",".0880071","5.686222","2.24e-08",".5563194",".0540666","10.28952","1.20e-23"
"stdum7","1.268631",".1027696","12.34442","3.26e-33","1.368796",".0876797","15.61132","1.50e-50","1.209333",".1025719","11.79011","1.41e-30","1.316226",".092172","14.2801","3.98e-43","2.038537",".0956737","21.30717","2.21e-86","1.867014",".1060821","17.59972","5.68e-62","1.659167",".2183048","7.600233","1.81e-13","1.396782",".211792","6.595063","1.11e-10","1.588375",".1197577","13.26324","4.88e-37"
"stdum8",".7850602",".0722627","10.86397","2.15e-26",".9073574",".0632702","14.341","1.85e-43",".7803364",".0707022","11.03694","3.74e-27",".8887089",".0644544","13.78819","1.67e-40","1.339661",".0659668","20.3081","1.24e-79","1.250653",".0757684","16.50626","2.08e-55","1.126012",".1528224","7.36811","8.68e-13",".8809645",".1468967","5.99717","3.92e-09","1.048624",".0856913","12.23724","3.87e-32"
