"","est1","","",""
"","b","se","t","p"
"d_tradeusch_pw_adh",".4647371",".2290339","2.029119",".0424461"
"edu_hs","-.127706",".0468843","-2.723857",".0064524"
"age","1.200985",".2624993","4.575191","4.76e-06"
"yrsusa","-1.289217",".2942129","-4.381919",".0000118"
"race_b","-.0400616",".0538379","-.7441144",".4568073"
"race_a","-.0527597",".0470502","-1.121349",".2621391"
"race_h",".0791067",".0390345","2.026583",".042705"
"race_m",".3952549",".2214047","1.785215",".0742264"
"race_an","-1.849048","1.720489","-1.074722",".282499"
"race_o","-.5747801",".3755578","-1.53047",".1259003"
"female","-.0243746",".0573508","-.4250088",".6708303"
"t2","-1.078479","1.273054","-.8471591",".3969064"
"l_shind_manuf_cbp","-.0324473",".0495617","-.6546849",".5126707"
"1.statefip","0",".",".","."
"4.statefip","1.893431","1.104062","1.714968",".086351"
"5.statefip","1.748784",".6871333","2.545044",".0109264"
"6.statefip","5.948325","1.151424","5.166058","2.39e-07"
"8.statefip","3.203942",".9723005","3.295218",".0009835"
"9.statefip","5.603756","1.464964","3.825183",".0001307"
"10.statefip",".859509","1.187131",".7240222",".4690521"
"12.statefip","2.973349","1.533613","1.938786",".0525274"
"13.statefip","6.925557",".5314805","13.03069","0"
"16.statefip","2.103331","1.230035","1.709977",".0872701"
"17.statefip","5.124598",".9241312","5.545314","2.93e-08"
"18.statefip","2.723705","1.037597","2.625011",".0086646"
"19.statefip","5.566945","1.480969","3.758989",".0001706"
"20.statefip","7.980055",".8814344","9.053488","0"
"21.statefip","6.448338",".6916146","9.3236","0"
"22.statefip","6.459046",".7950062","8.124524","4.44e-16"
"23.statefip","8.951623","1.496053","5.983492","2.18e-09"
"24.statefip","8.069079",".9123978","8.843818","0"
"25.statefip","8.551849","1.647525","5.190724","2.09e-07"
"26.statefip","4.541129","1.467143","3.095218",".0019667"
"27.statefip","8.019607",".9952074","8.058227","6.66e-16"
"28.statefip","-2.380288",".3041421","-7.826236","5.11e-15"
"29.statefip","4.981633",".7175645","6.942418","3.85e-12"
"30.statefip","31.02044","1.244014","24.93577","0"
"31.statefip","2.208055","1.242164","1.777587",".0754717"
"32.statefip","1.925078","1.116997","1.72344",".084809"
"33.statefip","7.360654","1.473934","4.993884","5.92e-07"
"34.statefip","8.212843","1.159813","7.081177","1.43e-12"
"35.statefip","4.682603","1.181986","3.961642",".0000744"
"36.statefip","6.833199",".895836","7.627734","2.40e-14"
"37.statefip","4.509138",".9867308","4.569775","4.88e-06"
"38.statefip","19.24507","1.043888","18.43596","0"
"39.statefip","7.239991","1.443259","5.016419","5.26e-07"
"40.statefip","3.069335",".7251046","4.232955",".0000231"
"41.statefip","3.959368",".7492872","5.284179","1.26e-07"
"42.statefip","6.146589","1.327246","4.631085","3.64e-06"
"44.statefip","8.278748","2.408983","3.436615",".000589"
"45.statefip","-.4457599",".5128626","-.8691605",".3847594"
"46.statefip",".4284221","1.799223",".2381151",".8117918"
"47.statefip","4.401967",".5491348","8.016187","1.11e-15"
"48.statefip","3.769197","1.207835","3.120622",".0018047"
"49.statefip","2.73167",".828852","3.295727",".0009817"
"50.statefip","3.93304","1.884912","2.086591",".0369251"
"51.statefip","6.005669",".616358","9.743799","0"
"53.statefip","5.472959",".6703598","8.164211","2.22e-16"
"54.statefip","13.52478","1.481203","9.130942","0"
"55.statefip","5.132996","1.306817","3.927861",".0000857"
"56.statefip","4.295744","1.109757","3.870886",".0001084"
"l_sh_popedu_c",".0177228",".0797732",".2221653",".8241852"
"l_sh_empl_f",".0918126",".1222954",".7507444",".4528065"
"_cons","-48.84112","12.27881","-3.977676",".0000696"
"N","1432","","",""
"r2",".2921516","","",""
"df_m","62","","",""
"df_r","","","",""
"df_b","","","",""
"df","","","",""
