"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"d_tradeusch_pw_adh",".4647371",".2290339","2.029119",".0424461",".5214208",".1470041","3.546981",".0003897"
"edu_hs","-.127706",".0468843","-2.723857",".0064524","-.0983857",".033982","-2.895228",".0037888"
"age","1.200985",".2624993","4.575191","4.76e-06",".0345499",".1117046",".3092971",".7570955"
"yrsusa","-1.289217",".2942129","-4.381919",".0000118",".1021585",".1325996",".7704286",".4410457"
"race_b","-.0400616",".0538379","-.7441144",".4568073","-.0802006",".033252","-2.411904",".0158694"
"race_a","-.0527597",".0470502","-1.121349",".2621391","-.0256241",".021098","-1.214532",".2245448"
"race_h",".0791067",".0390345","2.026583",".042705","-.0456384",".0132759","-3.437678",".0005867"
"race_m",".3952549",".2214047","1.785215",".0742264","-.1286563",".0987413","-1.302963",".1925873"
"race_an","-1.849048","1.720489","-1.074722",".282499",".7831922",".7361033","1.063971",".287342"
"race_o","-.5747801",".3755578","-1.53047",".1259003","-.6643306",".176029","-3.773983",".0001607"
"female","-.0243746",".0573508","-.4250088",".6708303",".0305319",".0211621","1.442761",".1490878"
"t2","-1.078479","1.273054","-.8471591",".3969064","-.0602671",".6267528","-.0961577",".9233953"
"l_shind_manuf_cbp","-.0324473",".0495617","-.6546849",".5126707","-.1013824",".0352709","-2.874395",".004048"
"1.statefip","0",".",".",".","0",".",".","."
"4.statefip","1.893431","1.104062","1.714968",".086351",".1821585",".5932622",".3070455",".7588087"
"5.statefip","1.748784",".6871333","2.545044",".0109264",".0941651",".3454778",".2725648",".7851878"
"6.statefip","5.948325","1.151424","5.166058","2.39e-07","-1.895735",".6288305","-3.014699",".0025723"
"8.statefip","3.203942",".9723005","3.295218",".0009835",".0244763",".5698373",".0429532",".9657389"
"9.statefip","5.603756","1.464964","3.825183",".0001307",".2248724",".5712094",".3936777",".693819"
"10.statefip",".859509","1.187131",".7240222",".4690521",".9507308",".3992169","2.38149",".0172428"
"12.statefip","2.973349","1.533613","1.938786",".0525274",".5776779",".6384371",".9048314",".3655547"
"13.statefip","6.925557",".5314805","13.03069","0",".9501024",".2480697","3.829982",".0001282"
"16.statefip","2.103331","1.230035","1.709977",".0872701","-.6253492",".7517419","-.8318669",".4054841"
"17.statefip","5.124598",".9241312","5.545314","2.93e-08","-.3395264",".425944","-.7971151",".4253842"
"18.statefip","2.723705","1.037597","2.625011",".0086646","-.3011312",".357172","-.8430985",".3991733"
"19.statefip","5.566945","1.480969","3.758989",".0001706","-3.854759",".8985062","-4.290187",".0000179"
"20.statefip","7.980055",".8814344","9.053488","0",".5318063",".4591978","1.15812",".2468149"
"21.statefip","6.448338",".6916146","9.3236","0",".8424851",".4624454","1.821804",".0684847"
"22.statefip","6.459046",".7950062","8.124524","4.44e-16","-.108286",".2624578","-.4125843",".6799112"
"23.statefip","8.951623","1.496053","5.983492","2.18e-09","1.933189",".4987192","3.876308",".0001061"
"24.statefip","8.069079",".9123978","8.843818","0",".2868364",".5166339",".5552025",".5787561"
"25.statefip","8.551849","1.647525","5.190724","2.09e-07","1.38761",".7605363","1.824515",".0680743"
"26.statefip","4.541129","1.467143","3.095218",".0019667","-1.102886",".569148","-1.937784",".0526496"
"27.statefip","8.019607",".9952074","8.058227","6.66e-16","-2.287875",".5734616","-3.989588",".0000662"
"28.statefip","-2.380288",".3041421","-7.826236","5.11e-15","1.17379",".1905841","6.158908","7.32e-10"
"29.statefip","4.981633",".7175645","6.942418","3.85e-12",".9743591",".3745982","2.601078",".0092931"
"30.statefip","31.02044","1.244014","24.93577","0","6.984585",".5878013","11.88256","0"
"31.statefip","2.208055","1.242164","1.777587",".0754717","1.220562",".6807787","1.792891",".0729904"
"32.statefip","1.925078","1.116997","1.72344",".084809","-.5496989",".6661466","-.8251921",".4092625"
"33.statefip","7.360654","1.473934","4.993884","5.92e-07","-.2585819",".5931227","-.435967",".6628607"
"34.statefip","8.212843","1.159813","7.081177","1.43e-12",".8352477",".5185939","1.610601",".1072668"
"35.statefip","4.682603","1.181986","3.961642",".0000744","-.5817181",".7116079","-.81747",".4136599"
"36.statefip","6.833199",".895836","7.627734","2.40e-14",".1204902",".346433",".3478023",".7279886"
"37.statefip","4.509138",".9867308","4.569775","4.88e-06","-1.207508",".4732722","-2.551403",".010729"
"38.statefip","19.24507","1.043888","18.43596","0","6.616868",".5923451","11.17063","0"
"39.statefip","7.239991","1.443259","5.016419","5.26e-07",".1941843",".4361634",".4452099",".6561681"
"40.statefip","3.069335",".7251046","4.232955",".0000231","-.4243095",".4552766","-.9319819",".3513459"
"41.statefip","3.959368",".7492872","5.284179","1.26e-07","-.0187024",".4092131","-.0457034",".9635467"
"42.statefip","6.146589","1.327246","4.631085","3.64e-06",".1566124",".4141639",".3781411",".7053258"
"44.statefip","8.278748","2.408983","3.436615",".000589","-1.117156",".9808919","-1.138918",".2547373"
"45.statefip","-.4457599",".5128626","-.8691605",".3847594",".3746734",".2798856","1.338666",".1806794"
"46.statefip",".4284221","1.799223",".2381151",".8117918","-5.044578","1.159395","-4.351043",".0000135"
"47.statefip","4.401967",".5491348","8.016187","1.11e-15","1.770345",".3249162","5.44862","5.08e-08"
"48.statefip","3.769197","1.207835","3.120622",".0018047","-.6925741",".6737694","-1.02791",".3039923"
"49.statefip","2.73167",".828852","3.295727",".0009817","1.423193",".433772","3.28097",".0010345"
"50.statefip","3.93304","1.884912","2.086591",".0369251","1.456711",".8798771","1.655585",".097806"
"51.statefip","6.005669",".616358","9.743799","0","1.104294",".2972443","3.715104",".0002031"
"53.statefip","5.472959",".6703598","8.164211","2.22e-16",".6234694",".3860046","1.615186",".1062703"
"54.statefip","13.52478","1.481203","9.130942","0","-2.257759",".4857622","-4.64787","3.35e-06"
"55.statefip","5.132996","1.306817","3.927861",".0000857","-2.081279",".5571488","-3.735589",".0001873"
