"","main","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"post",".0513774",".0220664","2.328312",".0217069",".0694598",".0250129","2.776962",".0075688",".0851852",".0359015","2.372748",".0297176",".0750223",".0284876","2.63351",".0206492",".0503361",".0313645","1.604873",".2068647",".0451963",".0104914","4.307926",".0000386",".0550662",".0087345","6.304441","1.60e-08",".0526664",".0135861","3.876483",".0003661"
"mc",".0013054",".0013148",".9928686",".3229335",".0017491",".0026821",".6521248",".517139","-.0215123",".010346","-2.079295",".0530399","-.00503",".0030397","-1.654767",".1219003","","","","",".002256",".0007439","3.032489",".0030895",".0021913",".0004267","5.135504","2.02e-06",".0031475",".0018185","1.730884",".0908141"
"_IposXmc_1","-.000833",".0067043","-.1242482",".9013435","-.0100943",".0039882","-2.531068",".0143749",".0355068",".0129739","2.736775",".014052",".0037015",".0043477",".8513757",".4099699","","","","","-.0053849",".0033512","-1.606865",".111237","-.0089822",".0010886","-8.250969","3.07e-12","-.0101659",".0019741","-5.149532","6.54e-06"
"mc2","-.0000241",".0000341","-.7073434",".4808355","-.0000111",".000082","-.1348484",".8932426","-.0018146",".000753","-2.409966",".0275648","","","","","","","","","1.24e-06",".000021",".0588855",".9531608","-3.45e-06","6.41e-06","-.5372393",".5926317",".0000309",".0000573",".539499",".5923915"
"_IposXmc2_1","-.0005814",".000561","-1.036247",".3023389",".0001641",".0001344","1.220516",".227672","-.0001722",".0011504","-.1496426",".8828076","","","","","","","","","-.0002141",".0002963","-.7226438",".4715854",".0001015",".0000407","2.494349",".0147333",".0000735",".0000709","1.037039",".3056516"
"mc3","-1.06e-07","2.49e-07","-.4267731",".6703712","","","","","","","","","","","","","","","","","8.24e-08","1.67e-07",".4920155",".6237868","","","","","","","",""
"_IposXmc3_1",".0000173",".0000127","1.361331",".1761662","","","","","","","","","","","","","","","","","7.00e-06","7.13e-06",".9818531",".3285417","","","","","","","",""
"days",".0049855",".0038147","1.306923",".1939399","-.0004311",".0040798","-.105678",".9162368",".0021966",".0079311",".2769594",".7851507",".003614",".0062213",".580914",".5712326","-.00613",".0313645","-.195443",".8575346",".0114365",".0130931",".8734748",".384497",".006414",".0062446","1.027132",".3075332",".0031797",".0081937",".388064",".6999287"
"_Imonth_2","","","","","","","","","","","","","","","","","","","","","-.0137784",".0297758","-.4627388",".644557","-.019226",".0150647","-1.276224",".2056635","-.0289661",".0187068","-1.548427",".1290225"
"_Imonth_3","","","","","","","","","","","","","","","","","","","","","-.0509453",".0082925","-6.143522","1.65e-08","-.0509639",".0099052","-5.145155","1.94e-06","-.051011",".0138689","-3.678085",".0006624"
"_Imonth_4","","","","","","","","","","","","","","","","","","","","","-.0177587",".014738","-1.204956",".2310639","-.0156651",".008601","-1.821316",".0723931","-.0227661",".0117105","-1.944074",".0586054"
"_Imonth_5","","","","","","","","","","","","","","","","","","","","","-.0973498",".0150584","-6.464837","3.75e-09","-.1077787",".0081234","-13.26768","1.08e-21","-.1099975",".0127729","-8.611772","7.97e-11"
"_Imonth_6","","","","","","","","","","","","","","","","","","","","","-.0380449",".0144176","-2.638788",".0096517","-.0387903",".0098153","-3.952005",".0001691","-.0464301",".0125949","-3.686432",".0006463"
"_Imonth_7","","","","","","","","","","","","","","","","","","","","","-.0513984",".0077434","-6.637678","1.67e-09","-.0571724",".0077539","-7.373368","1.52e-10","-.0664709",".0096999","-6.852716","2.36e-08"
"_Imonth_8","","","","","","","","","","","","","","","","","","","","","-.0157954",".0088045","-1.794015",".0758328","-.0179474",".0109105","-1.644966",".1040013","-.0269015",".0125512","-2.143338",".0379233"
"_Imonth_9","","","","","","","","","","","","","","","","","","","","","-.0517578",".015475","-3.344618",".001161","-.0579556",".0101472","-5.711503","1.95e-07","-.0633775",".0134912","-4.697683",".0000282"
"_Imonth_10","","","","","","","","","","","","","","","","","","","","","-.0162894",".0066765","-2.439822",".016455","-.0181869",".007138","-2.54789",".012803","-.019383",".0104525","-1.854384",".0707146"
"_Imonth_11","","","","","","","","","","","","","","","","","","","","","-.0091148",".0141527","-.6440304",".5210301","-.009176",".008775","-1.045696",".298931","-.0130861",".0124952","-1.047293",".3009543"
"_Imonth_12","","","","","","","","","","","","","","","","","","","","","-.0046516",".0087667","-.5305955",".5968755",".0048802",".0072931",".6691456",".5053784",".0047411",".0111508",".4251752",".6728796"
"_cons","10.47133",".1131781","92.52083","6.8e-107","10.63877",".1208697","88.01849","3.90e-59","10.50818",".2432364","43.20152","8.02e-19","10.49234",".1794855","58.45789","3.97e-17","10.80217",".9463977","11.41398",".0014431","10.31451",".4034878","25.56338","1.19e-45","10.46857",".19203","54.51528","7.32e-64","10.57579",".2489403","42.48322","3.85e-36"
"N","120","","","","60","","","","24","","","","18","","","","6","","","","120","","","","96","","","","60","","",""
"r2",".8414878","","","",".4515207","","","",".6362274","","","",".5371971","","","",".5259222","","","",".9381016","","","",".9493012","","","",".9168948","","",""
"df_m","8","","","","6","","","","6","","","","4","","","","2","","","","19","","","","16","","","","17","","",""
"df_r","111","","","","53","","","","17","","","","13","","","","3","","","","100","","","","78","","","","42","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
