"","est1","","",""
"","b","se","t","p"
"post","-.1247946",".0426989","-2.922665",".0042064"
"m",".0145831",".0029662","4.916419","3.07e-06"
"_IposXm_1","-.0004532",".0110101","-.0411639",".9672392"
"m2",".0001994",".000074","2.694143",".0081531"
"_IposXm2_1","-.0004338",".000898","-.483076",".6299933"
"m3","1.29e-06","5.25e-07","2.455003",".0156405"
"_IposXm3_1","-.0000131",".0000199","-.6571621",".512437"
"days","-.0063854",".0065649","-.9726689",".3328327"
"_cons","9.270302",".1941792","47.74096","7.96e-76"
"N","120","","",""
"r2",".8835982","","",""
"df_m","8","","",""
"df_r","111","","",""
"df_b","","","",""
"df","","","",""
