"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"pm","-.2819935",".1267721","-2.224413",".0288027","-.8435822",".4897492","-1.722478",".088663","-.0639556",".0883152","-.7241739",".4709711",".0011111",".0974175",".0114057",".9909268"
"temp","-.2729086",".30634","-.8908684",".3755444","-1.293194",".8705947","-1.485414",".1411776","-.0561942",".2321276","-.2420831",".8093058","-.1048737",".2477361","-.4233284",".6731376"
"humid","-.1256417",".1085817","-1.157117",".2505046","-.3609104",".3197586","-1.128696",".2622393","-.0277883",".0834739","-.3328983",".7400405","-.021342",".0769716","-.2772706",".7822535"
"temp2",".000689",".0041772",".1649317",".869394",".018381",".0111448","1.649286",".102824",".0013712",".0032064",".4276441",".6700046",".0022019",".0036128",".609473",".543856"
"humid2",".0001596",".0004431",".3601481",".7196404",".0010063",".0012193",".8253296",".4115223",".0000866",".0003452",".2509369",".8024757","-.0000192",".000327","-.0588018",".9532496"
"temphumid",".0038074",".0024392","1.560907",".1223055",".0101766",".0074256","1.370478",".1741892",".0007327",".0018684",".3921505",".6959402",".0009211",".0018113",".5085309",".6124141"
"N","89492","","","","89492","","","","89492","","","","89492","","",""
"r2","-.0004669","","","","-.0008484","","","","4.71e-06","","","",".0002271","","",""
"df_m","6","","","","6","","","","6","","","","6","","",""
"df_r","84","","","","84","","","","84","","","","84","","",""
"df_b","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","",""
