"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"cgvo",".0841633",".0696533","1.208318",".2425605","","","","",".1925817",".1096655","1.756084",".0960747","","","",""
"v_fe","-.0061964",".000877","-7.065824","1.37e-06","-.0060618",".000848","-7.148272","1.17e-06",".0050516",".0012514","4.036788",".0007738",".0049194",".001283","3.834382",".0012147"
"v_fe1","-1.43414",".3035477","-4.724597",".0001691","-1.391662",".2948671","-4.719626",".0001709",".550898",".0710841","7.749943","3.84e-07",".5440701",".0732073","7.431908","6.88e-07"
"v_fe2","-.6537082",".3163624","-2.066327",".0534955","-.6101869",".3075191","-1.984224",".0626917","0",".",".",".","0",".",".","."
"v_fe3","-1.651982",".3228875","-5.116277",".0000722","-1.591836",".3082146","-5.1647",".0000651",".021248",".063961",".332202",".743574",".0537449",".047937","1.121157",".2769564"
"v_fe4","-1.228933",".2949769","-4.166202",".0005802","-1.187965",".2866719","-4.143989",".0006096",".598342",".0725189","8.250842","1.57e-07",".5871405",".0753278","7.79447","3.54e-07"
"v_fe5","-1.423487",".2830371","-5.029329",".0000871","-1.385923",".2753766","-5.032826",".0000865",".9060623",".088857","10.19686","6.61e-09",".8907526",".0916092","9.723398","1.37e-08"
"v_fe6","-1.773605",".2815553","-6.299312","6.14e-06","-1.734353",".2735923","-6.33919","5.67e-06",".8415287",".085033","9.896492","1.05e-08",".8298157",".0874021","9.494229","1.97e-08"
"v_fe7","-1.584608",".3125505","-5.069927",".0000798","-1.542155",".3039516","-5.073687",".0000792",".4525536",".0429836","10.52851","4.02e-09",".4491417",".0461627","9.729547","1.36e-08"
"v_fe8","-1.054649",".2662959","-3.96044",".0009172","-1.067575",".2676872","-3.988142",".0008623","1.184948",".1335194","8.874727","5.42e-08","1.160033",".1321236","8.779911","6.36e-08"
"v_fe9",".5551888",".215596","2.575134",".0190694",".5837697",".2096622","2.784334",".0122405","1.956866",".1657879","11.80343","6.58e-10","1.935405",".168922","11.45739","1.06e-09"
"v_fe10",".2943231",".1828153","1.609948",".1248063",".3186889",".1759173","1.811584",".0867701","1.30052",".214363","6.066907","9.83e-06","1.278375",".2194732","5.824745",".0000162"
"v_fe11",".701404",".203388","3.4486",".0028656",".7228485",".1966793","3.675264",".0017315","2.409083",".207465","11.612","8.55e-10","2.397828",".2081144","11.52168","9.69e-10"
"v_fe12","0",".",".",".","0",".",".",".","1.516246",".2513993","6.031227",".0000106","1.475519",".2562974","5.757059",".0000186"
"v_fe13","-1.115902",".2258089","-4.941796",".0001053","-1.104594",".2196471","-5.028948",".0000872",".2696937",".1745187","1.545357",".1396599",".2449078",".1769936","1.38371",".1833677"
"v_fe14",".0859574",".1913971",".4491051",".6587162",".1105311",".1863413",".5931649",".5604507","1.212891",".1764103","6.875396","1.97e-06","1.189968",".1795194","6.628632","3.19e-06"
"v_fe15","-1.269396",".3147982","-4.032411",".0007814","-1.24349",".3056918","-4.067788",".0007222",".9436285",".0829064","11.38185","1.18e-09",".9496312",".0724882","13.1005","1.21e-10"
"v_fe16",".1119547",".2256694",".4961007",".6258266",".1272366",".2190488",".5808593",".5685375","3.071479",".1486094","20.66814","5.46e-14","3.050177",".1514992","20.13329","8.59e-14"
"v_fe17","-1.050702",".3071449","-3.420868",".0030473","-1.026023",".2982863","-3.439726",".0029226",".6668808",".0745943","8.940107","4.86e-08",".657471",".0669326","9.822885","1.17e-08"
"v_fe18","-1.384857",".3062794","-4.521547",".0002641","-1.360313",".2974465","-4.573301",".0002357","-.5552717",".0344811","-16.10363","3.91e-12","-.5516351",".0353501","-15.60492","6.64e-12"
"v_fe19",".6031362",".2977919","2.025361",".0579198",".6332561",".2886041","2.194203",".041586","1.972653",".0839972","23.48475","5.92e-15","1.980943",".0734943","26.9537","5.29e-16"
"v_fe20",".2593633",".2596742",".9988025",".3311291",".283475",".2517305","1.126105",".2749114","1.28674",".0899118","14.31113","2.82e-11","1.2809",".0907535","14.11405","3.55e-11"
"v_fe21","-1.358038",".1704179","-7.968865","2.59e-07","-1.338178",".1662251","-8.050398","2.24e-07",".564856",".2046406","2.760234",".0128877",".5457655",".2084935","2.617662",".017439"
"v_fe22",".1676864",".2026169",".8276031",".4187329",".1923649",".1973731",".9746257",".3426629",".7202447",".1531936","4.701532",".0001779",".7054222",".1561417","4.517833",".0002663"
"v_fe23","-.7420448",".1957341","-3.791086",".0013377","-.7149909",".1901211","-3.760713",".0014314","2.495752",".1527527","16.33852","3.06e-12","2.47768",".1552025","15.96418","4.53e-12"
"v_fe24","-1.930883",".2260409","-8.542182","9.51e-08","-1.900426",".2197051","-8.649892","7.92e-08",".6463825",".0867599","7.450246","6.65e-07",".6335282",".0888663","7.129006","1.21e-06"
"v_fe25",".4968009",".124695","3.984129",".00087",".5111073",".1215617","4.204508",".0005329",".1552348",".2661649",".583228",".5669762",".1241746",".2722289",".4561404",".6537445"
