"","est1","","",""
"","b","se","t","p"
"Ir_n4","1.065707","2.533522",".4206426",".6743287"
"Ir_n3",".5712611","2.344802",".2436287",".8076912"
"Ir_n2","-.4588277","1.891418","-.242584",".8084997"
"Ir_n1","-.5228218","1.615016","-.3237254",".7463801"
"Ir_n0","-.3504632","1.515714","-.2312199",".8173076"
"Ir_p1",".0367412",".1031729",".3561126",".722016"
"Ir_p2",".0837513",".1004524",".8337412",".4051154"
"Ir_p3",".0338492",".105135",".3219594",".7477162"
"Ir_p4",".0242358",".1047781",".231306",".8172407"
"Ir_p5",".0286217",".0980013",".2920542",".7704548"
"Ir_p6",".0332483",".0867671",".3831902",".7018604"
"Ir_p7",".0571064",".0874737",".6528401",".5143783"
"Ir_p8",".0770789",".0938975",".8208828",".4123896"
"Ir_p9",".1256055",".0844452","1.48742",".1379942"
"Ir_p10",".1932189",".0902661","2.140549",".0331472"
"Ir_p11",".4093333",".1315038","3.112711",".0020395"
"P",".0327044",".0293109","1.115779",".2654437"
"lnenrtot","22.07058","4.703599","4.692276","4.18e-06"
"ellpc","-.0005921",".3291268","-.001799",".9985658"
"blackpc",".5530799",".5058724","1.093319",".2751642"
"lunchfrpc","-.1380717",".082837","-1.666788",".0966398"
"yeard1","-24.02766","3.899075","-6.162401","2.40e-09"
"yeard2","-22.19166","3.698509","-6.000163","5.89e-09"
"yeard3","-22.95767","3.506503","-6.54717","2.67e-10"
"yeard4","-22.95966","3.312773","-6.930649","2.73e-11"
"yeard5","-23.24953","2.972161","-7.822435","9.79e-14"
"yeard6","-24.23493","2.884582","-8.401539","2.02e-15"
"yeard7","-23.96101","2.694966","-8.891026","6.70e-17"
"yeard8","-24.07277","2.526078","-9.529702","6.74e-19"
"yeard9","-22.02314","2.307949","-9.542296","6.15e-19"
"yeard10","-19.07358","1.967496","-9.694342","2.01e-19"
"yeard11","-18.7578","1.750511","-10.71561","8.82e-23"
"yeard12","-13.92452","1.56349","-8.906048","6.02e-17"
"yeard13","-9.745647","1.279655","-7.615841","3.75e-13"
"yeard14","-5.645334","1.264674","-4.463866",".0000116"
"yeard15","-3.581899",".8185042","-4.376152",".0000169"
"yeard16","-1.455559",".43748","-3.327143",".0009909"
"yeard17","0",".",".","."
"_cons","-52.72807","26.57884","-1.983836",".0482201"
"N","4369","","",""
"r2",".6568143","","",""
"df_m","36","","",""
"df_r","289","","",""
"df_b","37","","",""
"df","","","",""
