"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"wageshock",".7796007",".1787867","4.360507",".0000206",".7920435",".1207399","6.559914","2.96e-10"
"elasticity",".0192185",".0839675",".2288805",".8191911","-.0245762",".0168873","-1.455304",".1468102"
"c.wageshock#c.elasticity","-.0413764",".1500003","-.2758423",".7829484",".0898341",".0766604","1.171845",".2423489"
"_cons","-.0632444",".0388013","-1.629955",".104654","-.0933752",".0236136","-3.954289",".0000994"
"N","217","","","","269","","",""
"r2",".3150403","","","",".394818","","",""
"df_m","3","","","","3","","",""
"df_r","204","","","","256","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
