"","m6","","",""
"","b","se","t","p"
"postwres",".2288482",".0844412","2.71015",".0154474"
"pfemale","-20.46157","18.34684","-1.115264",".2812087"
"prural","11.8354","7.07268","1.673397",".113684"
"plit","-2.89549","5.140595","-.5632597",".5810666"
"pfarm","16.14894","13.36317","1.208466",".2444259"
"womancm","-.0644022",".070851","-.9089805",".3768496"
"pcgsdp","-.1892705",".1024538","-1.847374",".083268"
"ppol_strength","-.0918163",".0539466","-1.701986",".1081045"
"o._Istateid_4","0",".",".","."
"o._Istateid_5","0",".",".","."
"o._Istateid_10","0",".",".","."
"o._Istateid_11","0",".",".","."
"o._Istateid_12","0",".",".","."
"o._Istateid_13","0",".",".","."
"o._Istateid_14","0",".",".","."
"o._Istateid_15","0",".",".","."
"o._Istateid_17","0",".",".","."
"o._Istateid_18","0",".",".","."
"o._Istateid_23","0",".",".","."
"o._Istateid_25","0",".",".","."
"o._Istateid_26","0",".",".","."
"o._Istateid_28","0",".",".","."
"o._Istateid_30","0",".",".","."
"o._Istateid_31","0",".",".","."
"year",".2390075",".0992718","2.407608",".0284845"
"_IstaXyear_4","-.0008898",".0316322","-.028131",".9779055"
"_IstaXyear_5","-.0690398",".0349061","-1.977869",".0654302"
"_IstaXyear_10",".0054163",".0479773",".1128928",".9115199"
"_IstaXyear_11",".0214669",".0451874",".4750645",".6411611"
"_IstaXyear_12","-.0209472",".0236089","-.8872563",".3880837"
"_IstaXyear_13","-.0604207",".0404832","-1.49249",".1550257"
"_IstaXyear_14","-.0917283",".0309406","-2.964659",".0091277"
"_IstaXyear_15",".0645975",".0664766",".9717321",".3456461"
"_IstaXyear_17","-.0082644",".0084383","-.9793952",".3419626"
"_IstaXyear_18","-.0461791",".0342659","-1.34767",".1965387"
"_IstaXyear_23",".0872095",".0259188","3.364725",".0039429"
"_IstaXyear_25",".046742",".0356337","1.311735",".2081202"
"_IstaXyear_26","-.0300598",".0434653","-.691582",".499113"
"_IstaXyear_28","-.0635844",".0598601","-1.062218",".3039076"
"_IstaXyear_30","-.0028056",".0315848","-.0888291",".9303201"
"_IstaXyear_31","-.0113568",".0425336","-.2670084",".7928736"
"_Iyear_1986","-.0204182",".120518","-.1694206",".8675894"
"_Iyear_1987","-.2088056",".1085663","-1.9233",".0724238"
"_Iyear_1988","-.2331969",".107851","-2.162213",".0460947"
"_Iyear_1989","-.3219808",".1333123","-2.415236",".0280548"
"_Iyear_1990","-.5558441",".1835211","-3.028774",".0079852"
"_Iyear_1991","-.7808124",".2426614","-3.217704",".005374"
"_Iyear_1992","-.7711924",".2122225","-3.633887",".0022335"
"_Iyear_1993","-.7599215",".1882372","-4.037043",".0009547"
"_Iyear_1994","-.8283268",".1663087","-4.980657",".0001361"
"_Iyear_1995",".3582571",".2014441","1.778444",".0943362"
"_Iyear_1996",".544732",".1462811","3.72387",".0018469"
"_Iyear_1997",".552446",".141658","3.899858",".0012742"
"_Iyear_1998",".5734354",".1196196","4.793825",".0001988"
"_Iyear_1999",".532108",".1036896","5.131738",".0001004"
"_Iyear_2000",".490349",".0870437","5.633362",".0000374"
"_Iyear_2001",".410686",".0876371","4.686214",".0002478"
"_Iyear_2002",".3255267",".0730827","4.454222",".0003997"
"_Iyear_2003",".2130259",".0542901","3.923845",".0012114"
"_Iyear_2004",".1837387",".054371","3.37935",".0038232"
"_Iyear_2005",".0800412",".037673","2.12463",".0495493"
"_Iyear_2006",".0224727",".0388478",".5784793",".5709943"
"o._Iyear_2007","0",".",".","."
"_cons","-448.9352","160.2478","-2.801507",".0128015"
"N","391","","",""
"r2",".9532976","","",""
"df_m","16","","",""
"df_r","16","","",""
"df_b","","","",""
"df","","","",""
