"","core6","","",""
"","b","se","t","p"
"postwres","-.1343661",".1233525","-1.089286",".292163"
"pfemale","-33.9986","46.32234","-.7339569",".4735941"
"prural","-39.75769","53.71586","-.7401482",".4699324"
"plit","15.2223","22.93847",".6636144",".5163859"
"pfarm","-50.52748","52.19565","-.9680401",".3474306"
"womancm","-.2411497",".1424102","-1.693345",".1097653"
"pcgsdp","-.0736668",".1290665","-.5707659",".5760876"
"ppol_strength","-.0499529",".1613814","-.3095335",".7609105"
"o._Istateid_4","0",".",".","."
"o._Istateid_5","0",".",".","."
"o._Istateid_10","0",".",".","."
"o._Istateid_11","0",".",".","."
"o._Istateid_12","0",".",".","."
"o._Istateid_13","0",".",".","."
"o._Istateid_14","0",".",".","."
"o._Istateid_15","0",".",".","."
"o._Istateid_17","0",".",".","."
"o._Istateid_18","0",".",".","."
"o._Istateid_23","0",".",".","."
"o._Istateid_25","0",".",".","."
"o._Istateid_26","0",".",".","."
"o._Istateid_28","0",".",".","."
"o._Istateid_30","0",".",".","."
"o._Istateid_31","0",".",".","."
"year","-.4249135",".2842435","-1.494893",".1544034"
"_IstaXyear_4",".1086916",".1482671",".7330793",".4741145"
"_IstaXyear_5",".1927817",".1381282","1.395672",".1818817"
"_IstaXyear_10",".0826768",".1591746",".5194096",".6105858"
"_IstaXyear_11",".0625374",".1993506",".3137058",".7577974"
"_IstaXyear_12",".0350341",".0804945",".4352352",".6692057"
"_IstaXyear_13",".2919706",".1409768","2.071054",".0548857"
"_IstaXyear_14",".0399141",".14726",".2710451",".7898221"
"_IstaXyear_15",".3239314",".262368","1.234645",".2347883"
"_IstaXyear_17","-.0092188",".0612911","-.1504109",".8823203"
"_IstaXyear_18","-.0837795",".1424815","-.5880023",".5647387"
"_IstaXyear_23",".0141854",".1398665",".1014212",".9204762"
"_IstaXyear_25","-.0299913",".1781067","-.1683896",".868387"
"_IstaXyear_26",".2260562",".2073005","1.090476",".2916544"
"_IstaXyear_28","-.1932346",".4927828","-.3921294",".7001366"
"_IstaXyear_30",".015001",".1031873",".1453766",".8862292"
"_IstaXyear_31",".1706879",".1186019","1.439166",".1693801"
"o._Iyear_1986","0",".",".","."
"o._Iyear_1987","0",".",".","."
"o._Iyear_1988","0",".",".","."
"_Iyear_1989",".5876935",".192503","3.052906",".0075925"
"_Iyear_1990","1.163099",".3639922","3.195394",".005632"
"_Iyear_1991","1.425316",".494634","2.881557",".0108482"
"_Iyear_1992","1.210587",".4057896","2.983288",".0087802"
"_Iyear_1993",".8845606",".3651208","2.422652",".0276429"
"_Iyear_1994",".8562798",".3324136","2.575947",".0203081"
"_Iyear_1995",".7303457",".2736069","2.669325",".0167934"
"_Iyear_1996",".6077668",".257692","2.358501",".0314028"
"_Iyear_1997",".3970695",".2346917","1.691877",".1100497"
"_Iyear_1998",".4610032",".2225816","2.071165",".0548742"
"_Iyear_1999",".4422293",".2101184","2.104667",".0514795"
"_Iyear_2000",".323306",".1852361","1.745372",".1000914"
"_Iyear_2001",".3006082",".197265","1.52388",".1470591"
"_Iyear_2002",".1867896",".1659895","1.12531",".2770557"
"_Iyear_2003",".0351843",".1667457",".2110057",".8355468"
"_Iyear_2004",".0900885",".1422751",".6331996",".5355499"
"_Iyear_2005",".0005081",".1268886",".0040047",".9968543"
"_Iyear_2006","-.0609319",".0792286","-.7690646",".453059"
"o._Iyear_2007","0",".",".","."
"_cons","756.3446","490.5668","1.541777",".1426721"
"N","330","","",""
"r2",".793731","","",""
"df_m","16","","",""
"df_r","16","","",""
"df_b","","","",""
"df","","","",""
