"","core3","","","","m5","","",""
"","b","se","t","p","b","se","t","p"
"postwres","-.1477007",".1053228","-1.402362",".1799113",".0691463",".0535359","1.291589",".2148469"
"pfemale","-7.201552","4.608975","-1.562506",".1377292","-9.885814","3.249212","-3.042527",".007759"
"prural","2.404664","1.935559","1.242362",".2320046","1.635786","1.664173",".9829427",".3402667"
"plit",".6671565",".7138968",".934528",".3639223","2.851478","1.026584","2.777636",".0134472"
"pfarm","-6.321482","2.907628","-2.174103",".0450489","6.044134","1.77906","3.397375",".0036805"
"womancm","-.0787304",".0456602","-1.724267",".1039222","-.121542",".0796214","-1.526499",".1464101"
"pcgsdp","-.0705155",".0578479","-1.218981",".2405187",".1032971",".0668851","1.544395",".1420397"
"ppol_strength",".2497588",".1529641","1.632794",".1220339",".1769006",".0861075","2.054415",".0566469"
"_Iyear_1986",".0087057",".0437299",".1990796",".8447083","-.009346",".0637165","-.1466813",".8852158"
"_Iyear_1987",".0065311",".0638313",".1023183",".9197754",".0182572",".0625006",".2921125",".7739543"
"_Iyear_1988",".0811711",".0779548","1.041258",".313235",".0838233",".0682919","1.227427",".2374156"
"_Iyear_1989",".108188",".0782127","1.383252",".1855862",".0748559",".0768677",".973827",".3446363"
"_Iyear_1990",".2540921",".1146389","2.216457",".041499",".1406099",".0616353","2.281319",".0365624"
"_Iyear_1991",".3402611",".1167917","2.913402",".0101545",".1761004",".0697995","2.522948",".0226049"
"_Iyear_1992",".3261474",".1010766","3.226735",".0052729",".1554034",".0925296","1.679499",".1124727"
"_Iyear_1993",".2016724",".0876442","2.301035",".0351738",".2511744",".1000395","2.510751",".0231674"
"_Iyear_1994",".1737532",".1046288","1.660663",".116248",".2367953",".121056","1.95608",".0681463"
"_Iyear_1995",".1928157",".1161784","1.659652",".1164538",".2021098",".1424868","1.418446",".175245"
"_Iyear_1996",".1947628",".1417604","1.373887",".1884199",".130534",".1418947",".9199354",".3712687"
"_Iyear_1997",".1282327",".1174484","1.091822",".29108",".2982918",".170572","1.748773",".0994856"
"_Iyear_1998",".1040408",".1292346",".8050537",".4325899",".3493315",".1852885","1.885339",".0776771"
"_Iyear_1999",".0532572",".1383252",".3850141",".7052969",".4348618",".2036239","2.135613",".0485159"
"_Iyear_2000",".0215347",".1457229",".1477785",".8843638",".3832698",".2493256","1.537226",".1437771"
"_Iyear_2001","-.0548043",".1572311","-.3485592",".7319645",".3285064",".233556","1.406542",".1786888"
"_Iyear_2002","-.075503",".162137","-.465674",".6477248",".3995291",".2448988","1.631405",".1223285"
"_Iyear_2003","-.1642388",".1700856","-.9656249",".3486015",".3774937",".2496061","1.512358",".1499426"
"_Iyear_2004","-.194289",".1767649","-1.099138",".287972",".3653303",".2509067","1.456041",".1647236"
"_Iyear_2005","-.258094",".1821558","-1.416886",".1756932",".4882746",".3052557","1.599559",".1292541"
"_Iyear_2006","-.2807891",".1958536","-1.433668",".1709203",".4517092",".3289533","1.373171",".1886379"
"_Iyear_2007","-.3201932",".1998752","-1.601966",".1287193",".5070083",".3355121","1.511147",".1502482"
"_cons","2.072335","4.613763",".4491637",".6593379","2.233893","3.245936",".6882122",".5011762"
"N","391","","","","390","","",""
"r2",".7590541","","","",".9656074","","",""
"df_m","16","","","","16","","",""
"df_r","16","","","","16","","",""
"df_b","","","","","","","",""
"df","","","","","","","",""
