"","m1_math","","","","m2_math","","","","m3_math","","","","m1_ela","","","","m2_ela","","","","m3_ela","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"share_inperson",".1403078",".0137146","10.23051","4.65e-24",".133659",".0146996","9.092695","2.02e-19",".1278944",".0155648","8.216916","3.43e-16",".0812703",".0102348","7.940561","3.10e-15",".0828431",".0105094","7.882775","4.88e-15",".0872114",".0104958","8.309201","1.62e-16"
"share_hybrid",".0776179",".0142899","5.431663","6.17e-08",".0721608",".01483","4.865861","1.22e-06",".0742677",".0161438","4.600385","4.44e-06",".0607811",".0116397","5.221885","1.93e-07",".0536515",".0094938","5.651192","1.79e-08",".0637425",".0099353","6.415742","1.69e-10"
"N","11041","","","","11041","","","","11041","","","","11064","","","","11064","","","","11064","","",""
"r2",".9830268","","","",".98494","","","",".990397","","","",".9854378","","","",".9873269","","","",".9911936","","",""
"df_m","51","","","","503","","","","942","","","","51","","","","505","","","","947","","",""
"df_r","2322","","","","2322","","","","2322","","","","2324","","","","2324","","","","2324","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
