"","est1","","","","est2","","","","est3","","","","est4","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"switcher","-.1981335",".0575555","-3.442475",".0023232","-.2249183",".0553992","-4.059953",".0005211","-.2909385",".1066052","-2.729122",".0122498","-.3832319",".1160119","-3.303385",".003236"
"SC","-1.601968",".4853931","-3.300352",".0032594","","","","","-.3939181",".7237325","-.5442869",".5917185","","","",""
"ST","-.3287866",".6220096","-.5285877",".6023839","","","","","-.3897921",".6768442","-.5758964",".5705301","","","",""
"coastal",".2496918",".0626247","3.987115",".0006224",".3281789",".0772679","4.247284",".0003298",".1800913",".0772137","2.332375",".0292317",".3340735",".1100212","3.036447",".0060596"
"british",".0107769",".0378932",".2844033",".7787611",".0057201",".0513364",".1114231",".9122911","-.0198849",".0419271","-.4742741",".639978","-.0132874",".0665587","-.1996342",".8436004"
"forest_land","-.7079307",".6756481","-1.04778",".3061153",".0117904",".8474311",".0139131",".9890247",".0426835",".9696469",".0440196",".9652859","2.269812","1.37036","1.656361",".1118438"
"wasteland",".0552996",".3878077",".1425955",".8879076","-.3395847",".5138994","-.6608",".5156012","-.2034186",".5106621","-.3983428",".6942171","-1.52203",".7560813","-2.01305",".0565054"
"altitude",".1242476",".0311313","3.991088",".0006164",".1070221",".0375988","2.84642",".009389",".1209696",".043627","2.772818",".0110989",".1228543",".0538395","2.281861",".0325307"
"latitude","-.0186509",".011955","-1.560096",".1330079","-.0207509",".0117081","-1.772353",".0901858","-.0329964",".0194521","-1.696295",".1039364","-.0467887",".0230992","-2.025551",".0551098"
"longitude","-.0204048",".013428","-1.51957",".1428611","-.0272531",".0166504","-1.636787",".1159016","-.0299882",".0178603","-1.679045",".107292","-.0380278",".0251966","-1.509242",".1454659"
"rainfall_july_mean",".0106823",".0183144",".5832701",".5656435",".0009477",".0239806",".0395185",".9688335","-.0050267",".0251851","-.1995912",".8436336","-.0337567",".0470837","-.7169512",".4809473"
"rainfall_jan_mean","-1.699819",".9434316","-1.80174",".0853079","-2.586948","1.129621","-2.290103",".0319702","4.804473","2.321299","2.069735",".0504204","6.316337","2.395425","2.636834",".0150618"
"rainfall_july_sd",".0365611",".0344049","1.062673",".2994567",".0611717",".0394074","1.552289",".134861",".2173965",".0626251","3.471398",".0021678",".3419861",".0921295","3.712015",".0012143"
"rainfall_jan_sd","1.001432",".4625285","2.165124",".0414953","1.309621",".5608739","2.334966",".0290711","-1.652251","1.16693","-1.415895",".1708088","-2.543782","1.283754","-1.981518",".060166"
"Total_pop",".3159665",".0743307","4.250822",".000327",".0511497",".0655137",".7807481",".4432711",".6426977",".1330167","4.831705",".0000793","-.0189744",".0913551","-.2076997",".8373741"
"Rural_pop","-.2374553",".0842079","-2.81987",".0099747","-.0289153",".0427964","-.6756488",".5063043","-.5922436",".1997715","-2.964606",".0071574","-.0246582",".0474474","-.5196947",".6084663"
"aligned",".1268186",".0792736","1.599757",".1239163",".2139311",".0917157","2.332546",".029221","-.3201274",".2483639","-1.288945",".2108063","-.3501561",".2639293","-1.326704",".1982139"
"_Istateid_14","0",".",".",".","0",".",".",".","-90.21229","21.73367","-4.150808",".0004175","-90.96767","13.13794","-6.924043","5.95e-07"
"_Istateid_20","-1.368312","5.116148","-.2674497",".7916143","-1.439305","5.68765","-.2530579",".8025731","-14.34488","14.04476","-1.021369",".3181807","-36.28952","17.33273","-2.093699",".0480293"
"_Istateid_26","-1.72189","4.115468","-.4183948",".6797146","-1.69105","4.818298","-.3509641",".7289539","0",".",".",".","0",".",".","."
"_Iyear_1961",".1888081",".0578768","3.26224",".0035674",".103529",".0662629","1.562399",".1324653","0",".",".",".","0",".",".","."
