"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-4.0426399871463,1.81806460278905,-2.22359534471139,0.0265301053297109
"agr_lag",0.323091765350165,0.0128977328776311,25.0502757667212,1.37967525537454e-96
"matched2$AC_type_noSTSC",-0.760846266445337,1.32710454617571,-0.573312983244501,0.566637702675314
"PropSC",0.107832811820364,0.0525969942496968,2.05017061067107,0.0407617745102176
"stateFE3",-3.29203667102803,1.72272439326869,-1.9109479635229,0.0564655487487732
"stateFE6",2.24291631167857,1.79103657717139,1.25230067340157,0.210925747944548
"stateFE8",4.20608401346365,1.55140341783093,2.71114783242152,0.0068881493459083
"stateFE9",3.17179400447397,1.49091686237412,2.12741171860062,0.0337742765157213
"stateFE10",6.74640508086534,1.74146243634965,3.87398828711273,0.000118288290299102
"stateFE19",6.03040534616482,1.67829589380443,3.59317172164132,0.000352217904207041
"stateFE21",4.97584240105163,1.74750645048103,2.84739572759915,0.00455172223862612
"stateFE23",6.32984682710953,1.61401646312644,3.92179817970894,9.75563943520883e-05
"stateFE24",6.70616208839526,2.01658526573175,3.32550386157949,0.000933925081046593
"stateFE27",7.67361416693444,1.87807286131283,4.08589801013916,4.95880682440496e-05
"stateFE28",14.9109987804764,1.7461777388042,8.53922166633942,1.01606570689357e-16
"stateFE29",7.56982771032262,1.64832168375932,4.59244562812409,5.29295537179572e-06
"stateFE32",-5.97688736998589,2.03542746159448,-2.93642857962809,0.00344149100025398
"stateFE33",11.9741188047914,1.73657619607593,6.89524527161481,1.31161625439812e-11
"matched2$AC_type_noSTSC:PropSC",0.0208300982688624,0.060277639652807,0.345569242406332,0.729782003920936
