"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"prohib","-336.7537","106.1156","-3.17346",".0073329","-71.56151","32.31625","-2.214413",".0452819","-407.2852","129.1209","-3.154293",".0076085"
"_IState_2","7.817041","677.9578",".0115303",".9909754","1674.704","667.9415","2.507261",".0262271","429.8977","779.5035",".551502",".5906437"
"_IState_3","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_4","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_5","0",".",".",".","1254.998","833.2139","1.506213",".1559202","0",".",".","."
"_IState_6","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_7","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_8","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_9","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_10","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_11","-1278.688","1211.961","-1.055056",".3106138","1686.924","574.1502","2.938123",".011532","-881.5117","1392.74","-.6329334",".5377523"
"_IState_12","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_13","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_14","-996.8212","1091.163","-.9135406",".3775901","1302.921","605.4842","2.151866",".0507829","-1036.033","1263.41","-.8200293",".4269795"
"_IState_15","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_16","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_17","-1529.114","1084.185","-1.410382",".1819041","1807.064","598.8733","3.017439",".0099012","-978.0179","1258.403","-.7771897",".4509585"
"_IState_18","-1906.455","1951.581","-.9768771",".3464592","1158.575","526.28","2.201442",".0463745","-2198.227","2347.693","-.9363349",".36617"
"_IState_19","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_20","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_21","-2040.441","1592.105","-1.2816",".2223703","1666.487","511.0116","3.261153",".0061938","-1703.944","1861.055","-.91558",".3765584"
"_IState_22","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_23","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_24","-5666.8","3734.233","-1.517527",".1530705","0",".",".",".","-6992.198","4399.206","-1.589423",".1359796"
"_IState_25","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_26","51.02316","547.8795",".0931284",".9272215","1538.635","741.5367","2.074927",".0584069","243.7148","636.3471",".3829903",".7079162"
"_IState_27","-3035.458","1526.142","-1.988974",".0681721","849.7588","497.914","1.706638",".1116476","-3623.121","1789.992","-2.024099",".0640125"
"_IState_28","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_29","178.0287","474.892",".3748826",".7137924","1389.877","710.1514","1.957156",".0721529","287.2085","534.6725",".5371671",".6002262"
"_IState_30","0",".",".",".","0",".",".",".","0",".",".","."
"_IState_31","-2247.985","1411.623","-1.592482",".1352902","1570.502","525.0866","2.990938",".0104189","-2084.391","1663.905","-1.25271",".2323773"
"_IState_32","0",".",".",".","0",".",".",".","0",".",".","."
