"","m1_allapps","","","","m1_DIonly","","","","m1_SSItotal","","","","m1_SSDItotal","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"MAXpost1","-.0072381",".0120541","-.6004633",".5671216",".0034696",".0067864",".5112635",".6248938","-.0107077",".0133308","-.8032294",".4482527","-.0049555",".0183959","-.2693814",".7954039"
"MAXpost2",".0340039",".0160917","2.113129",".0724529",".0468813",".0084487","5.548927",".0008609","-.0128774",".0164263","-.7839532",".4587686",".0483132",".0284897","1.695813",".1337403"
"post1","-.0516567",".0516879","-.9993964",".3508892","-.0210325",".0157708","-1.333639",".2240803","-.0306242",".0365694","-.8374271",".4300129","-.0555165",".0406692","-1.365076",".2144796"
"post2",".052841",".0264374","1.998719",".0857812","-.0265461",".016324","-1.626198",".1479339",".0793871",".0127198","6.24123",".0004278","-.0134134",".0279245","-.4803466",".6456288"
"ue",".0014577",".0298525",".0488289",".9624196",".0098759",".0051784","1.907115",".0981734","-.0084182",".0267221","-.3150294",".7619226",".0075218",".0297425",".2528981",".8076129"
"qnum1","-.1867751",".0369451","-5.05548",".0014708","-.0078326",".0204579","-.3828664",".7131796","-.1789425",".0338435","-5.287352",".0011389","-.1171809",".0376955","-3.108617",".0171143"
"qnum2",".0796858",".0407592","1.955038",".091486",".085967",".017198","4.99867",".0015676","-.0062812",".0314711","-.199587",".8474776",".0611616",".055151","1.108984",".3040783"
"qnum3",".0242277",".0492327",".4921058",".637701",".0686487",".0204995","3.348791",".012271","-.044421",".0404279","-1.09877",".308217",".0329646",".0527672",".6247174",".5519671"
"qnum4","-.0105926",".0667421","-.15871",".8783792",".0176265",".0069072","2.551893",".0379985","-.0282192",".0638343","-.4420691",".6717746","-.0040346",".0574002","-.0702898",".945929"
"qnum5","-.2801289",".0512943","-5.461204",".0009447","-.0747331",".0109736","-6.810265",".0002509","-.2053957",".0600567","-3.42003",".011135","-.210578",".037676","-5.589185",".0008252"
"qnum6",".1576564",".0388671","4.056296",".0048322",".0780825",".0062452","12.50284","4.83e-06",".0795739",".0339532","2.343633",".0515685",".0955291",".0337332","2.831902",".025337"
"qnum7",".0832548",".0261313","3.186016",".0153615",".0665483",".0184513","3.60669",".0086623",".0167065",".0131793","1.26763",".2454667",".0870755",".0221019","3.939733",".0056053"
"qnum8","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"qnum9","-.222159",".0387435","-5.734096",".0007099","-.0664496",".0280301","-2.370651",".0495588","-.1557093",".0159594","-9.756579",".0000252","-.1576742",".0359087","-4.390976",".0031916"
"qnum10",".07022",".0216364","3.245461",".0141458",".0464809",".0134148","3.464904",".0104778",".0237391",".0167422","1.417923",".1991573",".0531022",".0209148","2.538974",".038722"
"qnum11",".0722124",".0271539","2.659371",".0324968",".0424696",".0127247","3.337558",".0124613",".0297428",".0154858","1.920654",".096237",".0658531",".0170076","3.871985",".006116"
"qnum12","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"qnum13","-.3928616",".0249654","-15.73625","1.01e-06","-.1035778",".0154922","-6.685803",".0002811","-.2892838",".0321551","-8.996513",".0000428","-.2553761",".017303","-14.75908","1.57e-06"
"qnum14","-.0357583",".0123138","-2.903919",".0228578",".0236646",".0128654","1.839394",".1084413","-.0594229",".0162221","-3.663091",".0080374",".0031047",".0111691",".2779702",".7890664"
"qnum15","-.0752652",".0154434","-4.873611",".0018068",".0077287",".019221",".4020979",".6996066","-.0829939",".0094518","-8.780763",".0000501","-.0258535",".0152432","-1.696063",".1336917"
"qnum16","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"9001.county","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"9003.county","1.036786",".0279459","37.09978","2.69e-09",".2252735",".0048487","46.46032","5.60e-10",".8115126",".0250039","32.45547","6.82e-09",".7063629",".0278159","25.39424","3.75e-08"
"9005.county",".4136648",".0070717","58.49551","1.12e-10",".4683009",".0012252","382.238","2.21e-16","-.0546361",".0063322","-8.62825",".0000561",".5591106",".0070471","79.33863","1.33e-11"
"9007.county",".1422872",".0046265","30.75495","9.92e-09",".2132734",".0008006","266.3895","2.77e-15","-.0709862",".0041634","-17.05024","5.85e-07",".2683229",".0046648","57.52064","1.26e-10"
"9009.county","1.209546",".0295653","40.91101","1.36e-09",".3476543",".0051296","67.77434","4.00e-11",".8618917",".0264542","32.58048","6.64e-09",".8277919",".0294322","28.12536","1.85e-08"
"9011.county",".8923828",".0057803","154.3839","1.26e-13",".4580289",".0010002","457.9406","6.25e-17",".4343539",".0051585","84.20126","8.77e-12",".911809",".00574","158.8529","1.03e-13"
"9013.county","-.272969",".0046342","-58.90372","1.07e-10",".1238086",".0008028","154.2119","1.27e-13","-.3967776",".0041662","-95.23808","3.71e-12","-.035993",".0046633","-7.718392",".0001145"
"9015.county","1.12146",".0378165","29.65535","1.28e-08",".6475891",".0065622","98.68425","2.89e-12",".473871",".0338231","14.0103","2.24e-06","1.046693",".0376027","27.83559","1.98e-08"
