	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
VARIABLES	allapps	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal
																	
MAXpost1	-0.00724	0.0405	0.00782	0.0327	0.0372	0.0405	0.00782	0.0327	0.0372	0.0405	0.00782	0.0327	0.0372	0.0405	0.00782	0.0327	0.0372
	(0.0121)	(0.0361)	(0.00817)	(0.0300)	(0.0351)	(0.0361)	(0.00817)	(0.0300)	(0.0351)	(0.0361)	(0.00817)	(0.0300)	(0.0351)	(0.0361)	(0.00817)	(0.0300)	(0.0351)
MAXpost2	0.0340*	0.133**	0.0540***	0.0794*	0.137**	0.133**	0.0540***	0.0794*	0.137**	0.133**	0.0540***	0.0794*	0.137**	0.133**	0.0540***	0.0794*	0.137**
	(0.0161)	(0.0393)	(0.0134)	(0.0396)	(0.0458)	(0.0393)	(0.0134)	(0.0396)	(0.0458)	(0.0393)	(0.0134)	(0.0396)	(0.0458)	(0.0393)	(0.0134)	(0.0396)	(0.0458)
post1	-0.0517	-0.0459	-0.0210	-0.0249	-0.0714	-0.0459	-0.0210	-0.0249	-0.0714	-0.0459	-0.0210	-0.0249	-0.0714	-0.0459	-0.0210	-0.0249	-0.0714
	(0.0517)	(0.0710)	(0.0173)	(0.0552)	(0.0527)	(0.0710)	(0.0173)	(0.0552)	(0.0527)	(0.0710)	(0.0173)	(0.0552)	(0.0527)	(0.0710)	(0.0173)	(0.0552)	(0.0527)
post2	0.0528*	0.0920	-0.0118	0.104	-0.0445	0.0920	-0.0118	0.104	-0.0445	0.0920	-0.0118	0.104	-0.0445	0.0920	-0.0118	0.104	-0.0445
	(0.0264)	(0.0543)	(0.00908)	(0.0557)	(0.0509)	(0.0543)	(0.00908)	(0.0557)	(0.0509)	(0.0543)	(0.00908)	(0.0557)	(0.0509)	(0.0543)	(0.00908)	(0.0557)	(0.0509)
ue	0.00146	-0.00240	0.00496	-0.00736	0.0297	-0.00240	0.00496	-0.00736	0.0297	-0.00240	0.00496	-0.00736	0.0297	-0.00240	0.00496	-0.00736	0.0297
	(0.0299)	(0.0701)	(0.0163)	(0.0581)	(0.0603)	(0.0701)	(0.0163)	(0.0581)	(0.0603)	(0.0701)	(0.0163)	(0.0581)	(0.0603)	(0.0701)	(0.0163)	(0.0581)	(0.0603)
