	(1)	(2)	(3)	(4)
VARIABLES	DIonly_mntime	SSItotal_mntime	DIonly_mntime	SSItotal_mntime
				
MAXpost1	1.099***	5.378***	-1.438***	3.733***
	(0.267)	(0.366)	(0.318)	(0.254)
MAXpost2	0.511***	9.199***	-2.098**	6.697***
	(0.134)	(0.695)	(0.586)	(0.487)
post1	-0.890	0.301	-0.00846	0.935
	(0.764)	(1.127)	(0.675)	(0.746)
post2	-1.388*	0.439	0.315	1.519*
	(0.588)	(0.808)	(0.995)	(0.707)
ue	-0.0304	-0.578***	0.0635	-0.302
	(0.116)	(0.0836)	(0.361)	(0.200)
qnum1	1.701*	-0.173	1.904	0.534**
	(0.890)	(0.568)	(1.127)	(0.213)
qnum2	1.713	0.451	1.489**	0.379
	(1.042)	(0.558)	(0.560)	(0.467)
qnum3	0.916	-0.162	1.340**	-0.178
	(0.632)	(0.262)	(0.510)	(0.464)
qnum4	-0.316	-0.383	-0.389	0.0277
	(0.742)	(0.366)	(0.345)	(0.251)
qnum5	0.600	0.0599	1.766**	-0.198
	(1.247)	(0.423)	(0.678)	(0.213)
qnum6	1.362	-0.551	1.061	-0.130
	(1.138)	(0.344)	(0.573)	(0.284)
qnum7	0.387	-0.424	1.081*	-0.0129
	(0.752)	(0.253)	(0.468)	(0.126)
o.qnum8	-	-	-	-
				
qnum9	1.783**	-1.176	1.043*	-1.385
	(0.520)	(1.477)	(0.461)	(1.118)
qnum10	1.739**	-0.807	1.631*	-0.852
	(0.682)	(0.523)	(0.816)	(0.691)
qnum11	1.248***	-0.304	0.496	-0.358
	(0.204)	(0.296)	(0.511)	(0.625)
o.qnum12	-	-	-	-
				
qnum13	1.345**	-0.865*	1.090*	-1.213
	(0.432)	(0.391)	(0.491)	(0.647)
qnum14	1.023**	0.735	0.335	-0.653
	(0.361)	(0.443)	(0.517)	(0.409)
qnum15	1.789***	-0.177	-0.0422	-0.790
	(0.247)	(0.117)	(0.378)	(0.705)
o.qnum16	-	-	-	-
				
