"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"kelurDum",".0015818",".0162296",".0974635",".9226408",".03703",".0206036","1.797257",".0766707"
"urbDum_1996","-.0254168",".0122622","-2.072769",".0419313",".0201586",".0217183",".9281851",".3565472"
"perc_ruralHH_1996","-.0063568",".0046677","-1.361852",".1776744",".0004154",".004946",".0839937",".9333047"
"perc_ruralHH_1996_2",".0001225",".0001522",".8045042",".4238692",".0001127",".0001738",".6482054",".5190034"
"perc_ruralHH_1996_3","-1.01e-06","2.06e-06","-.4888202",".6265191","-2.30e-06","2.43e-06","-.9466806",".3471052"
"perc_ruralHH_1996_4","3.42e-09","9.67e-09",".3536847",".7246536","1.19e-08","1.15e-08","1.038155",".3028225"
"ShareRurLand_1996",".0001233",".0002714",".4542282",".6510902",".0000177",".0002855",".0618767",".9508399"
"altitude_high_1996",".0190707",".0135831","1.404004",".1648028","-.0524754",".0195252","-2.687577",".0090128"
"lpopulation_1996","3.966516",".821634","4.827594","8.00e-06","-4.206413","1.159176","-3.628796",".0005418"
"lpopulation_1996_2","-.7296741",".1542395","-4.730786",".0000115",".7430715",".2079903","3.572625",".0006497"
"lpopulation_1996_3",".0570959",".0125356","4.554691",".000022","-.0559904",".0161207","-3.4732",".0008925"
"lpopulation_1996_4","-.0016152",".0003721","-4.340859",".0000476",".0015269",".0004538","3.364643",".0012548"
"popdensity_1996","-.0019522",".0011559","-1.688893",".0957545","-.0010189",".0021972","-.463726",".6443037"
"dist_kecoffice_2000",".0001528",".0004347",".351497",".7262866",".0003434",".0003758",".9137098",".3640512"
"dist_kab_kotacapital_2000","-.0000694",".0000849","-.8177677",".4163048",".0001259",".0001104","1.141246",".2577131"
"mosqueph_1996",".0183881",".0061236","3.002855",".0037231","-.0270658",".0089078","-3.038446",".0033566"
"prayerhouseph_1996",".0031209",".0010825","2.883034",".0052477","-.0154172",".0036184","-4.260754",".0000633"
