	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)
	OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	PROBIT		PROBIT		PROBIT		PROBIT		OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS	OLS
VARIABLES	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr FE	MFX	GEO	MFX	GEO+REL	MFX	GEO+REL+FAC	MFX	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr No FE	No contr FE	GEO	GEO+REL	GEO+REL+FAC	No contr No FE
																																																		
kelurDum	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0287	0.0095	0.2881***	0.1006***	0.2856***	0.0997***	0.2774***	0.0966***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0739***	0.0065	0.0575***	0.0573***	0.0552***	0.0739***
	(0.028)	(0.012)	(0.012)	(0.012)	(0.012)	(0.054)	(0.018)	(0.056)	(0.021)	(0.055)	(0.020)	(0.055)	(0.020)	(0.028)	(0.012)	(0.012)	(0.012)	(0.012)	(0.054)	(0.018)	(0.056)	(0.021)	(0.055)	(0.020)	(0.055)	(0.020)	(0.028)	(0.012)	(0.012)	(0.012)	(0.012)	(0.054)	(0.018)	(0.056)	(0.021)	(0.055)	(0.020)	(0.055)	(0.020)	(0.028)	(0.012)	(0.012)	(0.012)	(0.012)	(0.028)	(0.012)	(0.012)	(0.012)	(0.012)	(0.028)
urbDum_1996			-0.0206*	-0.0184*	-0.0212*			-0.1428**	.	-0.1353**	.	-0.1474**	.			-0.0206*	-0.0184*	-0.0212*			-0.1428**	.	-0.1353**	.	-0.1474**	.			-0.0206*	-0.0184*	-0.0212*			-0.1428**	.	-0.1353**	.	-0.1474**	.			-0.0206*	-0.0184*	-0.0212*			-0.0206*	-0.0184*	-0.0212*	
			(0.011)	(0.011)	(0.011)			(0.058)	(.)	(0.058)	(.)	(0.058)	(.)			(0.011)	(0.011)	(0.011)			(0.058)	(.)	(0.058)	(.)	(0.058)	(.)			(0.011)	(0.011)	(0.011)			(0.058)	(.)	(0.058)	(.)	(0.058)	(.)			(0.011)	(0.011)	(0.011)			(0.011)	(0.011)	(0.011)	
perc_ruralHH_1996			-0.0036	-0.0033	-0.0030			-0.0179	.	-0.0164	.	-0.0154	.			-0.0036	-0.0033	-0.0030			-0.0179	.	-0.0164	.	-0.0154	.			-0.0036	-0.0033	-0.0030			-0.0179	.	-0.0164	.	-0.0154	.			-0.0036	-0.0033	-0.0030			-0.0036	-0.0033	-0.0030	
			(0.003)	(0.003)	(0.003)			(0.013)	(.)	(0.013)	(.)	(0.012)	(.)			(0.003)	(0.003)	(0.003)			(0.013)	(.)	(0.013)	(.)	(0.012)	(.)			(0.003)	(0.003)	(0.003)			(0.013)	(.)	(0.013)	(.)	(0.012)	(.)			(0.003)	(0.003)	(0.003)			(0.003)	(0.003)	(0.003)	
perc_ruralHH_1996_2			0.0001	0.0001	0.0001			0.0003	.	0.0003	.	0.0003	.			0.0001	0.0001	0.0001			0.0003	.	0.0003	.	0.0003	.			0.0001	0.0001	0.0001			0.0003	.	0.0003	.	0.0003	.			0.0001	0.0001	0.0001			0.0001	0.0001	0.0001	
			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(0.000)	(0.000)	
perc_ruralHH_1996_3			-0.0000	-0.0000	-0.0000			-0.0000	.	-0.0000	.	-0.0000	.			-0.0000	-0.0000	-0.0000			-0.0000	.	-0.0000	.	-0.0000	.			-0.0000	-0.0000	-0.0000			-0.0000	.	-0.0000	.	-0.0000	.			-0.0000	-0.0000	-0.0000			-0.0000	-0.0000	-0.0000	
			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(0.000)	(0.000)	
perc_ruralHH_1996_4			0.0000	0.0000	0.0000			0.0000	.	0.0000	.	0.0000	.			0.0000	0.0000	0.0000			0.0000	.	0.0000	.	0.0000	.			0.0000	0.0000	0.0000			0.0000	.	0.0000	.	0.0000	.			0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	
			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(.)	(0.000)	(.)	(0.000)	(.)			(0.000)	(0.000)	(0.000)			(0.000)	(0.000)	(0.000)	
ShareRurLand_1996			0.0003	0.0003	0.0003			0.0010	.	0.0010	.	0.0010	.			0.0003	0.0003	0.0003			0.0010	.	0.0010	.	0.0010	.			0.0003	0.0003	0.0003			0.0010	.	0.0010	.	0.0010	.			0.0003	0.0003	0.0003			0.0003	0.0003	0.0003	
