	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst
VARIABLES	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won
																								
kelurDum	0.0552***	0.0016	0.0764**	0.1277***	0.0441**	0.0677*	-0.0208	0.0370*	-0.0370	-0.0870*	-0.0241	-0.0036	0.0552***	0.0016	0.0764**	0.1277***	0.0441**	0.0677*	-0.0208	0.0370*	-0.0370	-0.0870*	-0.0241	-0.0036
	(0.012)	(0.016)	(0.029)	(0.037)	(0.018)	(0.038)	(0.014)	(0.021)	(0.045)	(0.043)	(0.015)	(0.045)	(0.012)	(0.016)	(0.029)	(0.037)	(0.018)	(0.038)	(0.014)	(0.021)	(0.045)	(0.043)	(0.015)	(0.045)
urbDum_1996	-0.0212*	-0.0254**	-0.0036	-0.0551	0.0063	0.0048	0.0379***	0.0202	0.0511*	0.0378	-0.0201	0.0603**	-0.0212*	-0.0254**	-0.0036	-0.0551	0.0063	0.0048	0.0379***	0.0202	0.0511*	0.0378	-0.0201	0.0603**
	(0.011)	(0.012)	(0.025)	(0.047)	(0.043)	(0.020)	(0.014)	(0.022)	(0.025)	(0.044)	(0.031)	(0.029)	(0.011)	(0.012)	(0.025)	(0.047)	(0.043)	(0.020)	(0.014)	(0.022)	(0.025)	(0.044)	(0.031)	(0.029)
perc_ruralHH_1996	-0.0030	-0.0064	-0.0020	0.0019	-0.0099**	-0.0039	-0.0009	0.0004	0.0000	0.0072	0.0084*	-0.0132*	-0.0030	-0.0064	-0.0020	0.0019	-0.0099**	-0.0039	-0.0009	0.0004	0.0000	0.0072	0.0084*	-0.0132*
	(0.003)	(0.005)	(0.004)	(0.009)	(0.005)	(0.003)	(0.003)	(0.005)	(0.006)	(0.007)	(0.005)	(0.007)	(0.003)	(0.005)	(0.004)	(0.009)	(0.005)	(0.003)	(0.003)	(0.005)	(0.006)	(0.007)	(0.005)	(0.007)
perc_ruralHH_1996_2	0.0001	0.0001	0.0001	-0.0001	0.0003*	0.0001	0.0000	0.0001	-0.0000	-0.0003	-0.0003*	0.0005*	0.0001	0.0001	0.0001	-0.0001	0.0003*	0.0001	0.0000	0.0001	-0.0000	-0.0003	-0.0003*	0.0005*
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
perc_ruralHH_1996_3	-0.0000	-0.0000	-0.0000	0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	0.0000	0.0000*	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	-0.0000	-0.0000	-0.0000	-0.0000	0.0000	0.0000	0.0000*	-0.0000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
perc_ruralHH_1996_4	0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	-0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	-0.0000	-0.0000	0.0000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
ShareRurLand_1996	0.0003	0.0001	0.0005**	0.0007	-0.0002	0.0006	-0.0001	0.0000	-0.0006	-0.0000	-0.0001	0.0004	0.0003	0.0001	0.0005**	0.0007	-0.0002	0.0006	-0.0001	0.0000	-0.0006	-0.0000	-0.0001	0.0004
	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)
altitude_high_1996	0.0276***	0.0191	0.0461*	0.0402	0.0074	0.0530	-0.0151	-0.0525***	-0.0152	0.0343	0.0029	-0.0114	0.0276***	0.0191	0.0461*	0.0402	0.0074	0.0530	-0.0151	-0.0525***	-0.0152	0.0343	0.0029	-0.0114
	(0.011)	(0.014)	(0.027)	(0.032)	(0.021)	(0.032)	(0.011)	(0.020)	(0.027)	(0.024)	(0.021)	(0.015)	(0.011)	(0.014)	(0.027)	(0.032)	(0.021)	(0.032)	(0.011)	(0.020)	(0.027)	(0.024)	(0.021)	(0.015)
lpopulation_1996	0.4584	3.9665***	-0.9333	1.6169*	-0.1946	0.4394	-1.2865***	-4.2064***	0.0255	0.0447	0.0754	-0.3228	0.4584	3.9665***	-0.9333	1.6169*	-0.1946	0.4394	-1.2865***	-4.2064***	0.0255	0.0447	0.0754	-0.3228
	(0.420)	(0.822)	(1.667)	(0.826)	(1.023)	(0.961)	(0.468)	(1.159)	(1.789)	(0.923)	(0.716)	(0.969)	(0.420)	(0.822)	(1.667)	(0.826)	(1.023)	(0.961)	(0.468)	(1.159)	(1.789)	(0.923)	(0.716)	(0.969)
lpopulation_1996_2	-0.0766	-0.7297***	0.2629	-0.3474*	0.0839	-0.0809	0.2037**	0.7431***	-0.0610	-0.0548	-0.0465	0.0365	-0.0766	-0.7297***	0.2629	-0.3474*	0.0839	-0.0809	0.2037**	0.7431***	-0.0610	-0.0548	-0.0465	0.0365
	(0.083)	(0.154)	(0.327)	(0.183)	(0.204)	(0.200)	(0.095)	(0.208)	(0.358)	(0.194)	(0.151)	(0.196)	(0.083)	(0.154)	(0.327)	(0.183)	(0.204)	(0.200)	(0.095)	(0.208)	(0.358)	(0.194)	(0.151)	(0.196)
lpopulation_1996_3	0.0045	0.0571***	-0.0295	0.0298*	-0.0107	0.0057	-0.0132	-0.0560***	0.0106	0.0087	0.0066	-0.0018	0.0045	0.0571***	-0.0295	0.0298*	-0.0107	0.0057	-0.0132	-0.0560***	0.0106	0.0087	0.0066	-0.0018
	(0.007)	(0.013)	(0.028)	(0.017)	(0.017)	(0.018)	(0.008)	(0.016)	(0.031)	(0.017)	(0.013)	(0.017)	(0.007)	(0.013)	(0.028)	(0.017)	(0.017)	(0.018)	(0.008)	(0.016)	(0.031)	(0.017)	(0.013)	(0.017)
lpopulation_1996_4	-0.0001	-0.0016***	0.0011	-0.0009	0.0004	-0.0001	0.0003	0.0015***	-0.0005	-0.0004	-0.0003	0.0001	-0.0001	-0.0016***	0.0011	-0.0009	0.0004	-0.0001	0.0003	0.0015***	-0.0005	-0.0004	-0.0003	0.0001
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)	(0.001)	(0.001)	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)	(0.001)	(0.001)	(0.000)	(0.001)
popdensity_1996	-0.0010	-0.0020*	-0.0076**	0.0009	-0.0003	0.0007	-0.0016	-0.0010	-0.0008	-0.0012	-0.0008	-0.0040*	-0.0010	-0.0020*	-0.0076**	0.0009	-0.0003	0.0007	-0.0016	-0.0010	-0.0008	-0.0012	-0.0008	-0.0040*
	(0.001)	(0.001)	(0.003)	(0.002)	(0.007)	(0.002)	(0.001)	(0.002)	(0.006)	(0.002)	(0.007)	(0.002)	(0.001)	(0.001)	(0.003)	(0.002)	(0.007)	(0.002)	(0.001)	(0.002)	(0.006)	(0.002)	(0.007)	(0.002)
dist_kecoffice_2000	0.0002	0.0002	0.0006***	-0.0002	-0.0006**	0.0008	0.0000	0.0003	-0.0003***	0.0003	0.0005*	-0.0002	0.0002	0.0002	0.0006***	-0.0002	-0.0006**	0.0008	0.0000	0.0003	-0.0003***	0.0003	0.0005*	-0.0002
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
dist_kab_kotacapital_2000	0.0000	-0.0001	-0.0002***	0.0004*	0.0001	0.0007***	-0.0001	0.0001	0.0002***	-0.0005**	-0.0001**	-0.0006**	0.0000	-0.0001	-0.0002***	0.0004*	0.0001	0.0007***	-0.0001	0.0001	0.0002***	-0.0005**	-0.0001**	-0.0006**
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
mosqueph_1996	0.0173***	0.0184***	0.0327***	0.0108**	0.0197***	-0.0031	-0.0168***	-0.0271***	-0.0366***	-0.0040	-0.0179***	-0.0136	0.0173***	0.0184***	0.0327***	0.0108**	0.0197***	-0.0031	-0.0168***	-0.0271***	-0.0366***	-0.0040	-0.0179***	-0.0136
	(0.003)	(0.006)	(0.006)	(0.005)	(0.006)	(0.010)	(0.005)	(0.009)	(0.008)	(0.003)	(0.005)	(0.009)	(0.003)	(0.006)	(0.006)	(0.005)	(0.006)	(0.010)	(0.005)	(0.009)	(0.008)	(0.003)	(0.005)	(0.009)
prayerhouseph_1996	-0.0006	0.0031***	-0.0057**	0.0011	-0.0067	-0.0056*	-0.0107***	-0.0154***	-0.0187***	-0.0017	0.0015	-0.0095***	-0.0006	0.0031***	-0.0057**	0.0011	-0.0067	-0.0056*	-0.0107***	-0.0154***	-0.0187***	-0.0017	0.0015	-0.0095***
	(0.001)	(0.001)	(0.002)	(0.002)	(0.007)	(0.003)	(0.002)	(0.004)	(0.006)	(0.001)	(0.007)	(0.002)	(0.001)	(0.001)	(0.002)	(0.002)	(0.007)	(0.003)	(0.002)	(0.004)	(0.006)	(0.001)	(0.007)	(0.002)
churchesph_1996	-0.0118**	-0.0150	0.0003	-0.0126	-0.0123*	-0.0115	0.0170***	0.0268*	0.0084	0.0151**	0.0118**	0.1011**	-0.0118**	-0.0150	0.0003	-0.0126	-0.0123*	-0.0115	0.0170***	0.0268*	0.0084	0.0151**	0.0118**	0.1011**
