"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"0.post92","0",".",".",".","0",".",".",".","0",".",".","."
"1.post92","-.0051466",".0028113","-1.830682",".0708257",".0006113",".0029925",".2042854",".8386429","-.0050212",".0047883","-1.048623",".2974703"
"num_dev","0",".",".",".","0",".",".",".","0",".",".","."
"0.post92#c.num_dev","0",".",".",".","0",".",".",".","0",".",".","."
"1.post92#c.num_dev",".0119506",".003068","3.895243",".0002008",".0057063",".0033955","1.68053",".096707",".0177702",".0070786","2.510418",".0140493"
"1986.year","0",".",".",".","0",".",".",".","0",".",".","."
"1990.year",".0004242",".0009059",".4682541",".6408605",".0192357",".0022329","8.614565","4.60e-13",".0311644",".0040928","7.614463","4.30e-11"
"1993.year",".0013144",".0013418",".9795556",".3302222",".03442",".0034238","10.05315","6.68e-16",".0548091",".0070723","7.74985","2.33e-11"
"1996.year",".020571",".0022345","9.206131","3.11e-14",".0471602",".0043031","10.95949","1.15e-17",".0672851",".0087009","7.733098","2.52e-11"
"2000.year",".0323414",".0039337","8.221535","2.75e-12",".0603783",".0060668","9.952194","1.05e-15","","","",""
"2003.year",".0869126",".0071215","12.20419","4.85e-20",".1080007",".0078647","13.73233","7.46e-23","","","",""
"lpopulation",".0492361",".0151049","3.259609",".0016324",".0613026",".0276625","2.216093",".0294905",".0153688",".0154924",".9920211",".3241415"
"_cons","-.3127229",".1192896","-2.621544",".0104523","-.4086352",".217928","-1.875093",".0643838",".6142454",".122738","5.004523","3.20e-06"
"N","59130","","","","59130","","","","39420","","",""
"r2",".8368015","","","",".820488","","","",".9225078","","",""
"df_m","8","","","","8","","","","6","","",""
"df_r","81","","","","81","","","","81","","",""
"df_b","","","","","","","","","","","",""
"df","","","","","","","","","","","",""
