	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	lpopulation_chg	lpopulation_chg	lpopulation_chg	percrurHH_chg	percrurHH_chg	percrurHH_chg	daerah_chg	daerah_chg	daerah_chg	share_land_agr_chg	share_land_agr_chg	share_land_agr_chg	num_doctors_chg	num_doctors_chg	num_doctors_chg	num_puskesmas_chg	num_puskesmas_chg	num_puskesmas_chg	num_posyandu_chg	num_posyandu_chg	num_posyandu_chg	safedrink1_chg	safedrink1_chg	safedrink1_chg	criland_dum_chg	criland_dum_chg	criland_dum_chg	garbage_bin_chg	garbage_bin_chg	garbage_bin_chg	hardroad_chg	hardroad_chg	hardroad_chg	pedati_chg	pedati_chg	pedati_chg	num_pri_chg	num_pri_chg	num_pri_chg	num_ju_chg	num_ju_chg	num_ju_chg	dum_KUD_chg	dum_KUD_chg	dum_KUD_chg	dum_otrocop_chg	dum_otrocop_chg	dum_otrocop_chg	dum_groupshop_chg	dum_groupshop_chg	dum_groupshop_chg	churches_chg	churches_chg	churches_chg	mosque_chg	mosque_chg	mosque_chg	num_mktper_chg	num_mktper_chg	num_mktper_chg	num_bank_chg	num_bank_chg	num_bank_chg
																																																															
regr	-1.905	-0.016		0.008	0.002		-0.013	-0.007		0.021	0.003		-0.057	-0.018		0.046	0.003		0.011	0.004		0.080	0.019		0.005	0.003		-0.010	-0.006		0.001	0.001		-0.023**	-0.020		-0.053	-0.006		-0.023	-0.010		-0.023	-0.009		-0.032**	-0.024		0.003	0.001		-0.075	-0.018		0.047	0.014		-0.029	-0.007		-0.056*	-0.026	
	(1.603)			(0.059)			(0.020)			(0.094)			(0.038)			(0.172)			(0.027)			(0.051)			(0.017)			(0.019)			(0.016)			(0.009)			(0.092)			(0.022)			(0.029)			(0.014)			(0.025)			(0.048)			(0.030)			(0.046)			(0.029)		
regr_sd			-0.016			0.002			-0.007			0.003			-0.018			0.003			0.004			0.019			0.003			-0.006			0.001			-0.020**			-0.006			-0.010			-0.009			-0.024**			0.001			-0.018			0.014			-0.007			-0.026*
			(0.013)			(0.012)			(0.010)			(0.012)			(0.012)			(0.011)			(0.011)			(0.012)			(0.010)			(0.013)			(0.011)			(0.008)			(0.011)			(0.009)			(0.011)			(0.011)			(0.011)			(0.012)			(0.009)			(0.011)			(0.014)
Constant	1,997.380***	.	-0.000	1,997.371***	.	-0.000	1,997.374***	.	-0.000	1,997.372***	.	0.000	1,997.377***	.	-0.000	1,997.370***	.	-0.000	1,997.374***	.	0.002	1,997.366***	.	-0.000	1,997.370***	.	-0.000	1,997.370***	.	-0.000	1,997.370***	.	-0.000	1,997.366***	.	-0.000	1,997.374***	.	-0.000	1,997.375***	.	-0.000	1,997.370***	.	-0.000	1,997.365***	.	-0.000	1,997.371***	.	-0.000	1,997.375***	.	-0.000	1,997.362***	.	-0.000	1,997.373***	.	0.000	1,997.384***	.	-0.000
	(0.087)		(0.041)	(0.088)		(0.041)	(0.089)		(0.041)	(0.088)		(0.041)	(0.088)		(0.041)	(0.088)		(0.041)	(0.088)		(0.041)	(0.087)		(0.041)	(0.088)		(0.041)	(0.088)		(0.041)	(0.091)		(0.041)	(0.088)		(0.041)	(0.086)		(0.041)	(0.087)		(0.041)	(0.088)		(0.041)	(0.089)		(0.041)	(0.088)		(0.041)	(0.088)		(0.041)	(0.090)		(0.041)	(0.088)		(0.041)	(0.089)		(0.041)
																																																															
Observations	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,741	9,741	9,741	9,851	9,851	9,851	9,854	9,854	9,854	9,703	9,703	9,703	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,855	9,851	9,851	9,851	9,855	9,855	9,855	9,852	9,852	9,852	9,855	9,855	9,855
R-squared	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.001
Pval		0.118	0.238		0.873	0.893		0.517	0.523		0.793	0.827		0.0677	0.137		0.766	0.790		0.663	0.687		0.0603	0.122		0.756	0.748		0.524	0.620		0.931	0.937		0.0463	0.0166		0.537	0.568		0.343	0.301		0.371	0.416		0.0183	0.0264		0.900	0.904		0.0695	0.123		0.159	0.125		0.472	0.528		0.00856	0.0547
Robust standard errors in parentheses																																																															
*** p<0.01, ** p<0.05, * p<0.1																																																															
