	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF	RF
VARIABLES	dum	dum	dum	dum	doc	doc	doc	doc	safe	safe	safe	safe	pos	pos	pos	pos	garb	garb	garb	garb
																				
1.post92	-0.005*	-0.005*	-0.016***	-0.017***	0.001	0.001	-0.006	-0.006	-0.003	-0.005	-0.017**	-0.017**	-0.080	-0.083	-0.168**	-0.170**	0.003	0.003	-0.004	-0.005
	(0.003)	(0.003)	(0.004)	(0.004)	(0.003)	(0.003)	(0.005)	(0.005)	(0.005)	(0.005)	(0.007)	(0.007)	(0.072)	(0.073)	(0.083)	(0.084)	(0.004)	(0.004)	(0.006)	(0.006)
1.post92#c.num_dev		0.012***				0.006*				0.018**				0.111				0.013**		
		(0.003)				(0.003)				(0.007)				(0.082)				(0.006)		
1.post92#1.inp_pos			0.017***				0.010*				0.019**				0.127*				0.010	
			(0.004)				(0.005)				(0.009)				(0.066)				(0.009)	
1.post92#1.num_PSINPRES1980				0.013***				0.009*				0.010				0.081*				0.003
				(0.005)				(0.005)				(0.009)				(0.048)				(0.009)
1.post92#2.num_PSINPRES1980				0.024***				0.011				0.036**				0.228				0.027**
				(0.006)				(0.007)				(0.014)				(0.181)				(0.012)
																				
Observations	59,130	59,130	59,130	59,130	59,130	59,130	59,130	59,130	39,420	39,420	39,420	39,420	38,748	38,748	38,748	38,748	59,130	59,130	59,130	59,130
R-squared	0.836	0.837	0.837	0.837	0.820	0.820	0.820	0.820	0.922	0.923	0.922	0.923	0.709	0.709	0.709	0.709	0.718	0.718	0.718	0.718
DepVar Mean	0.0993	0.0993	0.0993	0.0993	0.123	0.123	0.123	0.123	0.774	0.774	0.774	0.774	4.077	4.077	4.077	4.077	0.908	0.908	0.908	0.908
DepVar Mean86	0.0737	0.0737	0.0737	0.0737	0.0725	0.0725	0.0725	0.0725	0.735	0.735	0.735	0.735	3.834	3.834	3.834	3.834	0.819	0.819	0.819	0.819
Robust standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
