"","est1","","","","est2","","",""
"","b","se","t","p","b","se","t","p"
"urplus","72.98975","14.28758","5.108614","3.76e-07",".1153769","1.664292",".0693249",".9447422"
"urminus","61.42839","16.03859","3.830036",".0001346","-2.012346","1.852957","-1.086019",".2776828"
"prisrat","-257427.7","42178.49","-6.103294","1.39e-09","-3962.508","3919.739","-1.010911",".3122572"
"perwhite","-1037.315","463.5016","-2.237996",".0253993","-115.2858","36.95638","-3.11951",".0018535"
"perblack","706.3269","827.3399",".8537324",".3934191","-74.82149","90.95219","-.8226463",".4108682"
"perhisp","-2809.708","1311.221","-2.142817",".0323231","-19.20493","133.4118","-.1439522",".8855617"
"perpopurban","-592.5429","1221.002","-.4852925",".6275551","99.20168","151.7504",".6537159",".5134167"
"beerrat","-17.77159","21.95358","-.8095075",".4183795","-.2545461","2.131127","-.119442",".9049446"
"ppop15_19","229.8217","49.56157","4.637095","3.91e-06","20.00858","6.632898","3.016567",".0026089"
"ppop20_24","-26.12036","41.76166","-.6254627",".5317831","8.834646","5.578778","1.583617",".1135374"
"ppop25_34","179.6978","26.26115","6.842727","1.22e-11","17.81867","2.572425","6.926799","6.91e-12"
"ppop35_44","-200.9462","48.00729","-4.185743",".0000304","-34.06525","5.319112","-6.404311","2.14e-10"
"ppop45_54","105.3095","52.9534","1.988721",".0469527","1.609077","5.299429",".3036321",".7614594"
"_Istate_2","0",".",".",".","0",".",".","."
"_Istate_4","133849.5","30912.39","4.329965",".0000161","5187.36","3060.297","1.695051",".0903182"
"_Istate_5","0",".",".",".","0",".",".","."
"_Istate_6","304417.1","36233.76","8.401476","1.20e-16","20629.97","3205.98","6.434842","1.77e-10"
"_Istate_8","277860.6","26014.86","10.68084","1.57e-25","5905.253","2564.206","2.302956",".0214471"
"_Istate_9","194839.5","27060.07","7.200258","1.04e-12","7242.526","3026.741","2.392846",".0168671"
"_Istate_10","0",".",".",".","0",".",".","."
"_Istate_11","0",".",".",".","0",".",".","."
"_Istate_12","243228.6","37910","6.415948","1.99e-10","15047.03","3376.555","4.456327","9.10e-06"
"_Istate_13","0",".",".",".","0",".",".","."
"_Istate_15","0",".",".",".","0",".",".","."
"_Istate_16","160935","34833.29","4.620149","4.24e-06","9338.164","3907.241","2.389963",".0169995"
"_Istate_17","199351.4","25411.22","7.845014","9.33e-15","15528.08","2648.173","5.863696","5.81e-09"
"_Istate_18","0",".",".",".","0",".",".","."
"_Istate_19","0",".",".",".","0",".",".","."
"_Istate_20","141258.1","25481.55","5.543543","3.62e-08","3329.829","2663.39","1.250222",".2114557"
"_Istate_21","0",".",".",".","0",".",".","."
"_Istate_22","0",".",".",".","0",".",".","."
"_Istate_23","211444","24678.16","8.568062","3.10e-17","-3145.699","2550.454","-1.233388",".2176662"
"_Istate_24","167490.6","30552.46","5.482065","5.09e-08","8940.811","3104.248","2.880186",".0040431"
"_Istate_25","308064.7","34334.2","8.972531","1.05e-18","9380.054","3571.189","2.626591",".0087314"
"_Istate_26","0",".",".",".","0",".",".","."
"_Istate_27","170866.3","26682.6","6.403658","2.15e-10","-2236.914","2662.977","-.8400052",".4010683"
"_Istate_28","0",".",".",".","0",".",".","."
"_Istate_29","59854.59","21747.06","2.752307",".0060045","8935.394","2175.694","4.106917",".0000427"
"_Istate_30","156541","28360.74","5.519638","4.14e-08","1922.436","2795.459",".6876996",".4917713"
"_Istate_31","0",".",".",".","0",".",".","."
"_Istate_32","0",".",".",".","0",".",".","."
"_Istate_33","0",".",".",".","0",".",".","."
"_Istate_34","275699.7","27496.51","10.02671","8.45e-23","12931.98","2916.983","4.433342",".0000101"
"_Istate_35","0",".",".",".","0",".",".","."
"_Istate_36","359889","29738.9","12.10163","6.17e-32","41342.17","3694.905","11.18897","9.52e-28"
"_Istate_37","17266.08","30468.24",".5666912",".5710271","-3668.614","3886.363","-.943971",".3453694"
"_Istate_38","113298.7","25660.41","4.415311",".000011","-684.6974","3106.257","-.2204252",".8255765"
"_Istate_39","0",".",".",".","0",".",".","."
"_Istate_40","0",".",".",".","0",".",".","."
"_Istate_41","217343.7","36580.76","5.941475","3.67e-09","16763.46","4541.288","3.691344",".0002328"
"_Istate_42","87725.14","29803.1","2.94349",".0033061","1552.349","3074.571",".5048996",".6137196"
"_Istate_44","0",".",".",".","0",".",".","."
"_Istate_45","0",".",".",".","0",".",".","."
"_Istate_46","93084.57","22776.11","4.08694",".0000465","-1646.715","2847.466","-.578309",".5631611"
"_Istate_47","0",".",".",".","0",".",".","."
"_Istate_48","87792.29","30042.96","2.922225",".0035388","6301.185","2721.576","2.31527",".0207616"
"_Istate_49","206279","33305.53","6.193537","8.00e-10","13019.92","3498.243","3.721847",".0002067"
"_Istate_50","0",".",".",".","0",".",".","."
"_Istate_51","141022.1","23388.06","6.029663","2.17e-09","3588.987","2631.022","1.364104",".1727839"
"_Istate_53","0",".",".",".","0",".",".","."
"_Istate_54","0",".",".",".","0",".",".","."
"_Istate_55","0",".",".",".","0",".",".","."
"_Istate_56","159924.3","30321.68","5.274256","1.57e-07","3100.803","3204.232",".9677213",".3333734"
"_Iyear_1979","345.2661","97.17674","3.552971",".0003953","21.73801","14.7982","1.468963",".1420979"
"_Iyear_1980","582.3378","98.72892","5.898351","4.74e-09","48.46978","14.84012","3.266131",".0011203"
"_Iyear_1981","511.818","108.1053","4.734438","2.45e-06","53.50135","16.79316","3.185901",".0014792"
"_Iyear_1982","305.2682","136.0514","2.243771",".025024","48.40877","20.13908","2.403723",".016376"
"_Iyear_1983","74.07142","162.1463",".4568185",".647882","47.77594","22.78743","2.096592",".0362331"
"_Iyear_1984","195.4973","157.7797","1.239052",".2155619","53.5658","22.18933","2.414034",".0159219"
"_Iyear_1985","426.0114","157.9076","2.697852",".0070741","60.87648","22.30519","2.729251",".0064381"
"_Iyear_1986","703.0238","172.6303","4.072424",".0000495","86.06707","23.57365","3.650986",".0002722"
"_Iyear_1987","906.675","185.4898","4.888004","1.15e-06","84.3647","23.99707","3.515624",".0004546"
"_Iyear_1988","1085.031","188.9618","5.742067","1.18e-08","98.85991","23.98507","4.121728",".0000401"
"_Iyear_1989","1267.743","184.2506","6.88054","9.46e-12","121.2775","24.71596","4.906851","1.05e-06"
"_Iyear_1990","1367.397","197.4087","6.926731","6.92e-12","158.9019","28.30621","5.613676","2.44e-08"
"_Iyear_1991","1488.549","200.6685","7.417953","2.21e-13","192.147","29.44685","6.525215","9.89e-11"
"_Iyear_1992","1249.636","190.7798","6.550146","8.42e-11","189.6722","28.01694","6.769914","1.99e-11"
"_Iyear_1993","1227.376","192.8653","6.363903","2.77e-10","195.5161","26.6438","7.338147","3.92e-13"
"_Iyear_1994","1298.801","183.8916","7.06286","2.72e-12","181.7501","23.54865","7.718067","2.43e-14"
"_Iyear_1995","1313.15","172.5038","7.612295","5.33e-14","165.7425","21.29964","7.78147","1.51e-14"
"_Iyear_1996","1168.423","169.7766","6.882116","9.36e-12","143.93","20.28875","7.09408","2.19e-12"
