"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"local_pct",".0025006",".001213","2.061521",".0395219","-.0037682",".0014972","-2.516789",".0122793",".0025006",".001213","2.061521",".0395219","-.0037682",".0014972","-2.516789",".0122793",".0025006",".001213","2.061521",".0395219","-.0037682",".0014972","-2.516789",".0122793"
"ln_tuition2",".0239928",".0071812","3.341071",".0008667","-.0111603",".019146","-.582907",".5603229",".0239928",".0071812","3.341071",".0008667","-.0111603",".019146","-.582907",".5603229",".0239928",".0071812","3.341071",".0008667","-.0111603",".019146","-.582907",".5603229"
"ln_fteug",".5053547",".0735546","6.870472","1.15e-11",".4850795",".0460595","10.53157","8.98e-23",".5053547",".0735546","6.870472","1.15e-11",".4850795",".0460595","10.53157","8.98e-23",".5053547",".0735546","6.870472","1.15e-11",".4850795",".0460595","10.53157","8.98e-23"
"ln_instruct_fte",".4005409",".0722033","5.547405","3.75e-08",".3411788",".0353725","9.645322","1.01e-19",".4005409",".0722033","5.547405","3.75e-08",".3411788",".0353725","9.645322","1.01e-19",".4005409",".0722033","5.547405","3.75e-08",".3411788",".0353725","9.645322","1.01e-19"
"ln_stinccap",".3570172",".0967067","3.691754",".0002352",".0438258",".1736502",".2523799",".8008923",".3570172",".0967067","3.691754",".0002352",".0438258",".1736502",".2523799",".8008923",".3570172",".0967067","3.691754",".0002352",".0438258",".1736502",".2523799",".8008923"
"stunemprate",".0005361",".0026845",".1997049",".8417536",".0026003",".0046593",".5580916",".5771307",".0005361",".0026845",".1997049",".8417536",".0026003",".0046593",".5580916",".5771307",".0005361",".0026845",".1997049",".8417536",".0026003",".0046593",".5580916",".5771307"
"stbaabove_p","-.001203",".0015562","-.77303",".4396947","-.0050092",".0032615","-1.535871",".1254533","-.001203",".0015562","-.77303",".4396947","-.0050092",".0032615","-1.535871",".1254533","-.001203",".0015562","-.77303",".4396947","-.0050092",".0032615","-1.535871",".1254533"
"ln_stcollage2","-.0191041",".018497","-1.03282",".3019479","-.0233943",".0302661","-.7729546",".4400593","-.0191041",".018497","-1.03282",".3019479","-.0233943",".0302661","-.7729546",".4400593","-.0191041",".018497","-1.03282",".3019479","-.0233943",".0302661","-.7729546",".4400593"
"stcoll2_black_p",".000225",".0004464",".5039754",".6143942","-.0005116",".0008009","-.6387697",".5233812",".000225",".0004464",".5039754",".6143942","-.0005116",".0008009","-.6387697",".5233812",".000225",".0004464",".5039754",".6143942","-.0005116",".0008009","-.6387697",".5233812"
"stcoll2_hisp_p",".0003219",".0005926",".5431983",".5871192","-.0000355",".000901","-.0393947",".9685977",".0003219",".0005926",".5431983",".5871192","-.0000355",".000901","-.0393947",".9685977",".0003219",".0005926",".5431983",".5871192","-.0000355",".000901","-.0393947",".9685977"
"stcoll2_amind_p",".0002247",".0001239","1.814118",".0699713",".0000771",".000238",".32415",".7460138",".0002247",".0001239","1.814118",".0699713",".0000771",".000238",".32415",".7460138",".0002247",".0001239","1.814118",".0699713",".0000771",".000238",".32415",".7460138"
"_cons","6.339394","1.196956","5.296261","1.47e-07","10.66886","2.073639","5.144993","4.42e-07","6.339394","1.196956","5.296261","1.47e-07","10.66886","2.073639","5.144993","4.42e-07","6.339394","1.196956","5.296261","1.47e-07","10.66886","2.073639","5.144993","4.42e-07"
"N","16483","","","","3529","","","","16483","","","","3529","","","","16483","","","","3529","","",""
"r2",".9721557","","","",".9747649","","","",".9721557","","","",".9747649","","","",".9721557","","","",".9747649","","",""
"df_m","11","","","","11","","","","11","","","","11","","","","11","","","","11","","",""
"df_r","961","","","","358","","","","961","","","","358","","","","961","","","","358","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","",""
