	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
local_pct	201,027.273	219,953.800	0.010***	0.010***	153.556**	142.602**	0.011***	0.010***	0.201	0.220	0.010***	0.010***	201,027.273	219,953.800	0.010***	0.010***	153.556**	142.602**	0.011***	0.010***	0.201	0.220	0.010***	0.010***	201,027.273	219,953.800	0.010***	0.010***	153.556**	142.602**	0.011***	0.010***	0.201	0.220	0.010***	0.010***	201,027.273	219,953.800	0.010***	0.010***	153.556**	142.602**	0.011***	0.010***	0.201	0.220	0.010***	0.010***	201,027.273	219,953.800	0.010***	0.010***	153.556**	142.602**	0.011***	0.010***	0.201	0.220	0.010***	0.010***	201,027.273	219,953.800	0.010***	0.010***	153.556**	142.602**	0.011***	0.010***	0.201	0.220	0.010***	0.010***	201,027.273	219,953.800	0.010***	0.010***	153.556**	142.602**	0.011***	0.010***	0.201	0.220	0.010***	0.010***
	(152,803.738)	(170,044.456)	(0.002)	(0.002)	(55.973)	(52.623)	(0.002)	(0.002)	(0.153)	(0.170)	(0.002)	(0.002)	(152,803.738)	(170,044.456)	(0.002)	(0.002)	(55.973)	(52.623)	(0.002)	(0.002)	(0.153)	(0.170)	(0.002)	(0.002)	(152,803.738)	(170,044.456)	(0.002)	(0.002)	(55.973)	(52.623)	(0.002)	(0.002)	(0.153)	(0.170)	(0.002)	(0.002)	(152,803.738)	(170,044.456)	(0.002)	(0.002)	(55.973)	(52.623)	(0.002)	(0.002)	(0.153)	(0.170)	(0.002)	(0.002)	(152,803.738)	(170,044.456)	(0.002)	(0.002)	(55.973)	(52.623)	(0.002)	(0.002)	(0.153)	(0.170)	(0.002)	(0.002)	(152,803.738)	(170,044.456)	(0.002)	(0.002)	(55.973)	(52.623)	(0.002)	(0.002)	(0.153)	(0.170)	(0.002)	(0.002)	(152,803.738)	(170,044.456)	(0.002)	(0.002)	(55.973)	(52.623)	(0.002)	(0.002)	(0.153)	(0.170)	(0.002)	(0.002)
ln_tuition2		-5152482.126		0.047		-284.974		0.047		-5.152		0.047		-5152482.126		0.047		-284.974		0.047		-5.152		0.047		-5152482.126		0.047		-284.974		0.047		-5.152		0.047		-5152482.126		0.047		-284.974		0.047		-5.152		0.047		-5152482.126		0.047		-284.974		0.047		-5.152		0.047		-5152482.126		0.047		-284.974		0.047		-5.152		0.047		-5152482.126		0.047		-284.974		0.047		-5.152		0.047
		(9120877.954)		(0.032)		(759.656)		(0.032)		(9.121)		(0.032)		(9120877.954)		(0.032)		(759.656)		(0.032)		(9.121)		(0.032)		(9120877.954)		(0.032)		(759.656)		(0.032)		(9.121)		(0.032)		(9120877.954)		(0.032)		(759.656)		(0.032)		(9.121)		(0.032)		(9120877.954)		(0.032)		(759.656)		(0.032)		(9.121)		(0.032)		(9120877.954)		(0.032)		(759.656)		(0.032)		(9.121)		(0.032)		(9120877.954)		(0.032)		(759.656)		(0.032)		(9.121)		(0.032)
ln_fteug		52796158.997***		0.389***		-14,096.428*		-0.611***		52.796***		0.389***		52796158.997***		0.389***		-14,096.428*		-0.611***		52.796***		0.389***		52796158.997***		0.389***		-14,096.428*		-0.611***		52.796***		0.389***		52796158.997***		0.389***		-14,096.428*		-0.611***		52.796***		0.389***		52796158.997***		0.389***		-14,096.428*		-0.611***		52.796***		0.389***		52796158.997***		0.389***		-14,096.428*		-0.611***		52.796***		0.389***		52796158.997***		0.389***		-14,096.428*		-0.611***		52.796***		0.389***
		(15158951.534)		(0.108)		(5,754.351)		(0.108)		(15.159)		(0.108)		(15158951.534)		(0.108)		(5,754.351)		(0.108)		(15.159)		(0.108)		(15158951.534)		(0.108)		(5,754.351)		(0.108)		(15.159)		(0.108)		(15158951.534)		(0.108)		(5,754.351)		(0.108)		(15.159)		(0.108)		(15158951.534)		(0.108)		(5,754.351)		(0.108)		(15.159)		(0.108)		(15158951.534)		(0.108)		(5,754.351)		(0.108)		(15.159)		(0.108)		(15158951.534)		(0.108)		(5,754.351)		(0.108)		(15.159)		(0.108)
ln_instruct_fte		27586889.376*		0.239***		328.021		0.239***		27.587*		0.239***		27586889.376*		0.239***		328.021		0.239***		27.587*		0.239***		27586889.376*		0.239***		328.021		0.239***		27.587*		0.239***		27586889.376*		0.239***		328.021		0.239***		27.587*		0.239***		27586889.376*		0.239***		328.021		0.239***		27.587*		0.239***		27586889.376*		0.239***		328.021		0.239***		27.587*		0.239***		27586889.376*		0.239***		328.021		0.239***		27.587*		0.239***
		(11074164.713)		(0.062)		(2,983.381)		(0.062)		(11.074)		(0.062)		(11074164.713)		(0.062)		(2,983.381)		(0.062)		(11.074)		(0.062)		(11074164.713)		(0.062)		(2,983.381)		(0.062)		(11.074)		(0.062)		(11074164.713)		(0.062)		(2,983.381)		(0.062)		(11.074)		(0.062)		(11074164.713)		(0.062)		(2,983.381)		(0.062)		(11.074)		(0.062)		(11074164.713)		(0.062)		(2,983.381)		(0.062)		(11.074)		(0.062)		(11074164.713)		(0.062)		(2,983.381)		(0.062)		(11.074)		(0.062)
