	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
local_pct	190,306.196	240,402.422	0.005*	0.006**	90.355	98.770	0.005*	0.006**	0.190	0.240	0.005*	0.006**	190,306.196	240,402.422	0.005*	0.006**	90.355	98.770	0.005*	0.006**	0.190	0.240	0.005*	0.006**	190,306.196	240,402.422	0.005*	0.006**	90.355	98.770	0.005*	0.006**	0.190	0.240	0.005*	0.006**	190,306.196	240,402.422	0.005*	0.006**	90.355	98.770	0.005*	0.006**	0.190	0.240	0.005*	0.006**	190,306.196	240,402.422	0.005*	0.006**	90.355	98.770	0.005*	0.006**	0.190	0.240	0.005*	0.006**	190,306.196	240,402.422	0.005*	0.006**	90.355	98.770	0.005*	0.006**	0.190	0.240	0.005*	0.006**	190,306.196	240,402.422	0.005*	0.006**	90.355	98.770	0.005*	0.006**	0.190	0.240	0.005*	0.006**
	(140,772.768)	(137,686.855)	(0.002)	(0.002)	(54.004)	(60.538)	(0.002)	(0.002)	(0.141)	(0.138)	(0.002)	(0.002)	(140,772.768)	(137,686.855)	(0.002)	(0.002)	(54.004)	(60.538)	(0.002)	(0.002)	(0.141)	(0.138)	(0.002)	(0.002)	(140,772.768)	(137,686.855)	(0.002)	(0.002)	(54.004)	(60.538)	(0.002)	(0.002)	(0.141)	(0.138)	(0.002)	(0.002)	(140,772.768)	(137,686.855)	(0.002)	(0.002)	(54.004)	(60.538)	(0.002)	(0.002)	(0.141)	(0.138)	(0.002)	(0.002)	(140,772.768)	(137,686.855)	(0.002)	(0.002)	(54.004)	(60.538)	(0.002)	(0.002)	(0.141)	(0.138)	(0.002)	(0.002)	(140,772.768)	(137,686.855)	(0.002)	(0.002)	(54.004)	(60.538)	(0.002)	(0.002)	(0.141)	(0.138)	(0.002)	(0.002)	(140,772.768)	(137,686.855)	(0.002)	(0.002)	(54.004)	(60.538)	(0.002)	(0.002)	(0.141)	(0.138)	(0.002)	(0.002)
ln_tuition2		-1722613.375*		0.003		-357.154		0.003		-1.723*		0.003		-1722613.375*		0.003		-357.154		0.003		-1.723*		0.003		-1722613.375*		0.003		-357.154		0.003		-1.723*		0.003		-1722613.375*		0.003		-357.154		0.003		-1.723*		0.003		-1722613.375*		0.003		-357.154		0.003		-1.723*		0.003		-1722613.375*		0.003		-357.154		0.003		-1.723*		0.003		-1722613.375*		0.003		-357.154		0.003		-1.723*		0.003
		(828,885.942)		(0.010)		(628.420)		(0.010)		(0.829)		(0.010)		(828,885.942)		(0.010)		(628.420)		(0.010)		(0.829)		(0.010)		(828,885.942)		(0.010)		(628.420)		(0.010)		(0.829)		(0.010)		(828,885.942)		(0.010)		(628.420)		(0.010)		(0.829)		(0.010)		(828,885.942)		(0.010)		(628.420)		(0.010)		(0.829)		(0.010)		(828,885.942)		(0.010)		(628.420)		(0.010)		(0.829)		(0.010)		(828,885.942)		(0.010)		(628.420)		(0.010)		(0.829)		(0.010)
ln_fteug		37249145.853***		0.426***		-42,858.650		-0.574***		37.249***		0.426***		37249145.853***		0.426***		-42,858.650		-0.574***		37.249***		0.426***		37249145.853***		0.426***		-42,858.650		-0.574***		37.249***		0.426***		37249145.853***		0.426***		-42,858.650		-0.574***		37.249***		0.426***		37249145.853***		0.426***		-42,858.650		-0.574***		37.249***		0.426***		37249145.853***		0.426***		-42,858.650		-0.574***		37.249***		0.426***		37249145.853***		0.426***		-42,858.650		-0.574***		37.249***		0.426***
		(10351970.747)		(0.099)		(26,578.913)		(0.099)		(10.352)		(0.099)		(10351970.747)		(0.099)		(26,578.913)		(0.099)		(10.352)		(0.099)		(10351970.747)		(0.099)		(26,578.913)		(0.099)		(10.352)		(0.099)		(10351970.747)		(0.099)		(26,578.913)		(0.099)		(10.352)		(0.099)		(10351970.747)		(0.099)		(26,578.913)		(0.099)		(10.352)		(0.099)		(10351970.747)		(0.099)		(26,578.913)		(0.099)		(10.352)		(0.099)		(10351970.747)		(0.099)		(26,578.913)		(0.099)		(10.352)		(0.099)
ln_instruct_fte		24998570.932***		0.317***		-13,226.696		0.317***		24.999***		0.317***		24998570.932***		0.317***		-13,226.696		0.317***		24.999***		0.317***		24998570.932***		0.317***		-13,226.696		0.317***		24.999***		0.317***		24998570.932***		0.317***		-13,226.696		0.317***		24.999***		0.317***		24998570.932***		0.317***		-13,226.696		0.317***		24.999***		0.317***		24998570.932***		0.317***		-13,226.696		0.317***		24.999***		0.317***		24998570.932***		0.317***		-13,226.696		0.317***		24.999***		0.317***
		(7410018.453)		(0.065)		(14,860.416)		(0.065)		(7.410)		(0.065)		(7410018.453)		(0.065)		(14,860.416)		(0.065)		(7.410)		(0.065)		(7410018.453)		(0.065)		(14,860.416)		(0.065)		(7.410)		(0.065)		(7410018.453)		(0.065)		(14,860.416)		(0.065)		(7.410)		(0.065)		(7410018.453)		(0.065)		(14,860.416)		(0.065)		(7.410)		(0.065)		(7410018.453)		(0.065)		(14,860.416)		(0.065)		(7.410)		(0.065)		(7410018.453)		(0.065)		(14,860.416)		(0.065)		(7.410)		(0.065)
