	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
local_pct	-356,989.060*	-334,286.489*	-0.013	-0.011	125.335	-185.025	0.009	-0.011	-0.357*	-0.334*	-0.013	-0.011	-356,989.060*	-334,286.489*	-0.013	-0.011	125.335	-185.025	0.009	-0.011	-0.357*	-0.334*	-0.013	-0.011	-356,989.060*	-334,286.489*	-0.013	-0.011	125.335	-185.025	0.009	-0.011	-0.357*	-0.334*	-0.013	-0.011	-356,989.060*	-334,286.489*	-0.013	-0.011	125.335	-185.025	0.009	-0.011	-0.357*	-0.334*	-0.013	-0.011	-356,989.060*	-334,286.489*	-0.013	-0.011	125.335	-185.025	0.009	-0.011	-0.357*	-0.334*	-0.013	-0.011	-356,989.060*	-334,286.489*	-0.013	-0.011	125.335	-185.025	0.009	-0.011	-0.357*	-0.334*	-0.013	-0.011	-356,989.060*	-334,286.489*	-0.013	-0.011	125.335	-185.025	0.009	-0.011	-0.357*	-0.334*	-0.013	-0.011
	(133,659.930)	(154,839.678)	(0.008)	(0.008)	(163.729)	(135.305)	(0.012)	(0.008)	(0.134)	(0.155)	(0.008)	(0.008)	(133,659.930)	(154,839.678)	(0.008)	(0.008)	(163.729)	(135.305)	(0.012)	(0.008)	(0.134)	(0.155)	(0.008)	(0.008)	(133,659.930)	(154,839.678)	(0.008)	(0.008)	(163.729)	(135.305)	(0.012)	(0.008)	(0.134)	(0.155)	(0.008)	(0.008)	(133,659.930)	(154,839.678)	(0.008)	(0.008)	(163.729)	(135.305)	(0.012)	(0.008)	(0.134)	(0.155)	(0.008)	(0.008)	(133,659.930)	(154,839.678)	(0.008)	(0.008)	(163.729)	(135.305)	(0.012)	(0.008)	(0.134)	(0.155)	(0.008)	(0.008)	(133,659.930)	(154,839.678)	(0.008)	(0.008)	(163.729)	(135.305)	(0.012)	(0.008)	(0.134)	(0.155)	(0.008)	(0.008)	(133,659.930)	(154,839.678)	(0.008)	(0.008)	(163.729)	(135.305)	(0.012)	(0.008)	(0.134)	(0.155)	(0.008)	(0.008)
ln_tuition2		-690,312.428		-0.035		-719.901		-0.035		-0.690		-0.035		-690,312.428		-0.035		-719.901		-0.035		-0.690		-0.035		-690,312.428		-0.035		-719.901		-0.035		-0.690		-0.035		-690,312.428		-0.035		-719.901		-0.035		-0.690		-0.035		-690,312.428		-0.035		-719.901		-0.035		-0.690		-0.035		-690,312.428		-0.035		-719.901		-0.035		-0.690		-0.035		-690,312.428		-0.035		-719.901		-0.035		-0.690		-0.035
		(594,441.160)		(0.022)		(414.028)		(0.022)		(0.594)		(0.022)		(594,441.160)		(0.022)		(414.028)		(0.022)		(0.594)		(0.022)		(594,441.160)		(0.022)		(414.028)		(0.022)		(0.594)		(0.022)		(594,441.160)		(0.022)		(414.028)		(0.022)		(0.594)		(0.022)		(594,441.160)		(0.022)		(414.028)		(0.022)		(0.594)		(0.022)		(594,441.160)		(0.022)		(414.028)		(0.022)		(0.594)		(0.022)		(594,441.160)		(0.022)		(414.028)		(0.022)		(0.594)		(0.022)
ln_fteug		2890047.625		0.160		-13,278.923***		-0.840***		2.890		0.160		2890047.625		0.160		-13,278.923***		-0.840***		2.890		0.160		2890047.625		0.160		-13,278.923***		-0.840***		2.890		0.160		2890047.625		0.160		-13,278.923***		-0.840***		2.890		0.160		2890047.625		0.160		-13,278.923***		-0.840***		2.890		0.160		2890047.625		0.160		-13,278.923***		-0.840***		2.890		0.160		2890047.625		0.160		-13,278.923***		-0.840***		2.890		0.160
		(2890998.945)		(0.091)		(2,359.719)		(0.091)		(2.891)		(0.091)		(2890998.945)		(0.091)		(2,359.719)		(0.091)		(2.891)		(0.091)		(2890998.945)		(0.091)		(2,359.719)		(0.091)		(2.891)		(0.091)		(2890998.945)		(0.091)		(2,359.719)		(0.091)		(2.891)		(0.091)		(2890998.945)		(0.091)		(2,359.719)		(0.091)		(2.891)		(0.091)		(2890998.945)		(0.091)		(2,359.719)		(0.091)		(2.891)		(0.091)		(2890998.945)		(0.091)		(2,359.719)		(0.091)		(2.891)		(0.091)
ln_instruct_fte		1222641.208		0.058		1,701.598		0.058		1.223		0.058		1222641.208		0.058		1,701.598		0.058		1.223		0.058		1222641.208		0.058		1,701.598		0.058		1.223		0.058		1222641.208		0.058		1,701.598		0.058		1.223		0.058		1222641.208		0.058		1,701.598		0.058		1.223		0.058		1222641.208		0.058		1,701.598		0.058		1.223		0.058		1222641.208		0.058		1,701.598		0.058		1.223		0.058
		(2999499.022)		(0.086)		(1,554.086)		(0.086)		(2.999)		(0.086)		(2999499.022)		(0.086)		(1,554.086)		(0.086)		(2.999)		(0.086)		(2999499.022)		(0.086)		(1,554.086)		(0.086)		(2.999)		(0.086)		(2999499.022)		(0.086)		(1,554.086)		(0.086)		(2.999)		(0.086)		(2999499.022)		(0.086)		(1,554.086)		(0.086)		(2.999)		(0.086)		(2999499.022)		(0.086)		(1,554.086)		(0.086)		(2.999)		(0.086)		(2999499.022)		(0.086)		(1,554.086)		(0.086)		(2.999)		(0.086)
