	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
local_pct	-126,506.063	20,799.017	0.002	0.005	97.746*	71.476	0.007*	0.005	-0.127	0.021	0.002	0.005	-126,506.063	20,799.017	0.002	0.005	97.746*	71.476	0.007*	0.005	-0.127	0.021	0.002	0.005	-126,506.063	20,799.017	0.002	0.005	97.746*	71.476	0.007*	0.005	-0.127	0.021	0.002	0.005	-126,506.063	20,799.017	0.002	0.005	97.746*	71.476	0.007*	0.005	-0.127	0.021	0.002	0.005	-126,506.063	20,799.017	0.002	0.005	97.746*	71.476	0.007*	0.005	-0.127	0.021	0.002	0.005	-126,506.063	20,799.017	0.002	0.005	97.746*	71.476	0.007*	0.005	-0.127	0.021	0.002	0.005	-126,506.063	20,799.017	0.002	0.005	97.746*	71.476	0.007*	0.005	-0.127	0.021	0.002	0.005
	(374,408.534)	(339,739.002)	(0.004)	(0.003)	(41.101)	(45.573)	(0.003)	(0.003)	(0.374)	(0.340)	(0.004)	(0.003)	(374,408.534)	(339,739.002)	(0.004)	(0.003)	(41.101)	(45.573)	(0.003)	(0.003)	(0.374)	(0.340)	(0.004)	(0.003)	(374,408.534)	(339,739.002)	(0.004)	(0.003)	(41.101)	(45.573)	(0.003)	(0.003)	(0.374)	(0.340)	(0.004)	(0.003)	(374,408.534)	(339,739.002)	(0.004)	(0.003)	(41.101)	(45.573)	(0.003)	(0.003)	(0.374)	(0.340)	(0.004)	(0.003)	(374,408.534)	(339,739.002)	(0.004)	(0.003)	(41.101)	(45.573)	(0.003)	(0.003)	(0.374)	(0.340)	(0.004)	(0.003)	(374,408.534)	(339,739.002)	(0.004)	(0.003)	(41.101)	(45.573)	(0.003)	(0.003)	(0.374)	(0.340)	(0.004)	(0.003)	(374,408.534)	(339,739.002)	(0.004)	(0.003)	(41.101)	(45.573)	(0.003)	(0.003)	(0.374)	(0.340)	(0.004)	(0.003)
ln_tuition2		-782,906.628		0.014		-122.556		0.014		-0.783		0.014		-782,906.628		0.014		-122.556		0.014		-0.783		0.014		-782,906.628		0.014		-122.556		0.014		-0.783		0.014		-782,906.628		0.014		-122.556		0.014		-0.783		0.014		-782,906.628		0.014		-122.556		0.014		-0.783		0.014		-782,906.628		0.014		-122.556		0.014		-0.783		0.014		-782,906.628		0.014		-122.556		0.014		-0.783		0.014
		(4235753.503)		(0.063)		(770.651)		(0.063)		(4.236)		(0.063)		(4235753.503)		(0.063)		(770.651)		(0.063)		(4.236)		(0.063)		(4235753.503)		(0.063)		(770.651)		(0.063)		(4.236)		(0.063)		(4235753.503)		(0.063)		(770.651)		(0.063)		(4.236)		(0.063)		(4235753.503)		(0.063)		(770.651)		(0.063)		(4.236)		(0.063)		(4235753.503)		(0.063)		(770.651)		(0.063)		(4.236)		(0.063)		(4235753.503)		(0.063)		(770.651)		(0.063)		(4.236)		(0.063)
ln_fteug		31890147.254***		0.616***		-5,928.388***		-0.384***		31.890***		0.616***		31890147.254***		0.616***		-5,928.388***		-0.384***		31.890***		0.616***		31890147.254***		0.616***		-5,928.388***		-0.384***		31.890***		0.616***		31890147.254***		0.616***		-5,928.388***		-0.384***		31.890***		0.616***		31890147.254***		0.616***		-5,928.388***		-0.384***		31.890***		0.616***		31890147.254***		0.616***		-5,928.388***		-0.384***		31.890***		0.616***		31890147.254***		0.616***		-5,928.388***		-0.384***		31.890***		0.616***
		(5152583.899)		(0.050)		(966.141)		(0.050)		(5.153)		(0.050)		(5152583.899)		(0.050)		(966.141)		(0.050)		(5.153)		(0.050)		(5152583.899)		(0.050)		(966.141)		(0.050)		(5.153)		(0.050)		(5152583.899)		(0.050)		(966.141)		(0.050)		(5.153)		(0.050)		(5152583.899)		(0.050)		(966.141)		(0.050)		(5.153)		(0.050)		(5152583.899)		(0.050)		(966.141)		(0.050)		(5.153)		(0.050)		(5152583.899)		(0.050)		(966.141)		(0.050)		(5.153)		(0.050)
ln_instruct_fte		14656568.208***		0.313***		4,609.917***		0.313***		14.657***		0.313***		14656568.208***		0.313***		4,609.917***		0.313***		14.657***		0.313***		14656568.208***		0.313***		4,609.917***		0.313***		14.657***		0.313***		14656568.208***		0.313***		4,609.917***		0.313***		14.657***		0.313***		14656568.208***		0.313***		4,609.917***		0.313***		14.657***		0.313***		14656568.208***		0.313***		4,609.917***		0.313***		14.657***		0.313***		14656568.208***		0.313***		4,609.917***		0.313***		14.657***		0.313***
		(3202866.742)		(0.062)		(1,005.056)		(0.062)		(3.203)		(0.062)		(3202866.742)		(0.062)		(1,005.056)		(0.062)		(3.203)		(0.062)		(3202866.742)		(0.062)		(1,005.056)		(0.062)		(3.203)		(0.062)		(3202866.742)		(0.062)		(1,005.056)		(0.062)		(3.203)		(0.062)		(3202866.742)		(0.062)		(1,005.056)		(0.062)		(3.203)		(0.062)		(3202866.742)		(0.062)		(1,005.056)		(0.062)		(3.203)		(0.062)		(3202866.742)		(0.062)		(1,005.056)		(0.062)		(3.203)		(0.062)
