	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)
VARIABLES	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj	total_adj	total_adj	ln_total_adj	ln_total_adj	total_fte_adj	total_fte_adj	ln_total_fte_adj	ln_total_fte_adj	total_mil_adj	total_mil_adj	ln_total_mil_adj	ln_total_mil_adj
																																																																																				
local_pct	-161,906.385*	-97,710.772	-0.002	-0.001	6.167	-128.978	0.002	-0.001	-0.162*	-0.098	-0.002	-0.001	-161,906.385*	-97,710.772	-0.002	-0.001	6.167	-128.978	0.002	-0.001	-0.162*	-0.098	-0.002	-0.001	-161,906.385*	-97,710.772	-0.002	-0.001	6.167	-128.978	0.002	-0.001	-0.162*	-0.098	-0.002	-0.001	-161,906.385*	-97,710.772	-0.002	-0.001	6.167	-128.978	0.002	-0.001	-0.162*	-0.098	-0.002	-0.001	-161,906.385*	-97,710.772	-0.002	-0.001	6.167	-128.978	0.002	-0.001	-0.162*	-0.098	-0.002	-0.001	-161,906.385*	-97,710.772	-0.002	-0.001	6.167	-128.978	0.002	-0.001	-0.162*	-0.098	-0.002	-0.001	-161,906.385*	-97,710.772	-0.002	-0.001	6.167	-128.978	0.002	-0.001	-0.162*	-0.098	-0.002	-0.001
	(75,814.340)	(88,070.723)	(0.002)	(0.001)	(23.756)	(70.120)	(0.002)	(0.001)	(0.076)	(0.088)	(0.002)	(0.001)	(75,814.340)	(88,070.723)	(0.002)	(0.001)	(23.756)	(70.120)	(0.002)	(0.001)	(0.076)	(0.088)	(0.002)	(0.001)	(75,814.340)	(88,070.723)	(0.002)	(0.001)	(23.756)	(70.120)	(0.002)	(0.001)	(0.076)	(0.088)	(0.002)	(0.001)	(75,814.340)	(88,070.723)	(0.002)	(0.001)	(23.756)	(70.120)	(0.002)	(0.001)	(0.076)	(0.088)	(0.002)	(0.001)	(75,814.340)	(88,070.723)	(0.002)	(0.001)	(23.756)	(70.120)	(0.002)	(0.001)	(0.076)	(0.088)	(0.002)	(0.001)	(75,814.340)	(88,070.723)	(0.002)	(0.001)	(23.756)	(70.120)	(0.002)	(0.001)	(0.076)	(0.088)	(0.002)	(0.001)	(75,814.340)	(88,070.723)	(0.002)	(0.001)	(23.756)	(70.120)	(0.002)	(0.001)	(0.076)	(0.088)	(0.002)	(0.001)
ln_tuition2		1832824.689		0.048**		-182.788		0.048**		1.833		0.048**		1832824.689		0.048**		-182.788		0.048**		1.833		0.048**		1832824.689		0.048**		-182.788		0.048**		1.833		0.048**		1832824.689		0.048**		-182.788		0.048**		1.833		0.048**		1832824.689		0.048**		-182.788		0.048**		1.833		0.048**		1832824.689		0.048**		-182.788		0.048**		1.833		0.048**		1832824.689		0.048**		-182.788		0.048**		1.833		0.048**
		(1088356.510)		(0.018)		(1,301.146)		(0.018)		(1.088)		(0.018)		(1088356.510)		(0.018)		(1,301.146)		(0.018)		(1.088)		(0.018)		(1088356.510)		(0.018)		(1,301.146)		(0.018)		(1.088)		(0.018)		(1088356.510)		(0.018)		(1,301.146)		(0.018)		(1.088)		(0.018)		(1088356.510)		(0.018)		(1,301.146)		(0.018)		(1.088)		(0.018)		(1088356.510)		(0.018)		(1,301.146)		(0.018)		(1.088)		(0.018)		(1088356.510)		(0.018)		(1,301.146)		(0.018)		(1.088)		(0.018)
ln_fteug		31619208.006		0.557***		-46,034.964		-0.443***		31.619		0.557***		31619208.006		0.557***		-46,034.964		-0.443***		31.619		0.557***		31619208.006		0.557***		-46,034.964		-0.443***		31.619		0.557***		31619208.006		0.557***		-46,034.964		-0.443***		31.619		0.557***		31619208.006		0.557***		-46,034.964		-0.443***		31.619		0.557***		31619208.006		0.557***		-46,034.964		-0.443***		31.619		0.557***		31619208.006		0.557***		-46,034.964		-0.443***		31.619		0.557***
		(16714028.961)		(0.088)		(26,547.811)		(0.088)		(16.714)		(0.088)		(16714028.961)		(0.088)		(26,547.811)		(0.088)		(16.714)		(0.088)		(16714028.961)		(0.088)		(26,547.811)		(0.088)		(16.714)		(0.088)		(16714028.961)		(0.088)		(26,547.811)		(0.088)		(16.714)		(0.088)		(16714028.961)		(0.088)		(26,547.811)		(0.088)		(16.714)		(0.088)		(16714028.961)		(0.088)		(26,547.811)		(0.088)		(16.714)		(0.088)		(16714028.961)		(0.088)		(26,547.811)		(0.088)		(16.714)		(0.088)
ln_instruct_fte		20301823.822*		0.468***		-11,328.649		0.468***		20.302*		0.468***		20301823.822*		0.468***		-11,328.649		0.468***		20.302*		0.468***		20301823.822*		0.468***		-11,328.649		0.468***		20.302*		0.468***		20301823.822*		0.468***		-11,328.649		0.468***		20.302*		0.468***		20301823.822*		0.468***		-11,328.649		0.468***		20.302*		0.468***		20301823.822*		0.468***		-11,328.649		0.468***		20.302*		0.468***		20301823.822*		0.468***		-11,328.649		0.468***		20.302*		0.468***
		(9769236.467)		(0.100)		(12,557.982)		(0.100)		(9.769)		(0.100)		(9769236.467)		(0.100)		(12,557.982)		(0.100)		(9.769)		(0.100)		(9769236.467)		(0.100)		(12,557.982)		(0.100)		(9.769)		(0.100)		(9769236.467)		(0.100)		(12,557.982)		(0.100)		(9.769)		(0.100)		(9769236.467)		(0.100)		(12,557.982)		(0.100)		(9.769)		(0.100)		(9769236.467)		(0.100)		(12,557.982)		(0.100)		(9.769)		(0.100)		(9769236.467)		(0.100)		(12,557.982)		(0.100)		(9.769)		(0.100)
